Minister,Date of Trip,Destination,Purpose,No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar',Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
Secretary of State,14/15 Feb 012,Vatican City,Cultural Delegation,,,œ336
,24/25 Feb 012,Los Angeles/ USA,GREAT Campaign,,,"œ3,519"
,09/11 Mar 012,Rio de Janeiro/ Brazil,GREAT Campaign,,,"œ1,992"
Minister for Sport and the Olympics,1-2 Feb 012,Lausanne,IIOC - illegal betting in Sport ,,,œ437
,7-8 Mar,Marseilles/France,Olympic Legacy for London,,,œ246
,14-18 Mar 012,Melbourne/Australia,GREAT Campaign,,,"œ4,506"
"Minister for Culture, Communications & Creative Industries",27 Feb 012,Copenhagen,Digital Single Market,,,œ248
,4-6 Mar 012,Israel,New Media Delegation,,,œ617
Minister for Tourism and Heritage,Nil,,,,,
