HMRC,HMRC,10/08/2011,Franking machine (L),Commercial Directorate,Pitney Bowes Finance Ltd,5100040078,19372.43,Quarterly lease payment for mailroom machines,CM20 2FQ
HMRC,HMRC,10/08/2011,Franking machine (L),Commercial Directorate,Pitney Bowes Finance Ltd,5100040078,8029.5,Quarterly lease payment for mailroom machines,CM20 2FQ
HMRC,HMRC,18/08/2011,Postal delivery serv,Commercial Directorate,Royal Mail Wholesale,5100042330,2909794.97,Payment for Mail sorting and delivery services,EC4Y 0HQ
HMRC,HMRC,18/08/2011,Postal delivery serv,Commercial Directorate,Royal Mail Wholesale,5100042337,-87472.5,Payment for Mail sorting and delivery services,EC4Y 0HQ
HMRC,HMRC,18/08/2011,TNT Documented Servi,Commercial Directorate,TNT UK Limited,5100042889,812478.59,Monthly payment for HMRC internal mail service,BL8 9AR
HMRC,HMRC,22/08/2011,Specialty envelopes,Commercial Directorate,Banner Business Services Ltd,5100043127,27300,Purchase of standard envelopes for large mailings,NR3 1PD
HMRC,HMRC,22/08/2011,Specialty envelopes,Commercial Directorate,Banner Business Services Ltd,5100043128,27300,Purchase of standard envelopes for large mailings,NR3 1PD
HMRC,HMRC,22/08/2011,Postal delivery serv,Commercial Directorate,Royal Mail Wholesale,5100043275,46342.43,Payment for Mail sorting and delivery services,EC4Y 0HQ
HMRC,HMRC,23/08/2011,Mail delivery/pickup,Commercial Directorate,DWP,5100043874,79410.37,Payment for joint Child Benefit mailing with DWP,FY5 3TA
HMRC,HMRC,24/08/2011,Vehicle leasing,Commercial Directorate,Inchcape Fleet Solutions,5100044024,59292.49,Monthly charges for leased vehicles in the HMRC fleet,P06 4RP
HMRC,HMRC,24/08/2011,Gasoline or Petrol,Commercial Directorate,Arval BNP Paribas Group,5100044048,49229.6,Fuel charges for HMRC fleet of vehicles,SN5 6PE
HMRC,HMRC,24/08/2011,Gasoline or Petrol,Commercial Directorate,Arval BNP Paribas Group,5100044050,36974.01,Fuel charges for HMRC fleet of vehicles,SN5 6PE
HMRC,HMRC,24/08/2011,Mail delivery/pickup,Commercial Directorate,Royal Mail,5100044299,692159.61,Payment for Mail sorting and delivery services,PE4 5BR
HMRC,HMRC,25/08/2011,Mail delivery/pickup,Commercial Directorate,G3 Worldwide (UK) Ltd,5100044564,66017.57,Delivery of HMRC overseas mail,UB2 5LF
HMRC,HMRC,25/08/2011,Mail delivery/pickup,Commercial Directorate,G3 Worldwide (UK) Ltd,5100044564,19252.21,Delivery of HMRC overseas mail,UB2 5LF
HMRC,HMRC,02/08/2011,Forensic Services,Criminal Investigations,CCL Forensics Limited,5100037628,190562.96,Forensic Services,CV37 6NW
HMRC,HMRC,12/08/2011,Forensic Services,Criminal Investigations,L G C Ltd,5100040895,55440,Forensic Services,TW11 0LY
HMRC,HMRC,15/08/2011,Forensic Services,Criminal Investigations,L G C Ltd,5100040988,40770,Forensic Services,TW11 0LY
HMRC,HMRC,11/08/2011,Interpretation,Customer Contact,Thebigword Interpreting,5100040461,57016.22,Translation service costs to assist staff dealing with calls from non English speaking customers. ,LS12 6AB
HMRC,HMRC,11/08/2011,Interpretation,Customer Contact,Thebigword Interpreting,5100040491,41391.56,Translation service costs to assist staff dealing with calls from non English speaking customers. ,LS12 6AB
HMRC,HMRC,11/08/2011,Interpretation,Customer Contact,Thebigword Interpreting,5100040500,59629.51,Translation service costs to assist staff dealing with calls from non English speaking customers. ,LS12 6AB
HMRC,HMRC,19/08/2011,Interpretation,Customer Contact,Thebigword Interpreting,5100042899,49537.87,Translation service costs to assist staff dealing with calls from non English speaking customers. ,LS12 6AB
HMRC,HMRC,03/08/2011,County Court Proceed,Debt Management & Banking,Her Majesty's Court Service,5100037692,99860,Court Fees,
HMRC,HMRC,05/08/2011,Debt collection serv,Debt Management & Banking,iQor holdings Limited,5100038785,255657.72,Debt collection services,PR1 3EL
HMRC,HMRC,05/08/2011,Distraint App Rem,Debt Management & Banking,Commercial Collection Services,5100038810,180888.34,Debt collection services,CR7 6YY
HMRC,HMRC,05/08/2011,Debt collection serv,Debt Management & Banking,Credit Solutions,5100038832,53607.6,Debt collection services,CR8 2PG
HMRC,HMRC,09/08/2011,Court Fees,Debt Management & Banking,The Insolvency Service,5100039609,157190,Court Fees,B2 4UP
HMRC,HMRC,10/08/2011,High Court Costs,Debt Management & Banking,RBSG Central,1900078660,40000,High Court Costs,SE99 1AA
HMRC,HMRC,10/08/2011,High Court Costs,Debt Management & Banking,RBSG Central,1900078662,40000,High Court Costs,SE99 1AA
HMRC,HMRC,11/08/2011,Crown Sol's Off NI,Debt Management & Banking,Crown Solicitors Office,5100040614,31884,High Court Costs,BT1 3JY
HMRC,HMRC,12/08/2011,Debt collection serv,Debt Management & Banking,Fairfax Solicitors Limited,5100040901,210710.05,Debt collection services,LS2 8BX
HMRC,HMRC,19/08/2011,High Court Costs,Debt Management & Banking,RBSG Central,1900082495,40000,High Court Costs,SE99 1AA
HMRC,HMRC,19/08/2011,High Court Costs,Debt Management & Banking,RBSG Central,1900082497,40000,High Court Costs,SE99 1AA
HMRC,HMRC,19/08/2011,Crown Sol's Off NI,Debt Management & Banking,Crown Solicitors Office,5100042980,111460.82,High Court Costs,BT1 3JY
HMRC,HMRC,24/08/2011,High Court Costs,Debt Management & Banking,RBSG Central,1900085723,40000,High Court Costs,SE99 1AA
HMRC,HMRC,30/08/2011,Court Fees,Debt Management & Banking,The Insolvency Service,5100044928,246360,Court Fees,B2 4UP
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,Borough of Telford & Wrekin,5100036953,61067,A tax on business premises levied to finance local authorities.,TF3 4LP
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,Salford City Council,5100036971,129034,A tax on business premises levied to finance local authorities.,M27 5AW
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,Salford City Council,5100036972,52826,A tax on business premises levied to finance local authorities.,M27 5AW
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,Birmingham City Council,5100036992,33099,A tax on business premises levied to finance local authorities.,B4 7AB
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,Bournemouth Borough Council,5100037002,31239,A tax on business premises levied to finance local authorities.,BH2 6EB
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,Bradford Council,5100037004,35073,A tax on business premises levied to finance local authorities.,BD1 1HX
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,Bradford Council,5100037005,54558,A tax on business premises levied to finance local authorities.,BD1 1HX
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,Nottingham City Council,5100037012,131115,A tax on business premises levied to finance local authorities.,NG1 4XX
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,Bristol City Council,5100037019,32908,A tax on business premises levied to finance local authorities.,BS99 1ZG
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,Cardiff County Council,5100037023,90308,A tax on business premises levied to finance local authorities.,CF10 3WD
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,Sefton Mbc,5100037053,37022,A tax on business premises levied to finance local authorities.,L20 3FD
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,Sefton Mbc,5100037054,38321,A tax on business premises levied to finance local authorities.,L20 3FD
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,Sheffield City Council,5100037055,37671,A tax on business premises levied to finance local authorities.,S1 1UY
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,City of  Westminster,5100037064,114434,A tax on business premises levied to finance local authorities.,SW1E 6QY
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,City of  Westminster,5100037066,162805.6,A tax on business premises levied to finance local authorities.,SW1E 6QY
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,City of  Westminster,5100037068,41903,A tax on business premises levied to finance local authorities.,SW1E 6QY
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,Coventry City Council,5100037071,52826,A tax on business premises levied to finance local authorities.,CV1 5RR
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,South Lanarkshire Council,5100037078,93095,A tax on business premises levied to finance local authorities.,ML3 0XJ
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,South Lanarkshire Council,5100037081,29184.2,A tax on business premises levied to finance local authorities.,ML3 0XJ
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,Southend Borough Council,5100037084,51527,A tax on business premises levied to finance local authorities.,SS2 6AN
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,Sunderland City Council,5100037105,74043,A tax on business premises levied to finance local authorities.,SR5 9BJ
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,Dundee City Council,5100037113,31306,A tax on business premises levied to finance local authorities.,DD1 3YN
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,Glasgow City Council,5100037122,36805,A tax on business premises levied to finance local authorities.,G1 1JE
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,Glasgow City Council,5100037123,30310,A tax on business premises levied to finance local authorities.,G1 1JE
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,Ipswich Borough Council,5100037138,26630,A tax on business premises levied to finance local authorities.,IP1 2DE
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,Leicester City Council,5100037149,25114,A tax on business premises levied to finance local authorities.,LE1 6HL
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,Liverpool City Council,5100037157,48063,A tax on business premises levied to finance local authorities.,L69 2DX
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,Liverpool City Council,5100037158,25547,A tax on business premises levied to finance local authorities.,L69 2DX
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,Liverpool City Council,5100037159,33558,A tax on business premises levied to finance local authorities.,L69 2DX
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,Liverpool City Council,5100037160,103920,A tax on business premises levied to finance local authorities.,L69 2DX
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,London Borough of Camden,5100037167,243677,A tax on business premises levied to finance local authorities.,WC1H 8NH
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,West Lindsey District Council,5100037171,28795,A tax on business premises levied to finance local authorities.,NG34 4GL
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,West Lothian Council,5100037176,41525,A tax on business premises levied to finance local authorities.,EH48 1TT
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,Manchester City Council,5100037192,51094,A tax on business premises levied to finance local authorities.,M60 2JR
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,Woking Borough  Council,5100037194,42846,A tax on business premises levied to finance local authorities.,GU21 6YL
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,Worthing Borough Council,5100037202,74972,A tax on business premises levied to finance local authorities.,BN11 1JN
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,Newcastle City Council,5100037209,337307,A tax on business premises levied to finance local authorities.,NE99 1UP
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,North Lanarkshire Council,5100037223,64734,A tax on business premises levied to finance local authorities.,ML1 1SH
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,City Of London,5100037234,81346,A tax on business premises levied to finance local authorities.,EC2P 2EJ
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,City Of London,5100037235,50727,A tax on business premises levied to finance local authorities.,EC2P 2EJ
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,Leeds City Council,5100037241,37888,A tax on business premises levied to finance local authorities.,LS2 8JR
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,Council Of The Borough,5100037245,29661,A tax on business premises levied to finance local authorities.,NE27 9AF
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,City Of Edinburgh Council,5100037271,27842,A tax on business premises levied to finance local authorities.,EH1 1UF
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,City Of Edinburgh Council,5100037273,34380,A tax on business premises levied to finance local authorities.,EH1 1UF
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,London Borough of Southwark,5100037280,150627,A tax on business premises levied to finance local authorities.,BR1 3YE
HMRC,HMRC,01/08/2011,Business Rates,Estates & Support Services,London Borough of Southwark,5100037281,70706,A tax on business premises levied to finance local authorities.,BR1 3YE
HMRC,HMRC,01/08/2011,STEPS FUP,Estates & Support Services,Mapeley Steps Limited,5100037349,31001063.67,Charges for the national provision of fully serviced office accommodation under the STEPS Private Finance Initiative Contract.,SE1 0TA
HMRC,HMRC,01/08/2011,STEPS FUP,Estates & Support Services,Mapeley Steps Limited,5100037354,17401697.03,Charges for the national provision of fully serviced office accommodation under the STEPS Private Finance Initiative Contract.,SE1 0TA
HMRC,HMRC,01/08/2011,100 PS Service Charg,Estates & Support Services,Exchequer Partnership Plc,5100037360,2249647.07,Monthly charge for fully serviced accommodation at 100 Parliament Street London.,M41 7HG
HMRC,HMRC,02/08/2011,Document destruction,Estates & Support Services,Banner Business Services Ltd,5100037643,25624.55,Charges for secure destruction of confidentially marked waste for the month of August.,NR3 1PD
HMRC,HMRC,02/08/2011,Document destruction,Estates & Support Services,Banner Business Services Ltd,5100037647,109210.55,Charges for secure destruction of confidentially marked waste for the month of August.,NR3 1PD
HMRC,HMRC,02/08/2011,Landlord Charges,Estates & Support Services,Mapeley Steps Limited,5100037648,25470.65,Landlord Service Charge for a building in London.,SE1 0TA
HMRC,HMRC,02/08/2011,Office Support Services,Estates & Support Services,Derwent Facilities Management Ltd,5100037652,108384.08,Charges for office support services (storage post room messenger secretarial).,HG2 8QT
HMRC,HMRC,02/08/2011,Business Rates,Estates & Support Services,Bridgend County Borough,5100037661,30602,A tax on business premises levied to finance local authorities.,CF31 4WB
HMRC,HMRC,02/08/2011,Electricity,Estates & Support Services,OGC Buying Solutions,5100037663,52524.08,Utility payment.,L3 1PE
HMRC,HMRC,04/08/2011,FM Services,Estates & Support Services,Mapeley Steps Limited,5100038472,102063.52,Charge for Facilities Management Services.,SE1 0TA
HMRC,HMRC,04/08/2011,Maj AW non-struc VAT,Estates & Support Services,Mapeley Steps Limited,5100038474,33952.29,Payment for building alterations undertaken on behalf of the Department for Work & Pensions. The cost has been recharged to them.,SE1 0TA
HMRC,HMRC,05/08/2011,Electricity,Estates & Support Services,Mapeley Steps Limited,5100038935,1112881.13,Utility payment.,SE1 0TA
HMRC,HMRC,05/08/2011,Gas,Estates & Support Services,Mapeley Steps Limited,5100038935,140126.79,Utility payment.,SE1 0TA
HMRC,HMRC,05/08/2011,Electricity,Estates & Support Services,Mapeley Steps Limited,5100038935,118563.92,Utility payment.,SE1 0TA
HMRC,HMRC,05/08/2011,Oil,Estates & Support Services,Mapeley Steps Limited,5100038935,111121.89,Utility payment.,SE1 0TA
HMRC,HMRC,05/08/2011,Water,Estates & Support Services,Mapeley Steps Limited,5100038935,100813.76,Utility payment.,SE1 0TA
HMRC,HMRC,05/08/2011,Gas,Estates & Support Services,Mapeley Steps Limited,5100038935,52067.56,Utility payment.,SE1 0TA
HMRC,HMRC,05/08/2011,Water,Estates & Support Services,Mapeley Steps Limited,5100038935,13039.28,Utility payment.,SE1 0TA
HMRC,HMRC,05/08/2011,Gas,Estates & Support Services,Mapeley Steps Limited,5100038935,10917.09,Utility payment.,SE1 0TA
HMRC,HMRC,05/08/2011,Electricity,Estates & Support Services,Mapeley Steps Limited,5100038935,6692.49,Utility payment.,SE1 0TA
HMRC,HMRC,05/08/2011,Oil,Estates & Support Services,Mapeley Steps Limited,5100038935,1175.86,Utility payment.,SE1 0TA
HMRC,HMRC,09/08/2011,Oth PFI unitary chrg,Estates & Support Services,Newcastle Estate Partnership,5100039764,3641819.04,Charges for accommodation provided under the Newcastle Private Finance Initiative contract.,BA2 3RH
HMRC,HMRC,10/08/2011,Landlord Charges,Estates & Support Services,Savills Commercial Limited,5100040201,237657.6,Landlord Service Charge for a building in Bathgate.,W1K 3HQ
HMRC,HMRC,11/08/2011,Landlord Charges,Estates & Support Services,GVA Grimley LLP,5100040547,45538.82,Landlord Service Charge for a building in Bradford.,LS1 2JG
HMRC,HMRC,17/08/2011,Office Support Services,Estates & Support Services,Exchequer Partnership Plc,5100042116,27160.97,The monthly payment for the provision of post room services at 100 Parliament Street London.  ,M41 7HG
HMRC,HMRC,17/08/2011,Oth PFI unitary chrg,Estates & Support Services,LR (Manchester) Limited,5100042118,845381.3,Charges for accommodation provided under the Manchester Private Finance Initiative contract.,W1U 8EW
HMRC,HMRC,17/08/2011,Oth PFI unitary chrg,Estates & Support Services,LR Stockport Ltd,5100042119,167228,Charges for accommodation provided under the Stockport Private Finance Initiative contract.,W1U 8EW
HMRC,HMRC,17/08/2011,Oth PFI unitary chrg,Estates & Support Services,Haymarket SPV Ltd,5100042120,170308.67,Charges for accommodation provided under the Elgin Private Finance Initiative contract.,W1U 8EW
HMRC,HMRC,17/08/2011,Oth PFI unitary chrg,Estates & Support Services,Cochrane Square S P V LTD,5100042122,173935.52,Charges for accommodation provided under the Glasgow Private Finance Initiative contract.,W1U 8EW
HMRC,HMRC,18/08/2011,PRIME costs,Estates & Support Services,DWP,5100042549,910302.15,The monthly invoice charge for the properties HM Revenue & Customs occupy on the Department for Work & Pensions estate.,FY5 3TA
HMRC,HMRC,22/08/2011,Non PFI serv VAT,Estates & Support Services,MacLellan International Limited,5100043119,386932.44,Charges for accommodation provided under the Newcastle Private Finance Initiative contract.,B70 1EN
HMRC,HMRC,22/08/2011,Electricity,Estates & Support Services,EDF Energy,5100043367,284671.64,Utility payment.,EX1 3UT
HMRC,HMRC,22/08/2011,Electricity,Estates & Support Services,EDF Energy,5100043367,184.84,Utility payment.,EX1 3UT
HMRC,HMRC,03/08/2011,World Customs Organisation,Excise Customs Stamps & Money,World Customs Organization,1900074606,573226.35,Annual subscription for UK membership of the World Customs Organisation.,Brussels 1210
HMRC,HMRC,18/08/2011,Bank Charges CSH/CHQ,Finance & Internal Audit,Alliance and Leicester,5100042324,66995.65,Monthly bank charges for tax credit payments by cashcheque.,G1R 0AA
HMRC,HMRC,18/08/2011,Bank Charges CSH/CHQ,Finance & Internal Audit,Alliance and Leicester,5100042327,28498.95,Monthly bank charges for Child Benefit payments by cashcheque.,G1R 0AA
HMRC,HMRC,18/08/2011,Bank Charges PO Card,Finance & Internal Audit,Post Office Limited,5100042553,1160393.33,Monthly bank charges for tax credits and Child Benefit payments by Post Office card account (POca).,PE4 5PG
HMRC,HMRC,01/08/2011,Data output prod,Information Management Services,Aspire,5100037376,57605528.22,June monthly payment for development and support for IT,TF3 3BD
HMRC,HMRC,01/08/2011,IT Software Capgemin,Information Management Services,Aspire,5100037376,9514178.4,June monthly payment for capital development of IT,TF3 3BD
HMRC,HMRC,01/08/2011,IT Hardware,Information Management Services,Aspire,5100037376,120185.9,The purchase of  Computer servers Via the Aspire Contract,TF3 3BD
HMRC,HMRC,01/08/2011,IT Hardware,Information Management Services,Aspire,5100037376,11293.54,The purchase of  Notebook computers Via the Aspire Contract,TF3 3BD
HMRC,HMRC,01/08/2011,IT Hardware,Information Management Services,Aspire,5100037376,5425.45,The purchase of  Scanners Via the Aspire Contract,TF3 3BD
HMRC,HMRC,01/08/2011,IT Hardware,Information Management Services,Aspire,5100037376,2801.99,The purchase of  Desktop computers Via the Aspire Contract,TF3 3BD
HMRC,HMRC,01/08/2011,IT Hardware,Information Management Services,Aspire,5100037376,2718.73,The purchase of  Scanners Via the Aspire Contract,TF3 3BD
HMRC,HMRC,01/08/2011,IT Hardware,Information Management Services,Aspire,5100037376,2718.73,The purchase of  Scanners Via the Aspire Contract,TF3 3BD
HMRC,HMRC,01/08/2011,IT Hardware,Information Management Services,Aspire,5100037376,2718.73,The purchase of  Scanners Via the Aspire Contract,TF3 3BD
HMRC,HMRC,01/08/2011,IT Hardware,Information Management Services,Aspire,5100037376,2542.25,The purchase of  Desktop computers Via the Aspire Contract,TF3 3BD
HMRC,HMRC,01/08/2011,IT Hardware,Information Management Services,Aspire,5100037376,2212.61,The purchase of  Desktop computers Via the Aspire Contract,TF3 3BD
HMRC,HMRC,01/08/2011,IT Hardware,Information Management Services,Aspire,5100037376,2212.61,The purchase of  Desktop computers Via the Aspire Contract,TF3 3BD
HMRC,HMRC,01/08/2011,IT Hardware,Information Management Services,Aspire,5100037376,510.7,The purchase of  Laser printers Via the Aspire Contract,TF3 3BD
HMRC,HMRC,01/08/2011,IT Hardware,Information Management Services,Aspire,5100037376,510.7,The purchase of  Laser printers Via the Aspire Contract,TF3 3BD
HMRC,HMRC,01/08/2011,IT Hardware,Information Management Services,Aspire,5100037376,258.64,The purchase of  Laser printers Via the Aspire Contract,TF3 3BD
HMRC,HMRC,04/08/2011,Hardware maintenance,Information Management Services,CapGemini UK Plc - PeoplePoint,5100038353,834923.28,Ongoing maintenance to the CHIEF Service (Customs Handling Inward Export Freight systems including ASN and LUCAS),W1F 0UU
HMRC,HMRC,09/08/2011,Phones - landlines,Information Management Services,Cable & Wireless,5100039757,31602.01,Charge to provide access to the Government Secure Intranet,MK3 5JP
HMRC,HMRC,15/08/2011,Software coding,Information Management Services,Accenture (UK) Limited,5100041488,20724,Technical skills and expertise for Design Phase of Integrated Tariff Environment project ,EC3M 3BD
HMRC,HMRC,15/08/2011,Software coding,Information Management Services,Accenture (UK) Limited,5100041488,20724,Technical skills and expertise for Design Phase of Integrated Tariff Environment project ,EC3M 3BD
HMRC,HMRC,15/08/2011,Software coding,Information Management Services,Accenture (UK) Limited,5100041488,16014,Technical skills and expertise for Design Phase of Integrated Tariff Environment project ,EC3M 3BD
HMRC,HMRC,15/08/2011,Software coding,Information Management Services,Accenture (UK) Limited,5100041488,14601,Technical skills and expertise for Design Phase of Integrated Tariff Environment project ,EC3M 3BD
HMRC,HMRC,15/08/2011,Software coding,Information Management Services,Accenture (UK) Limited,5100041488,12978,Technical skills and expertise for Design Phase of Integrated Tariff Environment project ,EC3M 3BD
