Appendix B - Car Park Spaces (and charging class),,,,,,
Location,,,Spaces/Bays,,,
SMBC Ref. No.,Area,Name,Total Capacity,Disabled Spaces,Parent & Child,Charging Class
124,Bramhall,Bramhall Park,78,5,0,*
123,Bramhall,Bramhall Precinct,81,5,2,Class C
125,Bramhall,Bramley Close,90,5,0,Free
128,Bramhall,Meadway East,139,6,1,Class C
129,Bramhall,Meadway West,99,7,4,Class C
107,Cheadle,Back Massie Street (North),16,0,0,Contract only
108,Cheadle,Back Massie Street (South),9,0,0,Contract only
109,Cheadle,Bruntwood Park,172,7,0,*
111,Cheadle,Church Street,52,0,0,Class C
112,Cheadle,Church Street/Wood Street,10,0,0,Contract only
113,Cheadle,Frances Street,19,2,0,Free
114,Cheadle,Mary Street,33,3,0,Class C
115,Cheadle,Massie Street East,191,11,5,Class C
115A,Cheadle,Massie Street West,108,6,4,Class C
116,Cheadle Heath,Essex Avenue,13,1,0,Free
120,Cheadle Hulme,Church Road/Woods Lane,50,2,0,Free
122,Cheadle Hulme,Mellor Road,65,4,2,Class C
121,Cheadle Hulme,Station Approach,66,4,0,Class C
41,Compstall,Etherow Country Pk.,91,6,0,*
43,Compstall,George Street (Lower),11,1,0,*
99,Edgeley,Arnold St/Hardcastle Road ,12,0,0,Free
98,Edgeley,Arnold Street,10,0,0,Free
100,Edgeley,Bakewell Street,11,1,0,Class C
101,Edgeley,Bulkeley Street,22,2,0,Class C
102,Edgeley,Caroline Street,73,5,4,Class C
103,Edgeley,Heron Street,18,0,0,Contract only
104,Edgeley,James Street East & West,46,3,0,Class C
104A,Edgeley,Lomas Street,6,0,0,Contract only
105,Edgeley,St.Matthews Terrace,18,0,0,Free
106,Edgeley,York Street,26,2,0,Class C
117,Gatley,Church Road,21,2,0,Free
81,Hazel Grove,Beech Avenue,31,3,0,Class C
82,Hazel Grove,Brook Street P&D,39,2,0,Class C
83,Hazel Grove,Brook Street Contract,4,0,0,Contract only
86,Hazel Grove,Commercial Road East,30,2,0,Class C
85,Hazel Grove,Commercial Road West,21,2,0,Class C
87,Hazel Grove,Davenport Road ,29,0,0,Class C
89,Hazel Grove,Spring Vale,29,2,0,Class C
90,Hazel Grove,Torkington Park,65,0,0,Free
131,Heald Green,Finney Lane,38,0,0,Free
66,Heaton Mersey,Didsbury Road,22,2,0,Free
64,Heaton Moor,Derby Range,21,0,0,Free
65,Heaton Moor,Kings Drive,32,2,0,Class C
58,Heaton Norris,Athol Street,11,0,0,Free
59,Heaton Norris,Belmont Street (1),12,0,0,Free
60,Heaton Norris,Belmont Street (2),25,0,0,Free
61,Heaton Norris,Bourne Street,8,0,0,Free
62,Heaton Norris,Cheviot Close,12,0,0,Free
62A,Heaton Norris,Ellen Street,12,0,0,Free
63,Heaton Norris,Grafton Street,12,0,0,Free
91,Heaviley,Cambridge Street,10,0,0,Free
92,Heaviley,Hallam Street,41,0,0,Free
93,Heaviley,Heaviley Grove,10,0,0,Free
