DfENumber,SchoolName,Year,Places,PlaceAllocated,PlaceRefused,PlaceWithdrawn,WithdrawnFromProcess,1stPref,2ndPref,3rdPref,4thPref,5thPref,Unplaced,SLE,Catchment,Sibling,Distance,OutsideSpecifiedArea,InsideSpecifiedArea,Religion,Feeder,Other,Total
8162000,Acomb Primary School,2014,45,45,4,84,1,33,47,30,14,10,0,1,42,4,87,0,0,0,0,0,134
8162431,Badger Hill Primary School,2014,30,25,0,31,0,23,22,6,5,0,0,2,4,12,38,0,0,0,0,0,56
8162386,Bishopthorpe Infant School,2014,60,60,2,78,2,58,36,29,13,6,0,2,49,6,85,0,0,0,0,0,142
8162024,Burton Green Primary School,2014,30,30,0,14,1,29,8,4,2,1,1,0,28,1,15,0,0,0,0,0,45
8162003,Carr Infant School,2014,80,81,0,52,2,75,28,14,10,8,0,0,72,8,55,0,0,0,0,0,135
8162018,Clifton Green Primary School,2014,55,53,0,24,3,48,14,10,2,3,3,0,39,12,26,0,0,0,0,0,80
8162430,Clifton with Rawcliffe Primary School,2014,90,90,14,59,2,100,44,13,5,3,0,1,90,6,68,0,0,0,0,0,165
8162013,Copmanthorpe Primary School,2014,60,59,0,43,2,53,20,9,13,9,0,0,38,9,57,0,0,0,0,0,104
8162007,Dringhouses Primary School,2014,45,45,14,67,5,58,27,21,15,10,0,3,38,8,82,0,0,0,0,0,131
8163151,Dunnington Ce Primary School,2014,40,38,0,7,1,38,5,3,0,0,0,1,36,1,8,0,0,0,0,0,46
8163152,Elvington Ce Primary School,2014,20,17,0,11,0,15,7,4,1,1,0,0,15,1,12,0,0,0,0,0,28
8162008,Fishergate Primary School,2014,45,45,0,78,0,40,26,29,18,9,1,1,55,4,62,0,0,0,0,0,123
8162009,Haxby Road Primary Academy,2014,35,35,0,25,0,31,14,10,1,4,0,1,34,3,22,0,0,0,0,0,60
8162241,Headlands Primary School,2014,45,43,0,65,0,42,44,16,6,0,0,0,37,2,69,0,0,0,0,0,108
8162001,Hempland Primary School,2014,60,60,22,31,2,78,25,7,4,1,0,0,61,3,51,0,0,0,0,0,115
8163302,Heworth CE Primary School,2014,20,20,1,62,2,12,45,20,4,4,0,0,0,5,31,0,45,4,0,0,85
8162028,Hob Moor Community Primary School,2014,45,44,0,53,1,41,24,16,10,6,1,1,37,7,52,0,0,0,0,0,98
8162180,Huntington Primary School,2014,60,60,5,43,1,59,28,14,4,4,0,1,38,15,55,0,0,0,0,0,109
8162011,Knavesmire Primary School,2014,60,60,17,109,2,69,62,36,14,7,0,4,47,10,127,0,0,0,0,0,188
8162428,Lakeside Primary School,2014,60,60,1,49,0,52,37,13,8,0,0,0,38,5,67,0,0,0,0,0,110
8163158,Lord Deramores Primary School,2014,30,28,0,58,0,27,31,16,6,6,0,1,11,5,69,0,0,0,0,0,86
8163159,Naburn Ce Primary School,2014,12,10,0,6,0,8,3,1,4,0,0,0,8,0,8,0,0,0,0,0,16
8163901,New Earswick Primary School,2014,30,26,0,21,1,26,7,9,4,2,0,2,19,6,21,0,0,0,0,0,48
8162176,Osbaldwick Primary School,2014,60,42,0,26,0,42,10,8,5,3,0,2,37,10,19,0,0,0,0,0,68
8163904,Our Lady Queen of Martyrs Primary School,2014,60,60,17,49,0,63,31,20,8,4,0,2,0,4,0,6,51,63,0,0,126
8162012,Park Grove Primary School,2014,40,40,15,49,3,50,24,17,11,5,0,1,38,8,60,0,0,0,0,0,107
8162029,Poppleton Ousebank Primary School,2014,60,60,19,46,0,77,14,16,13,5,0,0,57,7,61,0,0,0,0,0,125
8162014,Poppleton Road Primary School,2014,60,51,0,68,2,42,30,21,14,10,4,0,35,10,72,0,0,0,0,0,121
8162058,Ralph Butterfield Primary School,2014,50,50,3,63,2,50,42,20,2,4,0,0,41,7,70,0,0,0,0,0,118
8163212,Robert Wilkinson Primary School,2014,87,87,4,19,1,89,12,5,5,0,0,0,81,3,27,0,0,0,0,0,111
8162349,Rufforth Primary School,2014,14,14,0,14,1,12,10,3,2,2,0,0,5,4,20,0,0,0,0,0,29
8162016,Scarcroft Primary School,2014,47,47,8,118,2,47,63,37,20,8,0,2,54,1,118,0,0,0,0,0,175
8162169,Skelton Primary School,2014,20,15,0,31,0,13,12,13,6,2,0,0,11,1,34,0,0,0,0,0,46
8163401,St Aelreds Rc Primary School,2014,30,21,0,20,0,21,6,7,6,1,0,0,0,4,24,0,0,13,0,0,41
8163002,St Barnabas C Of E Primary School,2014,27,24,0,21,1,24,4,5,6,7,0,0,23,1,22,0,0,0,0,0,46
8163402,St Georges Rc Primary School,2014,30,30,0,34,1,28,15,13,5,3,1,0,0,0,39,0,0,25,0,0,65
