Quarter Year,Antrim and Newtownabbey RPPI,Antrim and Newtownabbey Standardised Price,Ards and North Down RPPI,Ards and North Down Standardised Price,Armagh City Banbridge and Craigavon RPPI,Armagh City Banbridge and Craigavon Standardised Price,Belfast RPPI,Belfast Standardised Price,Causeway Coast and Glens RPPI,Causeway Coast and Glens Standardised Price,Derry City and Strabane RPPI,Derry City and Strabane Standardised Price,Fermanagh and Omagh RPPI,Fermanagh and Omagh Standardised Price,Lisburn and Castlereagh RPPI,Lisburn and Castlereagh Standardised Price,Mid and East Antrim RPPI,Mid and East Antrim Standardised Price,Mid Ulster Average RPPI,Mid Ulster Standardised Price,Newry Mourne and Down RPPI,Newry Mourne and Down Standardised Price
Q1 2005,99.90327651,114852,97.15060247,130399,102.2455974,100785,99.83984851,105517,111.2582053,120121,100.2860477,94944,109.4292366,104875,95.95832158,128828,102.2464266,105865,102.7147785,114882,100.8107726,113421
Q2 2005,99.72350908,114645,100.7944724,135289,106.3258426,104807,100.5898698,106309,115.4969388,124698,105.0608921,99465,117.23985,112361,100.1644373,134475,104.443325,108140,110.3863108,123463,111.965743,125971
Q3 2005,107.940849,124092,102.1679707,137133,110.0062125,108435,109.6148608,115847,124.7709988,134711,111.9758084,106011,125.9001448,120660,106.7578954,143327,112.7482782,116739,117.5957233,131526,117.2356846,131900
Q4 2005,111.9346959,128683,106.3963786,142809,116.0730314,114415,110.7282374,117024,129.034769,139314,117.052017,110817,130.7813153,125338,111.3071163,149435,114.5840896,118640,121.8519993,136286,123.6280468,139092
Q1 2006,113.4943511,130476,109.2061603,146580,121.8310581,120091,112.3265818,118713,134.291764,144990,124.2698661,117650,135.5557489,129914,110.5392123,148404,115.8789749,119980,129.5447021,144890,127.4496125,143392
Q2 2006,124.2557265,142848,116.8788968,156879,134.5510577,132629,127.0945862,134321,144.9522554,156500,135.3236504,128115,148.5626097,142380,123.4655574,165758,126.6687812,131152,136.3460625,152497,136.0002242,153012
Q3 2006,139.4952872,160368,130.7150953,175450,151.4330696,149270,143.119908,151257,157.5619515,170114,150.9468264,142906,166.9983219,160048,138.5526114,186013,140.6186393,145596,147.4036203,164865,150.7386004,169594
Q4 2006,157.0563281,180556,147.4437928,197904,173.2404566,170766,161.735357,170931,172.3783434,186110,161.4758474,152874,177.9054068,170501,155.7280178,209072,158.1008162,163697,166.3438229,186049,172.1482622,193682
Q1 2007,173.1024115,199003,165.8271695,222578,197.2269683,194410,176.459684,186493,195.6856838,211275,170.7383084,161643,194.7588568,186653,175.335754,235396,177.7260612,184017,181.3857723,202872,184.1181897,207149
Q2 2007,189.8426178,218248,184.4551384,247581,210.7842596,207773,193.3029993,204294,215.3131059,232466,183.2101372,173451,198.7242653,190454,192.398489,258304,195.7858636,202716,200.3087264,224037,198.1064804,222887
Q3 2007,199.3566202,229186,192.1857034,257958,215.13841,212065,202.1331224,213626,221.4852381,239129,190.6030068,180450,201.264197,192888,201.6421691,270714,201.9767338,209126,194.9202239,218010,213.5363332,240247
Q4 2007,188.6771722,216908,200.6771446,269355,192.895423,190140,185.6139877,196168,210.4998759,227269,188.3626438,178329,202.6839768,194249,196.5315351,263852,197.2581469,204240,178.2245627,199337,203.8732739,229375
Q1 2008,172.5618078,198382,191.7185996,257331,187.1591093,184486,167.9334375,177482,194.4373201,209927,179.0682813,169530,194.4842214,186390,170.7459619,229234,181.2934382,187710,169.34867,189409,181.8545165,204602
