Venue Name,Venue Address 1,Venue Address 2,Venue Address 3,Venue Address 4,Venue Postcode,Website
Space,Hirsts Yard,Duncan Street,Leeds,,LS1 1DL,
Park Square,Park Square,Leeds,,,LS1 1PL,
Tick Tock Unlock,Third Floor,Kings House,1 King Street,Leeds,LS1 2HH,http://www.ticktockunlock.co.uk
The Warehouse,19-21 Somers Street,Leeds,,,LS1 2RG,http://www.theleedswarehouse.com
Leeds Art Gallery,The Headrow,Leeds,,,LS1 3AA,http://www.leeds.gov.uk/artgallery
The Craft Centre and Design Gallery,City Art Gallery,The Headrow,Leeds,,LS1 3AB,http://www.craftcentreleeds.co.uk/
The Henry Moore Institute,74 The Headrow,Leeds,,,LS1 3AH,http://www.henry-moore.org/hmi
White Cloth Gallery,24-26 Aire Street,Leeds,,,LS1 4HT,http://www.whiteclothgallery.com
Everyman Cinema,Level 4,Trinity Leeds,Albion Street,Leeds,LS1 5AY,http://www.everymancinema.com
The Dalesman,Leeds City Railway Station,Leeds Station,Leeds,,LS1 5DL,http://www.westcoastrailways.co.uk/dalesman/dalesman-steam-experience.cfm
Mill Hill Unitarian Chapel,City Square,Leeds,,,LS1 5EB,http://www.millhillchapel.org
Whitewall Galleries,16-18 Queen Victoria Street,Leeds,,,LS1 6BE,http://www.whitewallgalleries.com
The HiFi Club,2 Central Road,Leeds,,,LS1 6DE,www.thehificlub.co.uk
Wire Club,2a Call Lane,Leeds,,,LS1 6DN,www.wireclub.co.uk
Call Lane Social,38 Call Lane,Leeds,,,LS1 6DT,http://www.calllanesocial.co.uk
The Backroom,50A Call Lane,Leeds,,,LS1 6DT,http://www.thebackroomleeds.co.uk
Roxy Ball Room,Boar Lane,,,,LS1 6HW,http://www.roxyballroom.co.uk/
Holy Trinity Church,Boar Lane,Leeds,,,LS1 6HW,http://holytrinityleeds.co.uk/
City Varieties Music Hall,Swan Street,Leeds,,,LS1 6LW,http://www.cityvarieties.co.uk
Smokestack,159a Lower Briggate,Leeds,,,LS1 6LY,www.smokestack.org.uk
Opera North,Opera North Grand Theatre,46 New Briggate,Leeds,,LS1 6NU,http://www.operanorth.co.uk/
Howard Assembly Room,Entrance via Leeds Grand Theatre,46 New Briggate,Leeds,,LS1 6NU,http://www.operanorth.co.uk
Leeds Grand Theatre & Opera House,46 New Briggate,Leeds,,,LS1 6NZ,http://www.leedsgrandtheatre.com
Mint Club,8a Harrison Street,Leeds,,,LS1 6PA,www.themintclub.com
Simcha Gallery,"B1B, The Balcony",Corn Exchange,Call Lane,Leeds,LS1 7BR,http://www.simchagallery.co.uk
Mission,8-13 Heatons Court,Leeds,,,LS1 7BT,www.clubmission.com
The Tetley,Hunslet Road,Leeds,,,LS10 1JQ,http://www.thetetley.org
Leeds Museum Discovery Centre,Carlisle Road,Leeds,,,LS10 1LB,http://www.leeds.gov.uk/discoverycentre
Royal Armouries Museum,Armouries Drive,Leeds,,,LS10 1LT,http://www.royalarmouries.org
Thwaite Mills Watermill,Thwaite Mills,Thwaite Lane,Stourton,Leeds,LS10 1RP,http://www.leeds.gov.uk/thwaitemills
Middleton Railway,Moor Road Railway Station,Moor Road,Hunslet,Leeds,LS10 2JQ,http://www.middletonrailway.org.uk
Middleton Park,Middleton,Leeds,,,LS10 3TH,http://www.visitleeds.co.uk
BasementArtsProject,BasementArtsProject,28 Burton Terrace,Beeston,Leeds,LS11 5JH,http://www.basementartsproject.com
Pavilion Gallery,Saw Mill Yard,Holbeck,Leeds,,LS11 5WH,http://www.pavilion.org.uk
Holbeck Underground Ballroom (The HUB),67-71 Bath Road,Holbeck,Leeds,,LS11 9UA,http://slunglow.macmate.me/index.html
Mint Warehouse,Aquatite House,Water Lane,Leeds,,LS11 9UD,http://www.mintleeds.co.uk
Leeds Industrial Museum at Armley Mills,Canal Road,Leeds,,,LS12 2QF,http://www.leeds.gov.uk/armleymills
Armley Park,Stanningley Road,Leeds,,,LS12 3LW,http://www.leeds.gov.uk/leisure/Pages/Armley-Park.aspx
Western Flatts Cliff Park,Green Hill Lane,Leeds,,,LS12 4EZ,http://www.leeds.gov.uk/leisure/Pages/Your-local-park.aspx
New Wortley Recreation Ground,15 Highfield Close,Leeds,,,LS12 5HA,www.visitleeds.co.uk
East End Park,East Park Parade,Leeds,,,LS12 5HA,www.visitleeds.co.uk
"Cross Flatts Park, Beeston",Harlech Road,Beeston,Leeds,,LS12 5HA,www.visitleeds.co.uk
Farnley Hall Park,Farnley Hall Park,Hall Lane,Farnley,,LS12 5HA,www.visitleeds.co.uk
Alexandra Park,Alexandra Road,Leeds,,,LS12 5HA,
Bramley Park,Westover Road,Leeds,,,LS13 3PB,www.leeds.gov.uk
