Controlling prostitution offences,2007-2008,2008-2009,2009-2010
Sexual Offences Act 2003 { 52 },16,17,11
Sexual Offences Act 2003 { 53 },67,93,87
Sexual Offences Act 1985 { 2(1) },82,24,23
Total,165,134,121
