Youth centres,Address1,Address2,Address3,Address4,Postcode,UPRN,X coordinate,Y coordinate,Contact,Telephone
Boothtown Youth Centre,"The Boothtown Centre,","Grantham Road,","Boothtown,",Halifax,HX3 6PL,010090365189,408754,426647,Shauib Jabber,01422 286228
Brighouse Youth and Community Centre,"Aire Street,",Brighouse,,,HD6 3RB,010006737697,414578,422328,Fraser Watson,01484 282271
Cartwheel Youth Centre,"Huddersfield Road,",Elland,,,HX5 9DW,100052042967,410976,421049,Gary Fielden,01484 282271
Forest Cottage Community Centre,"Cousin Lane,","Illingworth,",Halifax,,HX2 8AD,100052040003,407313,427177,Andrea Fawthrop,01422 286240
Luddenden Youth Centre,"Kershaw Drive,","Luddenden,",Halifax,,HX2 6PD,010006745899,403969,425535,Rebecca Hutchinson,01422 286722
Mixenden Activity Centre,"Clough Lane,","Mixenden,",Halifax,,HX2 8SH,010006746099,406052,428635,Marcus Irving,01422 392121
Mytholmroyd Youth Centre,"Mytholmroyd Community and Leisure Centre,","Caldene Avenue,","Mytholmroyd,",Hebden Bridge,HX7 5AF,010010178785,401105,425950,Abigail Webb,01422 286722
Pellon Network Centre,"53-55 Rye Lane,","Pellon,",Halifax,,HX2 0QB,010006747208,406681,425901,,01422 286240
Queens Road Neighbourhood Centre,"Queens Road,",Halifax,,,HX1 4NE,100052039155,407857,425180,Rahila Bi Hussain,01422 286228
Sowerby Bridge Youth & Community Centre,"Foundry Street,",Sowerby Bridge,,,HX6 3AS,100052219858,405744,423354,Rahila Bi Hussain,01422 286228
Todmorden Youth Centre,"Todmorden Community College,","Burnley Road,",Todmorden,,OL14 7BX,010010152783,393618,424389,Marie Gresty,01422 286722
Whitley Centre,"Moor Bottom Road,","Illingworth,",Halifax,,HX2 9SR,100052040457,407940,428950,,01422 286240
Youth Works,"Orangebox,","1 Black Ledge,",Halifax,,HX1 1AF,010090367930,409490,425021,Leanne Freeman,01422 320033
