OrganisationNameLabel,OrganisationURI,EffectiveDate,PaymentDate,Directorate/ServiceWhereExpenditureIncurred,ServiceCategoryLabel,ServiceCategoryURI,Supplier,NetAmount,IrrecoverableVAT,PurposeOfExpenditure,ProcurementClassification:ProclassLabel,ProcrementClassification:ProClassCode
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,11/08/2016,15/07/2016,Financial Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,reed.co.uk,174,0,CIPD Membership,Recruitment & Assessment,261300
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,11/08/2016,15/07/2016,Customer Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,reed.co.uk,175,0,Job Advert - Digital Editors,Recruitment & Assessment,261300
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,11/08/2016,15/07/2016,Customer Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,reed.co.uk,175,0,Job Advert - Digital Editors,Recruitment & Assessment,261300
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,11/08/2016,15/07/2016,Economic Development,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,Tesco Store Kendal,15.48,0,Catering for event in Windermere,Food & Beverages,111200
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,11/08/2016,15/07/2016,Economic Development,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,Tesco Store Kendal,0.83,0,Catering for event in Windermere,Food & Beverages,111200
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,11/08/2016,15/07/2016,Economic Development,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,Amazon Marketplace,71.49,0,Office equipment,Sundries,341100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,11/08/2016,15/07/2016,Economic Development,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,Amazon Marketplace,2.39,0,Office equipment,Sundries,341100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,11/08/2016,15/07/2016,Economic Development,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,Cumb Chamber of Comm,20,0,Cumbria Chamber of Commerce Event,Events,291000
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,11/08/2016,15/07/2016,Community Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Trainline,89.73,0,Rail Tickets,Travel & Subsistence,261600
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,11/08/2016,15/07/2016,Cemeteries Office,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Trainline,35.17,0,Rail Tickets,Travel & Subsistence,261600
