GIFTS GIVEN,,,

"The Rt Hon Cheryl Gillan MP, Secretary of State for Wales",,October - December 2011,


DATE GIFT RECEIVED,FROM,GIFT,VALUE
Nil Return,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
