Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/1/2012,Mobile Call Charges,UK Trade & Investment - Strategic Trade,BRITISH TELECOMMUNICATIONS plc (BT),1068546,347.98,,DH98 1BT,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/1/2012,Mobile Call Charges,UK Trade & Investment - Trade Development,VODAFONE LTD,1068642,68.11,,NG24 2EG,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/1/2012,Mobile Call Charges,UK Trade & Investment - Strategic Trade,VODAFONE LTD,1068799,19.8,,RG14 5FF,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/1/2012,Mobile Call Charges,UK Trade & Investment - Strategic Trade,VODAFONE LTD,1068799,5.77,,RG14 5FF,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/1/2012,Other IT Costs,UK Trade & Investment - Chief Operating Officer,BLUE SKY HOSTING LTD,1068622,159.2,,SW1E 6DX,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/1/2012,Other IT Costs,UK Trade & Investment - Chief Operating Officer,FUJITSU SERVICES LTD,1068700,54886.3,,WA3 9BD,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/1/2012,Other IT Costs,UK Trade & Investment - Chief Operating Officer,FUJITSU SERVICES LTD,1068804,26970.34,,WA3 9BD,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/1/2012,Other Overseas Travel & Subsistence,UK Trade & Investment - Trade Development,THE LONG RUN VENTURE LLP,1068628,2191.2,,SW1Y 4TE,EXT,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/1/2012,Other Training Costs,UK Trade & Investment - Chief Operating Officer,BUSINESS NAVIGATORS (EUROPE) LTD,1068634,1304.88,,HG4 2PW,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/1/2012,Other Training Costs,UK Trade & Investment - Chief Operating Officer,DOD'S PARLIAMENTARY COMMUNICATIONS LTD (WESTMINSTER EXPLAINED),1068837,2550,,SW1H 9BP,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/1/2012,Publications,UK Trade & Investment - Trade Development,JONES YARRELL LEADENHALL,1068864,48.76,,E3 3JH,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/1/2012,Static Line Rental,UK Trade & Investment - Trade Development,BRITISH TELECOMMUNICATIONS plc (BT),1068616,48.6,,DH98 1BT,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/1/2012,Stationery,UK Trade & Investment - Marketing & Communications,XMA LTD,1068717,84.26,,NG11 7EP,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/1/2012,Stationery,UK Trade & Investment - Marketing & Communications,BANNER BUSINESS SERVICES LTD,1068786,39.6,,NR3 1QU,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/1/2012,Stationery,UK Trade & Investment - Chief Operating Officer,BANNER BUSINESS SERVICES LTD,1068801,182.83,,NR3 1QU,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/1/2012,Stationery,UK Trade & Investment - Chief Operating Officer,JONES YARRELL LEADENHALL,1068854,48.76,,E3 3JH,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/1/2012,Stationery,UK Trade & Investment - Trade Development,XMA LTD,1068857,22.32,,NG11 7EP,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Entertaining UK,UK Trade & Investment - Defence and Security Organisation,"Personal Expense, Name Witheld",10287531,105.13,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Hire of Agency Staff (Clerical/Secretariat/Other),UK Trade & Investment - Chief Operating Officer,MORGAN HUNT UK LTD,1068846,972.72,,EC4M 7EG,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Hire of Agency Staff (Clerical/Secretariat/Other),UK Trade & Investment - Chief Operating Officer,MORGAN HUNT UK LTD,1068847,1200,,EC4M 7EG,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Hire of Agency Staff (Clerical/Secretariat/Other),UK Trade & Investment - Chief Operating Officer,MORGAN HUNT UK LTD,1068851,972.72,,EC4M 7EG,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Hire of Agency Staff (Clerical/Secretariat/Other),UK Trade & Investment - Strategic Trade,BROOK STREET (UK) LTD,1068901,598.32,,AL1 4ZX,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Hotels,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287517,96.5,,GU1 4GA,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Hotels,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287547,79,,NE15 8NY,EXT,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Hotels,UK Trade & Investment - Defence and Security Organisation,"Personal Expense, Name Witheld",10287552,13.9,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Hotels,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287554,82.8,,NE15 8NY,EXT,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Hotels Overseas,UK Trade & Investment - Marketing & Communications,"Personal Expense, Name Witheld",10287515,189.18,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Mileage Allowances,UK Trade & Investment - Marketing & Communications,"Personal Expense, Name Witheld",10287515,58.5,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Mileage Allowances,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287517,391.05,,GU1 4GA,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Mileage Allowances,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287534,74.25,,NE15 8NY,EXT,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Mileage Allowances,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287545,86.8,,NE15 8NY,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Mileage Allowances,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287545,24,,NE15 8NY,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Mileage Allowances,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287546,56.7,,LS16 6QY,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Mileage Allowances,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287547,53.3,,NE15 8NY,EXT,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Mileage Allowances,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287551,8.1,,NE15 8NY,EXT,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Mileage Allowances,UK Trade & Investment - Defence and Security Organisation,"Personal Expense, Name Witheld",10287553,58.2,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Mileage Allowances,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287554,12.68,,NE15 8NY,EXT,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Mobile Line Rental,UK Trade & Investment - Trade Development,VODAFONE LTD,1068950,30.1,,RG14 5FF,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Mobile Line Rental,UK Trade & Investment - Trade Development,VODAFONE LTD,1068950,-0.01,,RG14 5FF,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Mobile Phones,UK Trade & Investment - Chief Executives Office,VODAFONE LTD,1067932,19.2,,RG14 5FF,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Other Overseas Travel & Subsistence,UK Trade & Investment - Marketing & Communications,"Personal Expense, Name Witheld",10287515,73.25,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Other UK Travel & Subsistence,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287517,39.3,,GU1 4GA,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Other UK Travel & Subsistence,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287534,4.5,,NE15 8NY,EXT,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Other UK Travel & Subsistence,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287546,30.1,,LS16 6QY,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Other UK Travel & Subsistence,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287547,6.9,,NE15 8NY,EXT,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Other UK Travel & Subsistence,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287551,27,,NE15 8NY,EXT,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Other UK Travel & Subsistence,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287554,34,,NE15 8NY,EXT,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Publications,UK Trade & Investment - Chief Operating Officer,JONES YARRELL LEADENHALL,1068882,63.04,,E3 3JH,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Publications,UK Trade & Investment - Investment Group,JONES YARRELL LEADENHALL,1068883,48.76,,E3 3JH,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Publications,UK Trade & Investment - Defence and Security Organisation,JONES YARRELL LEADENHALL,1068885,31.62,,E3 3JH,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Publications,UK Trade & Investment - Strategic Trade,JONES YARRELL LEADENHALL,1068889,32.64,,E3 3JH,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Rail Fares,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287516,32.7,,GU1 4GA,EXT,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Rail Fares,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287517,43.5,,GU1 4GA,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Rail Fares,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287545,8.4,,NE15 8NY,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Rail Fares,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287546,4.3,,LS16 6QY,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Static Line Rental,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287514,9.78,,NG2 4LA,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Stationery,UK Trade & Investment - Trade Development,BANNER BUSINESS SERVICES LTD,1068887,24,,NR3 1QU,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Stationery,UK Trade & Investment - Trade Development,BANNER BUSINESS SERVICES LTD,1068887,71.23,,NR3 1QU,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Subsistence Payments,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287516,5,,GU1 4GA,EXT,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Subsistence Payments,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287517,70.25,,GU1 4GA,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Subsistence Payments,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287545,35.3,,NE15 8NY,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Subsistence Payments,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287546,21.9,,LS16 6QY,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Subsistence Payments,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287551,30.25,,NE15 8NY,EXT,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Subsistence Payments,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287554,30.25,,NE15 8NY,EXT,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Subsistence Payments Overseas,UK Trade & Investment - Marketing & Communications,"Personal Expense, Name Witheld",10287515,73.85,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Taxis,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287517,31,,GU1 4GA,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/2/2012,Taxis Overseas,UK Trade & Investment - Marketing & Communications,"Personal Expense, Name Witheld",10287515,37.27,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Entertaining Overseas,UK Trade & Investment - Strategic Trade,"Personal Expense, Name Witheld",10287580,6.09,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Entertaining UK,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287596,8.8,,GU1 4GA,EXT,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Hire of Agency Staff (Clerical/Secretariat/Other),UK Trade & Investment - Trade Development,ADECCO UK LTD,1069071,863.18,,B37 7YE,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Hire of Agency Staff (Professional/Management),UK Trade & Investment - Marketing & Communications,HUDSON GLOBAL RESOURCES LTD,1069016,143.66,,G2 5HF,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Hire of Agency Staff (Professional/Management),UK Trade & Investment - Marketing & Communications,AQUENT,1069033,3901.4,,W1T 7RJ,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Hotels,UK Trade & Investment - Investment Group,"Personal Expense, Name Witheld",10287593,109,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Hotels,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287596,132.4,,GU1 4GA,EXT,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Hotels Overseas,UK Trade & Investment - Strategic Trade,"Personal Expense, Name Witheld",10287567,568.47,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Hotels Overseas,UK Trade & Investment - Strategic Trade,"Personal Expense, Name Witheld",10287579,120.34,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Hotels Overseas,UK Trade & Investment - Strategic Trade,"Personal Expense, Name Witheld",10287580,443.14,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Hotels Overseas,UK Trade & Investment - Chief Operating Officer,"Personal Expense, Name Witheld",10287599,531.71,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Mileage Allowances,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287596,1.8,,GU1 4GA,EXT,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Mileage Allowances,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287611,274,,BS1 6EH,EXT,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Mileage Allowances,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287613,188.15,,BS1 6EH,EXT,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Mileage Allowances,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287614,200.7,,LS16 6QY,EXT,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Mobile Line Rental,UK Trade & Investment - Strategic Trade,VODAFONE LTD,1069060,19.8,,NG24 2EG,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Other Overseas Travel & Subsistence,UK Trade & Investment - Marketing & Communications,"Personal Expense, Name Witheld",10287564,12.5,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Other Overseas Travel & Subsistence,UK Trade & Investment - Marketing & Communications,"Personal Expense, Name Witheld",10287564,5.88,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Other Overseas Travel & Subsistence,UK Trade & Investment - Defence and Security Organisation,"Personal Expense, Name Witheld",10287565,16.13,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Other Overseas Travel & Subsistence,UK Trade & Investment - Strategic Trade,"Personal Expense, Name Witheld",10287580,63.16,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Other Overseas Travel & Subsistence,UK Trade & Investment - Chief Operating Officer,"Personal Expense, Name Witheld",10287599,43.2,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Other UK Travel & Subsistence,UK Trade & Investment - Marketing & Communications,AQUENT,1069033,2376.8,,W1T 7RJ,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Other UK Travel & Subsistence,UK Trade & Investment - Strategic Trade,"Personal Expense, Name Witheld",10287567,56.02,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Other UK Travel & Subsistence,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287596,14.6,,GU1 4GA,EXT,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Other UK Travel & Subsistence,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287614,12.2,,LS16 6QY,EXT,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Rail Fares,UK Trade & Investment - Strategic Trade,"Personal Expense, Name Witheld",10287567,25,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Rail Fares,UK Trade & Investment - Strategic Trade,"Personal Expense, Name Witheld",10287579,4,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Rail Fares,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287596,76.1,,GU1 4GA,EXT,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Rail Fares Overseas,UK Trade & Investment - Strategic Trade,"Personal Expense, Name Witheld",10287579,215,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Rail Fares Overseas,UK Trade & Investment - Strategic Trade,"Personal Expense, Name Witheld",10287580,32.92,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Stationery,UK Trade & Investment - Investment Group,BANNER BUSINESS SERVICES LTD,1067845,81.6,,NR3 1QU,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Subsistence Payments,UK Trade & Investment - Investment Group,"Personal Expense, Name Witheld",10287593,25.45,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Subsistence Payments,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287596,33.95,,GU1 4GA,EXT,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Subsistence Payments,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287613,20,,BS1 6EH,EXT,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Subsistence Payments Overseas,UK Trade & Investment - Marketing & Communications,"Personal Expense, Name Witheld",10287563,23.03,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Subsistence Payments Overseas,UK Trade & Investment - Marketing & Communications,"Personal Expense, Name Witheld",10287563,20,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Subsistence Payments Overseas,UK Trade & Investment - Marketing & Communications,"Personal Expense, Name Witheld",10287563,2.88,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Subsistence Payments Overseas,UK Trade & Investment - Marketing & Communications,"Personal Expense, Name Witheld",10287564,40,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Subsistence Payments Overseas,UK Trade & Investment - Defence and Security Organisation,"Personal Expense, Name Witheld",10287566,11.84,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Subsistence Payments Overseas,UK Trade & Investment - Strategic Trade,"Personal Expense, Name Witheld",10287579,44.73,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Subsistence Payments Overseas,UK Trade & Investment - Strategic Trade,"Personal Expense, Name Witheld",10287580,121.72,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Subsistence Payments Overseas,UK Trade & Investment - Chief Operating Officer,"Personal Expense, Name Witheld",10287599,112.36,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Taxis,UK Trade & Investment - Marketing & Communications,"Personal Expense, Name Witheld",10287563,5,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Taxis,UK Trade & Investment - Marketing & Communications,"Personal Expense, Name Witheld",10287564,5,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Taxis,UK Trade & Investment - Strategic Trade,"Personal Expense, Name Witheld",10287567,20,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Taxis,UK Trade & Investment - Strategic Trade,"Personal Expense, Name Witheld",10287580,120,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Taxis,UK Trade & Investment - Investment Group,"Personal Expense, Name Witheld",10287594,16,,SW1H 0ET,EXT,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/5/2012,Taxis,UK Trade & Investment - Trade Development,"Personal Expense, Name Witheld",10287596,5,,GU1 4GA,EXT,,,Administration
