"MEETINGS WITH EXTERNAL ORGANISATIONS (INCLUDING MEETINGS WITH NEWSPAPER AND OTHER MEDIA PROPRIETORS, EDITORS AND SENIOR MEDIA EXECUTIVES)",,,
Period: 1 April – 30 June 2013,,,
Name,Date of Meeting ,Name of External Organisation,Purpose of Meeting  
"Robert Devereux, Permanent Secretary",NIL return,,
