"Figure 4.1: Broadband take-up trend, 2005 – 2010",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Take-up (%),UK,England,Scotland,Wales,N Ireland,London,SE,SW,EM,WM,EE,Y&H,NE,NW,UK Urban,UK Rural,,,,
2005,35,36,31,24,25,39,41,32,34,,,34,33,,32,35,,,,
2006,45,45,42,42,42,44,46,47,47,40,47,42,43,47,41,45,,,,
2008,57,58,53,52,45,62,66,60,49,57,67,54,54,48,57,59,,,,
2009,68,70,60,58,64,78,78,74,64,57,75,61,65,63,68,67,,,,
2010,71,73,61,64,70,74,80,77,75,62,76,71,67,66,70,75,,,,
,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, Q1 2010",,,,,,,,,,,,,,,,,,,,
"Base: All adults aged 15+ (n = 9013 UK, 5709 England, 1468 Scotland, 1075 Wales, 761 Northern Ireland)",,,,,,,,,,,,,,,,,,,,
Note: includes households with a fixed-line and/or a mobile broadband connection,,,,,,,,,,,,,,,,,,,,
QE9. Which of these methods does your household use to connect to the internet at home?,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Figure 4.2: Internet take-up,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Take-up (%),UK,England,  Scotland,Wales,N Ireland,Eng urban,Eng rural,London,SE,SW,EM,WM,EE,Y&H,NE,NW,Outer London,Metropolitan WM,G'tr Manchester Met,W Yorkshire Met
Fixed broadband only,56,57,48,48,56,56,67,56,62,64,61,50,64,56,51,50,63,49,57,51
Fixed and mobile broadband,9,9,6,9,6,9,7,7,12,8,7,8,8,8,12,10,7,5,8,6
Mobile broadband only,6,6,6,7,8,7,3,11,5,4,7,4,4,7,4,6,6,6,7,7
% point change in mobile broadband only,3,2,3,4,6,3,+/-0,9,1,2,1,2,2,+/-0,-2,4,,,,
,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, Q1 2010",,,,,,,,,,,,,,,,,,,,
"Base: All adults aged 15+ (n = 9013 UK, 5709 England, 1468 Scotland, 1075 Wales, 761 Northern Ireland)",,,,,,,,,,,,,,,,,,,,
QE9. Which of these methods does your household use to connect to the internet at home?,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Figure 4.3: Awareness of mobile broadband,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Awareness (%),UK,England,  Scotland,Wales,N Ireland,Eng urban,Eng rural,London,SE,SW,EM,WM,EE,Y&H,NE,NW,Outer London,Metropolitan WM,G'tr Manchester Met,W Yorkshire Met
Aware Mobile BB,64,65,61,60,60,65,65,71,66,67,74,50,59,70,63,62,68,56,67,65
% point change since Q1 09,7,7,5,9,10,6,9,2,2,-1,17,7,11,6,6,12,,,,
,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, Q1 2010",,,,,,,,,,,,,,,,,,,,
"Base: All adults aged 15+ (n = 9013 UK, 5709 England, 1468 Scotland, 1075 Wales, 761 Northern Ireland)",,,,,,,,,,,,,,,,,,,,
"QE21. Before now, were you aware that you can access broadband services on your PC or laptop by using a mobile network?",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Figure 4.4: Proportion of adults who have used a mobile phone to access the internet,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Use (%),UK,England,Scotland,Wales,N Ireland,Eng urban,Eng rural,London,SE,SW,EM,WM,EE,Y&H,NE,NW,Outer London,Metropolitan WM,G'tr Manchester Met,W Yorkshire Met
Used in past week,11,12,5,10,9,12,10,15,12,10,13,7,12,12,17,11,15,6,9,9
Used less than weekly,5,5,3,4,7,6,4,8,4,5,4,6,4,8,4,4,5,5,4,5
Total,16,17,9,14,16,18,14,23,17,15,17,13,16,19,22,15,20,12,13,14
,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, Q1 2010",,,,,,,,,,,,,,,,,,,,
"Base: All adults aged 15+ (n = 9013 UK, 5709 England, 1468 Scotland, 1075 Wales, 761 Northern Ireland)",,,,,,,,,,,,,,,,,,,,
"QD28. Which, if any, of the following activities, other than making and receiving calls, do you use your mobile for?",,,,,,,,,,,,,,,,,,,,
