Grade,Men Headcount,Men Percentage,Female Headcount,Female Percentage,Grade Total
A1/A2/B1/B2,7,35.00%,13,65.00%,20
AP/SCP/CA/SCA/D,9,52.90%,8,47.10%,17
ALL CPS,16,43.20%,21,56.80%,37
