Department Family,Entity,Transaction Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount 
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,FARES - RAIL,CHIEF EXECUTIVE,COMPANY BARCLAYCARD,0000179155,145.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,TRAINING AND EDUCATION,CHIEF EXECUTIVE,COMPANY BARCLAYCARD,0000179155,125.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,FARES - RAIL,CONTRACTS,COMPANY BARCLAYCARD,0000179155,50.66
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/02/2011,PUBLIC RELATIONS,CORPORATE AFFAIRS,MEMBERSHIP RENEWAL,0000178701,20.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/02/2011,PUBLIC RELATIONS,CORPORATE AFFAIRS,MEMBERSHIP RENEWAL,0000178702,180.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2011,PUBLIC RELATIONS,CORPORATE AFFAIRS,DURRANTS LIMITED,0000178889,527.33
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2011,PUBLIC RELATIONS,CORPORATE AFFAIRS,DURRANTS LIMITED,0000178890,187.55
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2011,PUBLIC RELATIONS,CORPORATE AFFAIRS,SHARPE PRITCHARD,0000179011,427.05
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,11/02/2011,PUBLIC RELATIONS,CORPORATE AFFAIRS,BRITISH COAL UTILSTN RSRC,0000179047,"2,556.98"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/02/2011,CHILDCARE VOUCHERS,DATA MANAGEMENT,LEAPFROG DAY NURSERIES LT,0000178893,243.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/02/2011,CHILDCARE VOUCHERS,DATA MANAGEMENT,LEAPFROG DAY NURSERIES LT,0000178893,240.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/02/2011,CHILDCARE VOUCHERS,DATA MANAGEMENT,LEAPFROG DAY NURSERIES LT,0000178893,50.88
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/01/2011,CURR YR ADD-BROUGHT PLNT/MCHNY,DATA MANAGEMENT,CAPGEMINI UK PLC,0000178920,"42,452.60"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,FARES - RAIL,DATA MANAGEMENT,COMPANY BARCLAYCARD,0000179156,145.90
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/01/2011,IT SERVICES - OPERATIONS,DATA MANAGEMENT,SYSTEM ASSOCIATES,0000178349,"1,600.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/01/2011,IT SERVICES - OPERATIONS,DATA MANAGEMENT,CAPGEMINI UK PLC,0000178917,"34,673.95"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/01/2011,IT SERVICES - OPERATIONS,DATA MANAGEMENT,CAPGEMINI UK PLC,0000178919,"2,205.00"
