Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,15/02/2016,MATERIALS & SPARES,FUSION,ANIXTER (UK) LTD,5100332683,33.00
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,01/02/2016,MATERIALS & SPARES,FUSION,ANIXTER (UK) LTD,5100331907,39.40
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/02/2016,MATERIALS & SPARES,FUSION,ANIXTER (UK) LTD,5100331934,3058.70
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,OPERATING LEASE,FUSION,ANNODATA BUSINESS COMMUNICATIONS,5100327880,2778.30
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/02/2016,OPERATING LEASE,FUSION,ANNODATA BUSINESS COMMUNICATIONS,5100330926,3050.99
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,OPERATING LEASE,FUSION,ANNODATA BUSINESS COMMUNICATIONS,5100332570,2487.00
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,25/01/2016,SOFTWARE,FUSION,APPLIED CAE,5100331690,605.41
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,25/01/2016,SOFTWARE,FUSION,APPLIED CAE,5100331640,2850.00
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,27/01/2016,PROFESSIONAL SERVICES,FUSION,Applus Aerospace Uk Ltd,5100331834,1878.75
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,01/02/2016,PROFESSIONAL SERVICES,FUSION,Applus Aerospace Uk Ltd,5100331835,1138.27
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,27/01/2016,PROFESSIONAL SERVICES,FUSION,Applus Aerospace Uk Ltd,5100331836,408.63
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,27/01/2016,PROFESSIONAL SERVICES,FUSION,Applus Aerospace Uk Ltd,5100331837,170.01
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,27/01/2016,PROFESSIONAL SERVICES,FUSION,Applus Aerospace Uk Ltd,5100331838,90.47
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,01/02/2016,Materials & Spares,FUSION,AQUA COOLING SOLUTIONS LT,5100331979,8182.65
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,25/01/2016,PERSONAL PROTECTIVE EQUIPMENT,SUPPORT SERVICES,ARCO LTD,5100331688,645.69
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,25/01/2016,PERSONAL PROTECTIVE EQUIPMENT,SUPPORT SERVICES,ARCO LTD,5100331689,34.11
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,15/02/2016,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100332499,35.88
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,25/01/2016,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100331565,94.79
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,25/01/2016,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100331683,2.23
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,01/02/2016,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100331894,34.39
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100332207,37.90
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,01/02/2016,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100331851,18.06
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,01/02/2016,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100331888,7.89
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,15/02/2016,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100332025,172.55
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100332053,450.34
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,25/01/2016,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100331566,40.21
