Supplier,Amount,Payment Date
02 UK LIMITED,543.55,16/12/2013
15BILLION,12150,20/12/2013
24 ACOUSTICS LTD,1008,11/12/2013
24 HR CENTRAL CAR HIRE LTD,1438.17,10/12/2013
A F BROWNE LTD,541.1,11/12/2013
A LOWRIE CARE SERVICES LIMITED,18000,16/12/2013
A LOWRIE CARE SERVICES LIMITED,18000,16/12/2013
A LOWRIE CARE SERVICES LIMITED,9642.86,27/12/2013
ABACUS CARE GREENWICH,840,13/12/2013
ABBEY CARE CENTRE LIMITED,2392.36,20/12/2013
ABBEY COACHES T/A ABBEY TRAVEL,3450,27/12/2013
ABBEY HEALTHCARE T/A ELMCROFT CARE HOME LTD,2657.14,20/12/2013
ACCURATE ROOFING  (UK) LTD,201137.04,18/12/2013
ACUMENSION,1076.16,20/12/2013
ADECCO UK LTD,1380.13,10/12/2013
ADVANCED MACHINERY SERVICES LTD,1026,31/12/2013
ADVOCACY FOR OLDER PEOPLE,5000,16/12/2013
ADVOCACY FOR OLDER PEOPLE,5000,23/12/2013
AF STARR BUILDING CONTRACTORS,2257.2,20/12/2013
AFFORDABLE REMOVALS,505,18/12/2013
AFRICAN CARIBEAN DEVELOPMENT FOUNDATION,1000,23/12/2013
AGE EXCHANGE THEATRE TRUST LT,534.48,23/12/2013
AGE UK BROMLEY & GREENWICH,21612.5,12/12/2013
AGE UK BROMLEY & GREENWICH,21612.5,12/12/2013
AGE UK BROMLEY & GREENWICH,4287.5,12/12/2013
AGE UK BROMLEY & GREENWICH,21612.5,13/12/2013
AGE UK BROMLEY & GREENWICH,16054.17,16/12/2013
AGE UK BROMLEY & GREENWICH,22470,16/12/2013
AGE UK BROMLEY & GREENWICH,8750,16/12/2013
AHMEDIA LTD,594,09/12/2013
ALLIANCE CARE & EDUCATION LTD,13714.28,24/12/2013
ALLIANCE CARE & EDUCATION LTD,14171.42,24/12/2013
ALLIED CARE LTD T/A WHYTEACRES,1466.61,20/12/2013
ALLIED CARE LTD T/A WHYTEACRES,1466.61,20/12/2013
ALSFORD TIMBER LTD,570.82,05/12/2013
AMALGAMATED LIFTS LTD,1807.2,12/12/2013
AMBER CAR SERVICES LTD,2827.74,19/12/2013
ANAHITA REHABILITATION CENTRE LLP,4071.43,11/12/2013
ANAHITA REHABILITATION CENTRE LLP,4071.43,11/12/2013
ANAHITA REHABILITATION CENTRE LLP,4071.43,11/12/2013
ANAHITA REHABILITATION CENTRE LLP,3447.14,11/12/2013
ANAHITA REHABILITATION CENTRE LLP,4714.29,11/12/2013
ANCO UK SECURITY LTD,2572.03,09/12/2013
ANDREW LAWRENCE PRINT,6279.52,10/12/2013
ANDREW LAWRENCE PRINT,6154,10/12/2013
ANGELS HUMAN RESOURCES LTD,532.03,11/12/2013
ANN O`CONNOR T/A NEESOM ASSOCIATES,700,20/12/2013
ANSCO ARENA,40411.5,04/12/2013
ANTALIS LIMITED,804.6,30/12/2013
ANTALIS LIMITED,922.56,30/12/2013
ANTHONY GOLD SOLICITORS,4000,06/12/2013
ANTHONY GOLD SOLICITORS,5600,17/12/2013
AON,10623.75,18/12/2013
APEX LIFTS,69597.83,18/12/2013
APOLLO PROPERTY SERVICES GROUP LIMITED,201739.67,19/12/2013
AQA,3451.2,30/12/2013
AQUAID,548.16,24/12/2013
ARCHITECTURAL DECORATORS LTD,63245.71,04/12/2013
ARCHITECTURAL DECORATORS LTD,125089.36,04/12/2013
ARDEN CHAMBERS LTD,1200,05/12/2013
ARDEN CHAMBERS LTD,3120,11/12/2013
ARDEN CHAMBERS LTD,3600,23/12/2013
