Senior official or Non-Executive Director,Job title,Dates,Destination,Purpose,Air travel,Rail/Tube travel,Taxi/Car travel,Accommodation/Meals travel,Other (including hospitality given),Total cost £
Jonathan Moor ,"Acting Director General - International, Strategy & Environment",6-7/02/13,Oxford ,Major Projects Authority Workshop ,,£77.59,,,,£77.59
Lucy Chadwick ,"Director General - International, Strategy & Environment",28.02.13,Office ,GTI Director interviews (to attend while on medical leave) ,,,£25.00,,,£25.00
Alan Cook,Non-Executive Board Member,18/1/13,London,Exec/Non-Exec meeting,,£23.00,,,,£23.00
Alan Cook,Non-Executive Board Member,15/2/13,London,DfT Board meeting,,£42.40,,,£5.50 (station car park),£47.90
Alan Cook,Non-Executive Board Member,22/3/13,London,DfT Exec/Non-Exec meeting,,£23.90,,,,£23.90
Alan Cook,Chair of Highways Agency Board,9/1/13,London,1:1's with management team,,£37.00,,,£5.50 (station car park),£42.50
Alan Cook,Chair of Highways Agency Board,23/1/13,London,HA Senior Appointments Committee,,£37.00,,,£5.50 (station car park),£42.50
Alan Cook,Chair of Highways Agency Board,30/1/13,London,HA Board,,£36.50,,,,£36.50
Alan Cook,Chair of Highways Agency Board,14/2/13,London,HA Senior Appointments Committee,,£42.40,,,,£42.40
Alan Cook,Chair of Highways Agency Board,27/2/13,London,HA Board,,£42.40,,,,£42.40
Alan Cook,Chair of Highways Agency Board,6/3/13,London,Meeting with Chief Executive,,£25.70,,,,£25.70
Alan Cook,Chair of Highways Agency Board,27/3/13,London,HA Board,,£42.40,,,£5.50 (station car park),£47.90
Steve Gooding,"Director General, Roads, Local and Traffic",8/1/13,London,Travel to business dinner,,£4.20,,,,£4.20
Steve Gooding,"Director General, Roads, Local and Traffic",10/1/13,London,Travel to seminar,,£4.20,,,,£4.20
Steve Gooding,"Director General, Roads, Local and Traffic",17/1/13,London,Official meeting,,£4.20,,,,£4.20
Steve Gooding,"Director General, Roads, Local and Traffic",22/1/13,London,Travel to meeting of Exchange,,£4.20,,,,£4.20
Steve Gooding,"Director General, Roads, Local and Traffic",24/1/13,London,Hotel,,,,£76.65,,£76.65
Steve Gooding,"Director General, Roads, Local and Traffic",19/3/13,London,Travel to meeting of Exchange,,£4.20,,,,£4.20
Steve Gooding,"Director General, Roads, Local and Traffic",20/3/13,London,Travel to PSG workshop,,£4.20,,,,£4.20
David Prout,Director-General HS2,10/1/13,West Ruislip,Route Visit ,,£97.13,,,,£97.13
David Prout,Director-General HS2,17/1/13,Liverpool,Meeting with Local Authority ,,£76.88,,,£8.50,£85.38
David Prout,Director-General HS2,21/1/13,Oxford,MPLA workshop,,£52.44,£23.00,,,£75.44
David Prout,Director-General HS2,6/2/13,Oxford,MPLA workshop,,£27.02,,,,£27.02
David Prout,Director-General HS2,26/2/13,London,Official meeting,,,£5.00,,,£5.00
David Prout,Director-General HS2,28/1/13,Oxford,MPLA workshop,,,£25.00,,,£25.00
