Region,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
East Anglia,873,544,726,13895,6505,123,1315,11,2995,20209,4432,51628
East Midlands,1222,752,1069,27023,10843,188,1700,4,4398,36630,7433,91262
Greater London,191,4723,654,51548,24840,491,4187,7,4952,116398,22156,230147
Isles of Scilly,1,0,0,2,3,0,8,0,6,16,3,39
North,1068,650,768,18554,7614,143,1033,0,2593,25256,4437,62116
North West,1037,1677,834,35384,15336,372,2013,1,6037,61165,10716,134572
South East,1670,3085,2915,78641,36023,493,5408,35,11364,123490,27176,290300
South West,1583,1222,1651,38577,15539,225,2611,21,6305,50142,11433,129309
Wales,1341,482,776,16482,7250,150,1006,3,4002,25678,4268,61438
West Midlands,1045,843,1297,27749,12190,218,1888,17,4904,45717,8072,103940
Yorks & Humber,975,811,997,27794,12055,198,1659,0,4393,41349,7342,97573
England & Wales (not assigned),2,0,0,0,0,0,0,0,0,4,67,73
