"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Justice","Information Commissioner's Office","Operations","DOP","Band A","11939","16152","Scanning Assistant","1.00","Operational Delivery"
"Ministry of Justice","Information Commissioner's Office","Operations","DOP","Band A","11939","16152","Notification Assistant","5.60","Operational Delivery"
"Ministry of Justice","Information Commissioner's Office","Operations","DOP","Band B","14149","19143","Customer Service Officer","2.00","Operational Delivery"
"Ministry of Justice","Information Commissioner's Office","Operations","DOP","Band B","14149","19143","Notification Officer","12.40","Operational Delivery"
"Ministry of Justice","Information Commissioner's Office","Operations","DOP","Band C","17687","23929","Senior Notification Officer","3.10","Operational Delivery"
"Ministry of Justice","Information Commissioner's Office","Operations","DOP","Band B","14149","19143","Administrator","2.00","Operational Delivery"
"Ministry of Justice","Information Commissioner's Office","Operations","DOP","Band B","14149","19143","Personal Assistant","1.00","Operational Delivery"
"Ministry of Justice","Information Commissioner's Office","Operations","DOP","Band B","14149","19143","Advice Officer","1.00","Operational Delivery"
"Ministry of Justice","Information Commissioner's Office","Operations","DOP","Band C","17687","23929","Case Officer","61.60","Operational Delivery"
"Ministry of Justice","Information Commissioner's Office","Operations","DOP","Band C","17687","23929","Operations Support Officer","0.50","Operational Delivery"
"Ministry of Justice","Information Commissioner's Office","Operations","DOP","Band C","17687","23929","Paralegal Administrator","0.70","Law"
"Ministry of Justice","Information Commissioner's Office","Operations","DOP","Band C","17687","23929","Auditor","5.00","Operational Delivery"
"Ministry of Justice","Information Commissioner's Office","Operations","DOP","Band E","28299","38287","Senior Policy Officer","3.00","Operational Delivery"
"Ministry of Justice","Information Commissioner's Office","Operations","DOP","Band D","22330","30211","Lead Case Officer","22.40","Operational Delivery"
"Ministry of Justice","Information Commissioner's Office","Operations","DOP","Band D","22330","30211","Lead Auditor","16.80","Operational Delivery"
"Ministry of Justice","Information Commissioner's Office","Operations","DOP","Band D","22330","30211","Lead Researcher","1.00","Operational Delivery"
"Ministry of Justice","Information Commissioner's Office","Operations","DOP","Band D","22330","30211","Operations Support Manager","3.00","Operational Delivery"
"Ministry of Justice","Information Commissioner's Office","Operations","DOP","Band D","22330","30211","Notification Team Leader","5.00","Operational Delivery"
"Ministry of Justice","Information Commissioner's Office","Operations","DOP","Band D","22330","30211","Investigator","3.00","Operational Delivery"
"Ministry of Justice","Information Commissioner's Office","Operations","DOP","Band E","28299","38287","Team Manager","18.72","Operational Delivery"
"Ministry of Justice","Information Commissioner's Office","Operations","DOP","Band E","28299","38287","Senior Case Officer","28.70","Operational Delivery"
"Ministry of Justice","Information Commissioner's Office","Operations","DOP","Band E","28299","38287","Senior Operations Analysis Officer","3.00","Operational Delivery"
"Ministry of Justice","Information Commissioner's Office","Operations","DOP","Band E","28299","38287","Notification Manager","1.00","Operational Delivery"
"Ministry of Justice","Information Commissioner's Office","Operations","DOP","Band E","28299","38287","Senior Guidance and Promotions Officer","2.00","Operational Delivery"
"Ministry of Justice","Information Commissioner's Office","Operations","DOP","Band E","28299","38287","Operations and Policy Manager","2.00","Operational Delivery"
"Ministry of Justice","Information Commissioner's Office","Operations","DOP","Band F","35816","48547","Group Manager","11.60","Operational Delivery"
"Ministry of Justice","Information Commissioner's Office","Operations","DOP","Band F","35816","48547","Solicitor","2.00","Law"
"Ministry of Justice","Information Commissioner's Office","Operations","DOP","Band C","17687","23929","Executive Assistant","0.80","Operational Delivery"
