Minister,Date,Name of External Organisation,Purpose of meeting
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,April,Build Your Dreams,To discuss electric buses
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,April,Network Rail,Regular rail update
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,May,Drax Power Ltd,Freight Transport Infrastructure
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,May,Rail Delivery Group,Regular rail update
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,May,Network Rail,Regular rail update
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,May,Manchester Airport Group,Aviation
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,May,Network Rail,Regular rail update
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,May,National Air Traffic Services (NATS),Regular aviation update
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,June,"Trades Union Congress (TUC), Unite, TSSA, RMT and ASLEF",To discuss rail
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,June,Network Rail,Regular rail update
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,June,Universities Superannuation Scheme,UK transport infrastructure
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,June,National Development and Reform Commission (NDRC),Rail Investment
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,June,Network Rail,Regular rail update
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,June,Network Rail,Regular rail update
Minister of State for Transport - Baroness Kramer,April,ResPublica,To discuss HS2
Minister of State for Transport - Baroness Kramer,April,London Stanstead Cambridge Consortium,Rail issues
Minister of State for Transport - Baroness Kramer,April,Local Enterprise Group,Local Growth
Minister of State for Transport - Baroness Kramer,April,Network Rail,Rail issues
Minister of State for Transport - Baroness Kramer,April,Local Enterprise Group,Local Growth
Minister of State for Transport - Baroness Kramer,May,Transport for London,Transport issues
Minister of State for Transport - Baroness Kramer,May,National Autistic Society,Blue Badge
Minister of State for Transport - Baroness Kramer,May,Railway Industry Association,Rail issues
Minister of State for Transport - Baroness Kramer,May,Rail Delivery Freight Group,Rail Freight
Minister of State for Transport - Baroness Kramer,May,London TravelWatch,Accessibility
Minister of State for Transport - Baroness Kramer,June,Simon Kirby MP and a group of taxi drivers,The Deregulation Bill
Minister of State for Transport - Baroness Kramer,June,Mike Weatherley MP and a group of taxi drivers,The Deregulation Bill
Minister of State for Transport - Baroness Kramer,June,"Andrew George MP, Dan Rogerson MP, Penzance Harbour and Seafront Working Group",Isles of Scilly transport
Minister of State for Transport - Baroness Kramer,June,Association of Local Bus Managers,Buses
Parliamentary Under Secretary of State for Transport - Robert Goodwill MP,April,New Forest National Park Authority,Cycling
