2017,Arrest/Detention > Assault,Arrest/Detention > Assault with Weapon,Arrest/Detention > Child Pornography,Arrest/Detention > Child Sex,Arrest/Detention > Drugs,Arrest/Detention > Fraud,Arrest/Detention > General,Arrest/Detention > Immigration,Arrest/Detention > Modern Slavery / Human Trafficking,Arrest/Detention Unknown,Arrest/Detention > Murder / Manslaughter,Arrest/Detention > Sex (not Child),Arrest/Detention > Terrorism,Arrest/Detention > Theft,Child Welfare > Child Abandonment,Child Welfare > Child Custody,Child Welfare > Child Safeguarding,Child Welfare > Parental Child Abduction,Child Welfare Unknown,Commercial Dispute,Coroner Request,Death > Accidental,Death > Drowning,Death > Execution,Death > Hospital Death,Death > Murder or Manslaughter,Death > Natural Death,Death > RTA,Death > Suicide,Death > Unknown,Death in Custody > Natural Death,Death in Custody > Suicide,Death in Custody > Unknown,Diplomatic Claim,Female Genital Mutilation,Forced Marriage,Forced Marriage - Reluctant Sponsor,Hospitalisation > Dementia,Hospitalisation > Disability,Hospitalisation > Mental Health,Hospitalisation Unknown,Hospitalisation > Physical Health,Missing Persons,Missing Persons > None,Property > Fraud,Property > Government,Property > Unknown,Property > Other,Travel Ban,Travel Documents > Lost/Stolen Passport,Travel Documents > Recovered Passport,Victim of Crime > Assault,Victim of Crime > Domestic Abuse,Victim of Crime > Held Against Will,Victim of Crime > Modern Slavery/Human Trafficking,Victim of Crime > Rape & Sexual Assault,Victim of Crime Unknown,Victim of Crime > Theft,Welfare,Whereabouts,Accident/Emergency > Air Incident,Accident/Emergency > Coach Crash,Accident/Emergency > Natural Disaster,Accident/Emergency > Road Traffic Accident,Accident/Emergency > Terrorist Incident,Accident/Emergency - Unknown,ETDs,Complaints,Compliments,Consular enquiries,Fee bearing services
Sao Paulo,<=5,0,0,0,<=5,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,<=5,0,0,0,0,0,0,0,13,21,0,0,<=5,0,0,0,<=5,9,<=5,0,0,0,0,0,0,35,0,<=5,2139,44
Tortola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montreal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867,0
Ottawa,<=5,0,0,0,0,0,<=5,<=5,0,0,0,0,0,0,0,0,<=5,0,0,0,0,<=5,0,0,0,0,<=5,0,0,<=5,0,0,0,0,0,0,0,0,0,<=5,0,<=5,0,0,0,0,0,0,0,120,63,<=5,<=5,0,0,0,0,0,9,0,0,0,0,0,0,0,35,0,<=5,4025,35
Toronto,7,<=5,<=5,0,<=5,<=5,9,22,0,0,<=5,0,0,<=5,0,0,0,<=5,0,0,0,0,0,0,<=5,0,<=5,<=5,<=5,<=5,0,0,0,0,0,0,0,0,0,<=5,0,<=5,<=5,<=5,0,0,0,0,0,113,127,<=5,<=5,0,0,0,0,0,29,<=5,0,0,<=5,0,0,0,187,0,18,4467,187
Vancouver,0,0,0,<=5,<=5,0,<=5,6,0,0,0,0,0,0,0,<=5,<=5,0,0,0,0,0,0,0,0,0,<=5,0,<=5,7,0,0,0,0,0,0,0,0,0,<=5,0,<=5,<=5,<=5,0,0,0,0,0,138,70,0,<=5,0,0,<=5,0,0,20,<=5,0,0,0,0,0,0,150,0,<=5,3509,150
Grand Cayman,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,<=5,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,<=5,<=5,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santiago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,<=5,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,<=5,0,7,<=5,<=5,0,0,0,0,0,101,0,<=5,0,0,0,<=5,0,8,8,0,0,0,0,<=5,0,0,112,0,<=5,1000,112
Valparaiso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bogota,0,0,0,0,<=5,0,<=5,<=5,0,0,<=5,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,<=5,0,<=5,<=5,0,0,0,0,0,0,0,0,0,<=5,0,15,<=5,<=5,0,0,0,0,0,67,19,0,<=5,0,0,0,0,6,9,<=5,0,0,0,0,0,0,103,0,7,1840,188
Cali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cartagena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
