2017,Arrest/Detention > Assault,Arrest/Detention > Assault with Weapon,Arrest/Detention > Child Pornography,Arrest/Detention > Child Sex,Arrest/Detention > Drugs,Arrest/Detention > Fraud,Arrest/Detention > General,Arrest/Detention > Immigration,Arrest/Detention > Modern Slavery / Human Trafficking,Arrest/Detention Unknown,Arrest/Detention > Murder / Manslaughter,Arrest/Detention > Sex (not Child),Arrest/Detention > Terrorism,Arrest/Detention > Theft,Child Welfare > Child Abandonment,Child Welfare > Child Custody,Child Welfare > Child Safeguarding,Child Welfare > Parental Child Abduction,Child Welfare Unknown,Commercial Dispute,Coroner Request,Death > Accidental,Death > Drowning,Death > Execution,Death > Hospital Death,Death > Murder or Manslaughter,Death > Natural Death,Death > RTA,Death > Suicide,Death > Unknown,Death in Custody > Natural Death,Death in Custody > Suicide,Death in Custody > Unknown,Diplomatic Claim,Female Genital Mutilation,Forced Marriage,Forced Marriage - Reluctant Sponsor,Hospitalisation > Dementia,Hospitalisation > Disability,Hospitalisation > Mental Health,Hospitalisation Unknown,Hospitalisation > Physical Health,Missing Persons,Missing Persons > None,Property > Fraud,Property > Government,Property > Unknown,Property > Other,Travel Ban,Travel Documents > Lost/Stolen Passport,Travel Documents > Recovered Passport,Victim of Crime > Assault,Victim of Crime > Domestic Abuse,Victim of Crime > Held Against Will,Victim of Crime > Modern Slavery/Human Trafficking,Victim of Crime > Rape & Sexual Assault,Victim of Crime Unknown,Victim of Crime > Theft,Welfare,Whereabouts,Accident/Emergency > Air Incident,Accident/Emergency > Coach Crash,Accident/Emergency > Natural Disaster,Accident/Emergency > Road Traffic Accident,Accident/Emergency > Terrorist Incident,Accident/Emergency - Unknown,ETDs,Complaints,Compliments,Consular enquiries,Fee bearing services
New York,<=5,0,<=5,8,9,<=5,15,32,0,0,<=5,0,0,<=5,0,<=5,<=5,<=5,0,0,0,<=5,<=5,0,<=5,<=5,<=5,0,0,6,0,0,0,0,0,0,0,0,0,8,0,17,6,6,0,0,0,0,0,482,194,<=5,<=5,0,0,<=5,0,0,34,<=5,0,0,0,0,0,0,689,0,35,12980,751
Orlando,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0
San Francisco,13,0,0,<=5,<=5,<=5,35,38,0,0,<=5,0,0,<=5,0,0,0,<=5,0,0,0,<=5,0,0,0,0,8,<=5,<=5,<=5,0,0,0,0,0,0,0,0,<=5,<=5,0,<=5,<=5,<=5,0,0,0,0,0,328,132,0,0,0,<=5,0,0,0,23,<=5,0,0,0,0,0,0,417,0,<=5,3924,432
Seattle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,0,0,<=5,<=5,<=5,0,<=5,<=5,0,0,0,0,0,0,0,<=5,<=5,0,0,0,0,<=5,0,0,0,0,<=5,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,<=5,<=5,<=5,0,0,0,0,0,103,77,0,0,0,0,0,0,0,10,0,0,0,<=5,0,0,0,186,<=5,8,8978,216
Caracas,0,0,0,0,<=5,0,<=5,<=5,0,0,0,0,0,0,0,0,<=5,<=5,0,0,0,0,0,0,0,0,<=5,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,<=5,<=5,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,7,0,<=5,539,29
Adelaide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brisbane,<=5,0,<=5,0,9,0,<=5,<=5,0,0,<=5,0,0,<=5,<=5,<=5,<=5,<=5,0,0,0,<=5,<=5,0,<=5,0,11,<=5,<=5,<=5,0,0,0,0,0,0,0,<=5,0,<=5,0,13,<=5,<=5,0,0,0,<=5,8,212,210,<=5,0,0,0,0,0,0,31,0,0,0,0,0,0,0,316,<=5,24,2597,391
Canberra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,<=5,0,0,0,0,<=5,0,0,0,0,<=5,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,<=5,<=5,0,0,0,0,<=5,276,77,0,0,0,0,<=5,0,0,<=5,0,0,0,0,0,0,0,14,<=5,<=5,3226,81
Melbourne,<=5,0,<=5,6,6,0,13,14,0,0,<=5,<=5,0,<=5,0,<=5,10,0,0,0,0,<=5,0,0,0,0,<=5,<=5,<=5,<=5,0,0,0,0,0,0,0,0,0,<=5,0,11,<=5,<=5,0,0,0,0,<=5,355,291,0,0,0,0,0,0,<=5,36,<=5,0,0,0,0,0,0,453,0,<=5,2936,629
Perth,8,0,<=5,<=5,<=5,0,<=5,8,0,0,0,<=5,0,<=5,0,<=5,12,<=5,0,0,0,<=5,<=5,0,<=5,0,0,0,<=5,7,<=5,0,0,0,0,0,0,0,0,<=5,0,8,<=5,<=5,0,0,0,0,<=5,194,208,0,0,0,0,0,0,0,11,<=5,0,0,0,0,0,0,324,0,8,1950,410
Sydney,10,<=5,0,<=5,0,<=5,16,20,0,0,<=5,<=5,0,0,0,<=5,0,<=5,0,0,0,9,0,0,<=5,<=5,10,<=5,<=5,6,0,0,<=5,0,0,0,0,0,0,<=5,0,11,0,0,0,0,0,0,13,404,441,0,0,0,0,<=5,0,0,37,<=5,0,0,0,0,0,0,647,<=5,11,3721,888
Tasmania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bandar Seri Begawan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,<=5,<=5,<=5,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,7,0,<=5,195,8
Rangoon,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,<=5,<=5,<=5,0,0,0,0,0,8,6,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,15,0,<=5,148,45
Phnom Penh,<=5,0,0,<=5,<=5,0,7,11,0,0,<=5,0,0,0,0,<=5,0,0,0,0,0,0,<=5,0,8,0,7,<=5,<=5,19,0,0,0,0,0,0,0,0,0,<=5,0,29,<=5,<=5,0,0,0,0,0,103,29,0,0,0,0,6,0,6,40,7,0,0,0,<=5,0,0,131,<=5,<=5,701,206
Beijing,0,0,0,0,<=5,0,6,10,0,0,0,0,0,0,0,0,<=5,<=5,0,0,0,0,0,0,<=5,0,<=5,0,0,6,0,0,0,0,0,0,0,0,0,<=5,0,9,11,11,0,0,0,0,0,48,13,<=5,0,0,0,<=5,0,<=5,13,0,0,0,0,0,0,0,54,<=5,6,5406,406
Chongqing,<=5,0,0,0,0,0,<=5,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,<=5,0,0,0,0,0,0,0,0,0,<=5,0,<=5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,<=5,<=5,0,0,0,0,0,0,0,11,0,0,554,104
Guangzhou,<=5,0,0,0,0,0,11,<=5,0,0,0,0,0,0,0,<=5,<=5,0,0,<=5,0,<=5,0,0,<=5,0,<=5,0,0,<=5,0,0,0,0,0,0,0,0,0,<=5,0,13,<=5,<=5,0,0,0,0,<=5,23,22,<=5,0,0,0,<=5,0,<=5,28,<=5,0,0,0,0,0,0,40,<=5,<=5,1764,309
Shanghai,<=5,0,0,0,6,0,<=5,6,0,0,0,<=5,0,0,0,<=5,0,<=5,0,0,0,<=5,0,0,<=5,<=5,<=5,0,0,<=5,0,0,0,0,0,0,0,0,0,<=5,0,6,<=5,<=5,0,0,0,0,0,27,7,<=5,<=5,0,0,0,0,<=5,10,<=5,0,0,0,0,0,0,63,<=5,7,3056,454
Wuhan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,64,#N/A
Dili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suva,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,9,<=5,0,0,0,0,0,0,<=5,<=5,0,0,0,0,0,0,0,17,<=5,<=5,167,17
Hong Kong,11,0,0,0,16,7,29,11,0,0,<=5,0,0,<=5,0,<=5,0,0,0,0,0,<=5,0,0,<=5,0,<=5,0,<=5,9,0,0,0,0,0,0,0,0,0,<=5,0,14,<=5,<=5,0,0,0,0,<=5,251,467,0,0,0,0,0,0,0,26,<=5,0,0,0,0,0,0,736,<=5,7,7839,1632
Bali,<=5,0,0,0,<=5,<=5,0,<=5,0,0,0,<=5,0,<=5,0,0,<=5,0,0,<=5,0,<=5,0,0,<=5,0,<=5,<=5,0,13,0,0,0,0,0,0,0,0,0,<=5,0,14,0,0,<=5,0,0,0,0,70,21,<=5,0,0,0,<=5,0,<=5,26,0,0,0,0,0,0,0,98,0,20,731,272
Jakarta,<=5,0,0,0,<=5,<=5,<=5,<=5,0,0,0,0,0,0,0,0,<=5,0,0,<=5,0,0,0,0,<=5,0,12,0,0,<=5,0,0,<=5,0,0,0,0,0,0,0,0,<=5,0,0,<=5,0,0,0,0,33,35,0,0,0,0,<=5,0,<=5,26,<=5,0,0,0,0,0,0,32,<=5,12,1309,294
Medan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surabaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagoya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0
Tokyo,13,0,0,<=5,17,<=5,19,0,0,0,0,0,0,9,0,0,<=5,<=5,0,0,0,<=5,<=5,0,11,0,14,<=5,<=5,7,0,0,0,0,0,0,0,<=5,0,<=5,0,8,8,8,0,0,0,0,0,86,45,<=5,<=5,0,0,<=5,0,<=5,27,<=5,0,0,0,0,0,0,138,0,7,4204,800
Vientiane,<=5,0,0,0,<=5,<=5,<=5,<=5,0,0,0,0,0,0,0,<=5,<=5,0,0,<=5,0,0,0,0,<=5,0,<=5,<=5,0,<=5,0,0,0,0,0,0,0,0,0,0,<=5,<=5,<=5,<=5,0,0,0,0,0,19,8,<=5,0,0,0,<=5,0,<=5,15,0,0,0,0,0,0,0,21,0,7,179,42
Kuala Lumpur,<=5,0,0,0,6,<=5,9,11,0,0,0,0,0,<=5,0,<=5,<=5,<=5,0,<=5,0,0,0,0,<=5,0,30,0,0,12,0,0,0,0,0,<=5,0,0,<=5,0,0,11,<=5,<=5,0,0,0,0,<=5,82,68,<=5,0,0,0,<=5,0,<=5,29,<=5,0,0,0,0,0,0,106,0,27,3837,119
Ulaanbaatar,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,<=5,0,0,<=5,0,0,77,6
Auckland,0,0,0,0,0,0,<=5,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,6,0,0,<=5,0,0,0,0,0,0,0,0,0,<=5,0,<=5,<=5,<=5,0,0,0,0,<=5,224,196,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,357,0,<=5,1694,372
Christchurch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wellington,0,<=5,0,<=5,<=5,<=5,8,<=5,0,0,0,<=5,0,0,0,12,0,7,0,0,0,<=5,0,0,<=5,0,<=5,<=5,0,<=5,0,0,0,0,0,0,0,0,<=5,<=5,0,24,<=5,<=5,0,0,0,0,25,285,194,0,<=5,0,0,0,0,0,33,<=5,0,0,0,<=5,0,0,192,<=5,26,2073,213
Port Moresby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,<=5,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,<=5,0,<=5,49,<=5
Manila,<=5,0,0,<=5,<=5,<=5,14,11,0,0,0,<=5,0,0,<=5,<=5,<=5,<=5,0,0,0,<=5,0,0,23,0,31,0,0,24,0,0,0,0,0,0,0,0,0,<=5,0,39,15,15,0,0,0,0,0,83,75,<=5,0,0,0,<=5,0,7,98,<=5,0,0,0,<=5,0,0,133,<=5,14,3478,1294
Singapore,<=5,0,0,0,<=5,<=5,16,<=5,0,0,0,0,0,<=5,0,0,<=5,<=5,0,<=5,0,0,<=5,0,<=5,0,<=5,0,<=5,<=5,0,0,0,0,0,0,0,0,0,<=5,0,12,<=5,<=5,0,0,0,0,0,88,144,<=5,0,0,0,0,0,0,17,0,0,0,0,0,0,0,259,<=5,8,3393,261
Honiara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,<=5,<=5,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,<=5,0,0,15,<=5
Seoul,<=5,0,0,0,<=5,<=5,10,0,0,0,0,0,0,0,0,<=5,<=5,0,0,0,0,<=5,0,0,0,0,<=5,0,<=5,<=5,0,0,0,0,0,0,0,0,0,0,0,<=5,<=5,<=5,0,0,0,0,<=5,38,11,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,46,0,<=5,1321,193
Taipei,<=5,0,0,0,<=5,0,<=5,0,0,0,0,0,0,0,0,<=5,<=5,<=5,0,0,0,0,0,0,<=5,0,<=5,0,0,<=5,0,0,0,0,0,0,0,0,0,<=5,0,<=5,<=5,<=5,0,0,0,0,<=5,14,<=5,0,0,0,0,<=5,0,0,6,0,0,0,0,0,0,0,20,0,<=5,588,20
Bangkok,15,<=5,0,<=5,66,7,74,86,<=5,<=5,0,0,0,12,<=5,7,31,6,0,<=5,0,22,9,0,120,<=5,131,<=5,11,159,0,0,0,0,0,0,0,<=5,<=5,13,<=5,219,46,46,<=5,0,0,9,<=5,294,496,18,<=5,<=5,0,14,0,25,338,19,0,0,0,<=5,0,0,536,8,72,10826,7353
Chiang Mai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pattaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuku'alofa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Port Vila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hanoi,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,<=5,0,<=5,<=5,<=5,<=5,0,0,0,0,0,0,0,0,0,0,0,18,8,8,0,0,0,0,<=5,45,26,0,0,0,0,<=5,0,<=5,31,<=5,0,0,0,0,0,0,68,0,79,1302,1935
Ho Chi Minh City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,<=5,0,<=5,0,0,6,0,<=5,<=5,0,<=5,0,0,0,0,0,0,0,0,0,<=5,0,18,<=5,<=5,0,0,0,0,<=5,57,36,<=5,<=5,0,0,<=5,0,<=5,35,<=5,0,0,0,0,0,0,68,<=5,89,1204,1812
Yerevan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,<=5,63,0
Graz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vienna,<=5,0,0,0,0,<=5,<=5,0,<=5,0,0,0,0,<=5,0,<=5,<=5,<=5,0,<=5,0,0,0,0,<=5,<=5,20,0,<=5,<=5,0,0,0,0,0,0,0,0,0,<=5,0,8,<=5,<=5,0,0,0,0,0,124,74,<=5,<=5,0,0,<=5,0,0,17,0,0,0,0,0,0,0,183,0,8,2054,447
Baku,0,0,0,0,0,0,<=5,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,<=5,<=5,0,0,0,0,<=5,7,<=5,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,6,0,<=5,332,49
Minsk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,<=5,270,6
Antwerp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brussels,<=5,0,0,0,<=5,<=5,13,0,<=5,0,0,0,0,<=5,0,0,<=5,<=5,0,0,0,<=5,0,0,<=5,0,<=5,<=5,<=5,6,0,0,0,0,0,0,0,0,0,<=5,0,14,<=5,<=5,0,0,0,0,<=5,326,248,<=5,<=5,0,0,<=5,0,<=5,30,<=5,0,0,0,0,0,0,369,0,7,3123,825
Liege,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prague,<=5,0,0,0,<=5,<=5,24,<=5,0,0,0,<=5,0,<=5,0,<=5,<=5,<=5,0,0,0,<=5,0,0,<=5,0,7,<=5,0,<=5,0,0,0,0,0,0,0,0,0,<=5,0,19,10,10,0,0,0,0,0,182,72,6,<=5,0,0,<=5,0,<=5,27,0,0,0,0,0,0,0,216,0,11,1082,243
Copenhagen,<=5,0,0,0,6,0,<=5,0,0,0,0,0,0,<=5,0,<=5,<=5,<=5,0,0,0,<=5,<=5,0,<=5,0,<=5,0,<=5,<=5,0,0,0,0,0,0,0,0,0,<=5,0,<=5,<=5,<=5,0,0,0,0,0,244,149,0,<=5,0,0,0,<=5,15,9,0,0,0,0,0,0,0,328,0,6,1552,374
Tallinn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,<=5,<=5,<=5,0,0,0,0,0,0,0,12,9,0,0,0,0,0,0,0,<=5,<=5,0,0,0,0,0,0,12,0,8,162,37
Helsinki,0,0,0,0,<=5,0,<=5,<=5,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,<=5,0,<=5,0,0,<=5,0,0,0,0,0,0,0,0,0,<=5,0,<=5,0,0,0,0,0,0,<=5,32,28,0,0,0,0,0,0,0,<=5,<=5,0,0,0,0,0,0,52,0,<=5,503,123
Bordeaux,<=5,0,<=5,<=5,<=5,<=5,6,0,0,0,<=5,0,0,<=5,0,<=5,0,0,<=5,0,0,<=5,<=5,0,<=5,<=5,22,<=5,<=5,8,0,0,0,0,0,0,0,<=5,0,<=5,0,27,12,12,<=5,0,0,0,0,197,28,<=5,<=5,0,0,<=5,0,11,32,<=5,0,0,0,0,0,0,276,0,42,1669,276
Lille,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marseille,<=5,<=5,0,0,<=5,<=5,13,<=5,0,0,<=5,<=5,0,<=5,0,0,<=5,<=5,0,0,0,10,<=5,0,9,<=5,30,0,<=5,8,0,0,0,0,0,0,0,<=5,0,10,0,51,14,14,0,0,0,0,0,341,14,<=5,0,0,0,6,0,0,30,11,0,0,<=5,0,<=5,0,411,<=5,101,2419,414
Paris,<=5,0,0,0,15,<=5,64,10,23,0,<=5,0,0,<=5,0,<=5,6,<=5,0,0,0,6,<=5,0,17,<=5,36,<=5,8,20,0,<=5,0,0,0,0,0,<=5,0,38,0,78,36,36,0,0,0,0,0,976,182,<=5,0,0,0,<=5,0,<=5,135,8,0,0,0,0,0,0,1052,<=5,114,14153,2894
Strasbourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tbilisi,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,<=5,0,<=5,16,0,0,0,<=5,0,0,0,0,<=5,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,7,<=5,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,9,0,<=5,137,9
Berlin,0,<=5,0,0,<=5,<=5,30,0,0,0,0,0,0,7,0,0,28,0,0,0,0,<=5,0,0,<=5,0,7,<=5,<=5,15,0,0,0,0,0,0,0,0,0,<=5,0,13,15,15,0,0,0,0,<=5,610,398,<=5,0,<=5,<=5,<=5,0,0,55,9,0,0,0,0,0,0,515,<=5,15,5414,530
Dusseldorf,<=5,<=5,0,0,<=5,<=5,27,<=5,<=5,0,0,<=5,0,<=5,0,0,<=5,0,0,<=5,0,0,0,0,7,0,11,<=5,<=5,6,0,0,0,0,0,0,0,0,0,<=5,0,13,<=5,<=5,0,0,0,0,<=5,353,164,0,<=5,0,0,0,0,<=5,20,<=5,0,0,0,0,0,0,340,<=5,<=5,2167,427
Frankfurt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Munich,6,<=5,0,0,<=5,10,16,0,0,0,0,0,0,9,0,<=5,<=5,0,0,0,0,0,0,0,<=5,0,14,0,<=5,7,0,0,0,0,0,0,0,0,0,<=5,0,14,<=5,<=5,0,0,0,0,0,178,57,<=5,0,0,0,<=5,0,0,13,<=5,0,0,0,0,0,0,222,0,31,1485,239
Budapest,0,0,0,<=5,6,0,6,0,<=5,0,0,0,0,0,0,<=5,<=5,0,0,0,0,<=5,0,0,<=5,0,<=5,0,<=5,14,0,0,0,0,0,0,0,0,0,<=5,0,10,<=5,<=5,0,0,0,0,0,147,42,<=5,0,0,0,<=5,0,<=5,11,<=5,0,0,0,0,0,0,169,<=5,<=5,807,273
Reykjavik,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,<=5,<=5,0,0,0,0,0,0,0,0,0,<=5,0,6,<=5,<=5,0,0,0,0,0,45,<=5,0,0,0,0,0,0,0,<=5,<=5,0,0,0,0,0,0,54,0,<=5,180,55
Dublin,<=5,<=5,0,<=5,<=5,<=5,7,0,0,0,0,<=5,<=5,0,0,<=5,0,<=5,0,0,0,<=5,<=5,0,<=5,<=5,<=5,0,0,<=5,0,0,0,0,0,0,0,0,0,<=5,0,10,0,0,0,0,0,0,0,173,206,0,0,0,0,0,0,<=5,28,0,0,0,0,<=5,0,0,287,<=5,<=5,2664,287
Almaty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
