objectid,par16cd,par16nm,par16nmw,lad16cd,lad16nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,E04000001,Blackrod, ,E08000001,Bolton,361020,410662,-2.59035993,53.59109879,8596086.54424918,16276.2294843473
2,E04000002,Horwich, ,E08000001,Bolton,365741,411963,-2.51919007,53.60309982,14282788.9749561,21467.8545086902
3,E04000003,Westhoughton, ,E08000001,Bolton,365008,406179,-2.52960992,53.55110168,17858252.4082432,21823.5532699627
4,E04000004,Ringway, ,E08000003,Manchester,381192,384606,-2.28404999,53.35800171,6547862.77511384,13995.7450088173
5,E04000005,Saddleworth, ,E08000004,Oldham,400672,407034,-1.99132001,53.55989838,76114791.0801862,43920.0144875318
6,E04000008,Mossley, ,E08000008,Tameside,398535,402188,-2.02356005,53.51639938,8670406.85048945,16933.5051627704
7,E04000009,Carrington, ,E08000009,Trafford,374451,392138,-2.38594007,53.42539978,8937334.31115669,18064.3813930044
8,E04000010,Dunham Massey, ,E08000009,Trafford,373580,388755,-2.39876008,53.39500046,9522172.65137275,17028.9025705659
9,E04000011,Partington, ,E08000009,Trafford,371708,391423,-2.42715001,53.41880035,3090723.06823308,8099.02136025337
10,E04000012,Warburton, ,E08000009,Trafford,370992,389438,-2.43774009,53.40100098,7969435.48473131,14603.9910877113
11,E04000013,Haigh, ,E08000010,Wigan,359728,408803,-2.60963988,53.57429886,8624365.05456884,14786.6500385977
12,E04000014,Shevington, ,E08000010,Wigan,353943,409035,-2.69703007,53.57590103,6807052.93740271,13584.3318918261
13,E04000015,Worthington, ,E08000010,Wigan,357490,411931,-2.6438601,53.60219955,2658984.75649737,8420.66146773249
14,E04000016,Cronton, ,E08000011,Knowsley,349413,388562,-2.76213002,53.39149857,4676386.58571126,12537.9856711247
15,E04000017,Halewood, ,E08000011,Knowsley,344970,385602,-2.82841992,53.36439896,10378787.7933031,14605.5136563745
16,E04000018,Knowsley, ,E08000011,Knowsley,344775,394664,-2.83293009,53.44589996,19412881.1319634,21787.926771464
17,E04000019,Prescot, ,E08000011,Knowsley,346577,392328,-2.80540991,53.42499924,3280780.68367054,7777.6032889378
18,E04000021,Whiston, ,E08000011,Knowsley,347113,390403,-2.79701996,53.40779877,5417301.77397254,13431.7967707571
