URN,UPIN,UKPRN,Provider name,Age phase partnership,Provision type,Postcode,Government office region,Ofsted region,Local authority,Provider status,Inspection number,Start date,End date,Overall effectiveness,The outcomes for trainees,The quality of training across the partnership,The quality of leadership and management across the partnership,How well do trainees attain?,To what extent do recruitment / selection arrangements support high quality outcomes?,To what extent does the training and assessment ensure that all trainees progress to fulfil their potential given their ability and starting points?,To what extent are available resources used effectively and efficiently?,To what extent is the provision across the partnership of consistently high quality? ,"To what extent does the provision promote equality of opportunity, value diversity and eliminate harassment and unlawful discrimination?",To what extent do the leadership and management at all levels have the capacity to secure further improvements and/or to sustain high quality outcomes?,How effectively does the management at all levels assess performance in order to improve or sustain high quality?,"How well does the leadership at all levels anticipate change, and prepare for and respond to national and local initiatives?",How effectively does the provider plan and take action for improvement?
70052,1520,10004048,London Metropolitan University,Primary QTS,HEI,N7 8DB,London,London,Islington,Open,10010279,03/05/2016,05/05/2016,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70052,1520,10004048,London Metropolitan University,Secondary QTS,HEI,N7 8DB,London,London,Islington,Open,10004333,18/05/2015,07/10/2015,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70053,1555,10007154,University of Nottingham,Secondary QTS,HEI,NG8 1BB ,East Midlands,East Midlands,Nottinghamshire,Open,421242,11/11/2013,14/11/2013,1,1,1,1,9,9,9,9,9,9,9,9,9,9
70054,5527,10031382,Northampton Teacher Training Partnership,Secondary QTS,SCITT,NN1 5RT ,East Midlands,East Midlands,Northamptonshire,Open,365963,13/06/2011,17/06/2011,2,9,9,9,2,2,2,2,2,2,2,2,2,2
70055,5521,10021033,Kent and Medway Training,Secondary QTS,SCITT,DA1 1QE ,South East,South East,Kent,Open,346109,07/06/2010,11/06/2010,2,9,9,9,2,2,2,2,2,2,2,2,2,2
70057,1556,10007774,University of Oxford,Secondary QTS,HEI,OX2 6PY ,South East,South East,Oxfordshire,Open,363163,14/02/2011,18/02/2011,1,9,9,9,1,1,1,1,1,1,1,1,1,1
70058,5505,10046253,Poole SCITT,Primary QTS,SCITT,BH17 8AP,South West,South West,Dorset,Open,450783,09/06/2014,01/10/2014,1,1,1,1,9,9,9,9,9,9,9,9,9,9
70059,1557,10007801,University of Plymouth,ITE in FE,HEI,PL4 8AA ,South West,South West,Devon,Open,434191,19/05/2014,22/05/2014,2,2,2,1,9,9,9,9,9,9,9,9,9,9
70059,1557,10007801,University of Plymouth,Primary QTS,HEI,PL4 8AA ,South West,South West,Devon,Open,434191,19/05/2014,22/05/2014,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70059,1557,10007801,University of Plymouth,Secondary QTS,HEI,PL4 8AA ,South West,South West,Devon,Open,434191,19/05/2014,22/05/2014,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70060,1558,10007155,University of Portsmouth,ITE in FE,HEI,PO1 2HY ,South East,South East,Portsmouth,Open,373046,28/11/2011,02/12/2011,2,9,9,9,2,2,2,2,2,2,2,2,2,2
70060,1558,10007155,University of Portsmouth,Secondary QTS,HEI,PO1 2HY ,South East,South East,Portsmouth,Open,373046,28/11/2011,02/12/2011,1,9,9,9,2,1,1,1,1,2,2,2,2,2
70061,5532,10046000,Portsmouth Primary SCITT,Primary QTS,SCITT,PO6 3PS ,South East,South East,Hampshire,Open,363145,14/03/2011,18/03/2011,1,9,9,9,1,1,1,1,1,1,1,1,1,1
70062,1559,10007802,University of Reading,Primary QTS,HEI,RG1 5EX ,South East,South East,Reading,Open,346120,14/06/2010,18/06/2010,1,9,9,9,1,1,1,1,1,1,1,1,1,1
70062,1559,10007802,University of Reading,Secondary QTS,HEI,RG1 5EX ,South East,South East,Reading,Open,346120,14/06/2010,18/06/2010,2,9,9,9,3,3,2,1,2,2,2,2,1,2
70063,1563,10007776,Roehampton University,Primary QTS,HEI,SW15 5PJ,London,London,Wandsworth,Open,409466,04/03/2013,07/03/2013,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70063,1563,10007776,Roehampton University,Secondary QTS,HEI,SW15 5PJ,London,London,Wandsworth,Open,409466,04/03/2013,07/03/2013,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70064,1528,10004078,London South Bank University,Primary QTS,HEI,SE1 0AA ,London,London,Southwark,Open,450551,16/06/2014,19/06/2014,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70066,5538,10005959,Somerset SCITT Consortium,Primary QTS,SCITT,TA2 7QP ,South West,South West,Somerset,Open,346124,28/06/2010,02/07/2010,1,9,9,9,1,1,1,1,1,1,1,1,1,1
70067,1561,10007158,University of Southampton,ITE in FE,HEI,SO17 1BJ,South East,South East,Southampton,Open,428984,20/01/2014,23/01/2014,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70067,1561,10007158,University of Southampton,Primary QTS,HEI,SO17 1BJ,South East,South East,Southampton,Open,428984,20/01/2014,23/01/2014,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70067,1561,10007158,University of Southampton,Secondary QTS,HEI,SO17 1BJ,South East,South East,Southampton,Open,428984,20/01/2014,23/01/2014,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70068,1531,10006299,Staffordshire University,ITE in FE,HEI,ST4 2DF ,West Midlands,West Midlands,Staffordshire,Open,354260,22/11/2010,26/11/2010,2,9,9,9,2,2,2,2,2,3,2,2,2,2
70068,1531,10006299,Staffordshire University,Secondary QTS,HEI,ST4 2DF ,West Midlands,West Midlands,Staffordshire,Open,354260,22/11/2010,26/11/2010,1,9,9,9,1,1,1,1,1,2,1,1,1,1
70069,5552,10006399,Suffolk and Norfolk Primary SCITT,Primary QTS,SCITT,IP4 1QJ ,East of England,East of England,Suffolk,Open,423235,20/05/2013,23/05/2013,1,1,1,1,9,9,9,9,9,9,9,9,9,9
70070,1562,10007159,University of Sunderland,ITE in FE,HEI,SR6 0DD,North East,"North East, Yorkshire & Humber",Sunderland,Open,10004332,18/05/2015,07/10/2015,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70070,1562,10007159,University of Sunderland,Primary QTS,HEI,SR6 0DD,North East,"North East, Yorkshire & Humber",Sunderland,Open,10004332,18/05/2015,07/10/2015,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70070,1562,10007159,University of Sunderland,Secondary QTS,HEI,SR6 0DD,North East,"North East, Yorkshire & Humber",Sunderland,Open,10004332,18/05/2015,07/10/2015,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70070,1562,10007159,University of Sunderland,Early Years ITT (EYTS),HEI,SR6 0DD,North East,"North East, Yorkshire & Humber",Sunderland,Open,10010278,23/05/2016,25/05/2016,3,3,3,3,9,9,9,9,9,9,9,9,9,9
70071,1564,10007806,University of Sussex,Primary QTS,HEI,BN1 9RG ,South East,South East,Brighton and Hove,Open,428994,10/03/2014,13/03/2014,1,1,1,1,9,9,9,9,9,9,9,9,9,9
70071,1564,10007806,University of Sussex,Secondary QTS,HEI,BN1 9RG ,South East,South East,Brighton and Hove,Open,428994,10/03/2014,13/03/2014,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70072,5540,10007860,South West Teacher Training,Secondary QTS,SCITT,EX2 9JU ,South West,South West,Devon,Open,421251,02/12/2013,05/12/2013,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70073,5543,10034267,Essex and Thames Primary SCITT,Primary QTS,SCITT,SS11 7BJ,East of England,East of England,Essex,Open,10004459,22/06/2015,02/12/2015,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70074,5544,10039377,Titan Teaching Training,Primary QTS,SCITT,B20 2HL ,West Midlands,West Midlands,Birmingham,Open,346132,28/06/2010,02/07/2010,2,9,9,9,0,2,2,2,2,1,2,1,2,2
70074,5544,10039377,Titan Teaching Training,Primary and Secondary QTS,SCITT,B20 2HL,West Midlands,West Midlands,Birmingham,Open,10004329,18/05/2015,15/10/2015,2,2,2,1,9,9,9,9,9,9,9,9,9,9
70074,5544,10039377,Titan Teaching Training,Secondary QTS,SCITT,B20 2HL ,West Midlands,West Midlands,Birmingham,Open,346132,28/06/2010,02/07/2010,2,9,9,9,2,2,2,2,2,1,2,1,2,2
70075,1541,10007140,Birmingham City University,ITE in FE,HEI,B42 2SU ,West Midlands,West Midlands,Birmingham,Open,429013,31/03/2014,03/04/2014,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70075,1541,10007140,Birmingham City University,Primary QTS,HEI,B42 2SU ,West Midlands,West Midlands,Birmingham,Open,429013,31/03/2014,03/04/2014,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70075,1541,10007140,Birmingham City University,Secondary QTS,HEI,B42 2SU ,West Midlands,West Midlands,Birmingham,Open,429013,31/03/2014,03/04/2014,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70076,1544,10007789,University of East Anglia,Primary QTS,HEI,NR4 7TJ ,East of England,East of England,Norfolk,Open,428983,23/06/2014,22/10/2014,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70076,1544,10007789,University of East Anglia,Secondary QTS,HEI,NR4 7TJ ,East of England,East of England,Norfolk,Open,428983,23/06/2014,22/10/2014,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70077,1545,10007144,University of East London,ITE in FE,HEI,E15 4LZ ,London,London,Newham,Open,398733,03/12/2012,06/12/2012,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70077,1545,10007144,University of East London,Primary QTS,HEI,E15 4LZ ,London,London,Newham,Open,398733,03/12/2012,06/12/2012,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70077,1545,10007144,University of East London,Secondary QTS,HEI,E15 4LZ ,London,London,Newham,Open,398733,03/12/2012,06/12/2012,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70079,1565,10007164,University of the West of England,ITE in FE,HEI,BS16 1QY,South West,South West,Bristol City of,Open,363158,28/02/2011,04/03/2011,2,9,9,9,2,2,2,2,2,2,2,3,2,2
70079,1565,10007164,University of the West of England,Primary QTS,HEI,BS16 1QY,South West,South West,Bristol City of,Open,421254,02/12/2013,05/12/2013,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70079,1565,10007164,University of the West of England,Secondary QTS,HEI,BS16 1QY,South West,South West,Bristol City of,Open,421254,02/12/2013,05/12/2013,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70080,5546,10046788,Wandsworth Primary Schools’ Consortium,Primary QTS,SCITT,SW12 8PP,London,London,Wandsworth,Open,388061,25/06/2012,29/06/2012,2,9,9,9,2,2,2,1,2,1,2,2,1,2
70081,1566,10007163,University of Warwick,ITE in FE,HEI,CV4 7AL,West Midlands,West Midlands,Coventry,Open,10004342,08/06/2015,11/11/2015,2,2,2,1,9,9,9,9,9,9,9,9,9,9
70081,1566,10007163,University of Warwick,Primary QTS,HEI,CV4 7AL,West Midlands,West Midlands,Coventry,Open,10004342,08/06/2015,11/11/2015,1,1,1,1,9,9,9,9,9,9,9,9,9,9
70081,1566,10007163,University of Warwick,Secondary QTS,HEI,CV4 7AL,West Midlands,West Midlands,Coventry,Open,10004342,08/06/2015,11/11/2015,1,1,1,1,9,9,9,9,9,9,9,9,9,9
70081,1566,10007163,University of Warwick,Early Years ITT (EYTS),HEI,CV4 7AL,West Midlands,West Midlands,Coventry,Open,10004342,08/06/2015,11/11/2015,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70083,5548,10006894,West Midlands Consortium,Primary QTS,SCITT,TF3 4NW ,West Midlands,West Midlands,Telford and Wrekin,Open,409472,20/01/2014,23/01/2014,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70083,5548,10006894,West Midlands Consortium,Secondary QTS,SCITT,TF3 4NW ,West Midlands,West Midlands,Telford and Wrekin,Open,409472,20/01/2014,23/01/2014,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70084,1567,10007166,University of Wolverhampton,ITE in FE,HEI,WS1 3BD ,West Midlands,West Midlands,Walsall,Open,409469,11/03/2013,14/03/2013,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70084,1567,10007166,University of Wolverhampton,Primary QTS,HEI,WS1 3BD ,West Midlands,West Midlands,Walsall,Open,409469,11/03/2013,14/03/2013,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70084,1567,10007166,University of Wolverhampton,Secondary QTS,HEI,WS1 3BD ,West Midlands,West Midlands,Walsall,Open,409469,11/03/2013,14/03/2013,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70085,1535,10007139,University of Worcester,ITE in FE,HEI,WR2 6AJ ,West Midlands,West Midlands,Worcestershire,Open,411653,10/03/2014,13/03/2014,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70085,1535,10007139,University of Worcester,Primary QTS,HEI,WR2 6AJ ,West Midlands,West Midlands,Worcestershire,Open,411653,10/03/2014,13/03/2014,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70085,1535,10007139,University of Worcester,Secondary QTS,HEI,WR2 6AJ ,West Midlands,West Midlands,Worcestershire,Open,411653,10/03/2014,13/03/2014,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70086,5524,10034772,Mid Essex ITT,Secondary QTS,SCITT,CM7 1WY ,East of England,East of England,Essex,Open,346112,28/06/2010,02/07/2010,2,9,9,9,2,2,2,2,2,2,2,2,2,2
70087,1568,10007167,University of York,Secondary QTS,HEI,YO10 5DD,Yorkshire and The Humber,"North East, Yorkshire & Humber",York,Open,408582,22/04/2013,25/04/2013,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70089,5533,10045987,Primary Catholic Partnership SCITT,Primary QTS,SCITT,SO16 9LP,South East,South East,Southampton,Open,363147,17/01/2011,21/01/2011,1,9,9,9,1,1,1,1,1,1,1,1,1,1
70090,5501,10029147,Jewish Teacher Training Partnership,Primary QTS,SCITT,NW4 2SJ ,London,London,Barnet,Open,346108,28/06/2010,02/07/2010,1,9,9,9,2,2,1,1,1,1,1,2,1,1
70091,5536,10046141,The Shire Foundation,Primary QTS,SCITT,LU1 5EZ ,East of England,East of England,Luton,Open,409461,18/03/2013,21/03/2013,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70092,5516,10037870,Essex Primary SCITT,Primary QTS,SCITT,CM2 9DG ,East of England,East of England,Essex,Open,365931,06/06/2011,10/06/2011,2,9,9,9,2,2,2,1,2,2,2,1,2,2
70094,5503,10034119,Billericay Educational Consortium,Primary QTS,SCITT,CM1 1SQ ,East of England,East of England,Essex,Open,429808,11/11/2013,12/02/2014,1,1,1,1,9,9,9,9,9,9,9,9,9,9
70096,1525,10007773,The Open University,Secondary QTS,HEI,MK7 6AA ,South East,South East,Milton Keynes,Proposed to close,363164,14/03/2011,25/03/2011,1,9,9,9,2,1,1,1,1,1,1,1,1,1
70104,5506,10035668,South Coast SCITT,Primary QTS,SCITT,BH23 8JH,South West,South West,Bournemouth,Open,343663,01/03/2010,05/03/2010,2,9,9,9,2,2,2,1,2,2,2,2,2,2
70106,0,10007161,University of Teesside,ITE in FE,ITE in FE,TS1 3BA ,North East,"North East, Yorkshire & Humber",Middlesbrough,Open,428995,10/03/2014,13/03/2014,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70118,1569,10007713,York St John University,Primary QTS,HEI,YO31 7EX,Yorkshire and The Humber,"North East, Yorkshire & Humber",York,Open,388060,18/06/2012,22/06/2012,2,9,9,9,2,2,2,1,2,2,2,2,2,2
70118,1569,10007713,York St John University,Secondary QTS,HEI,YO31 7EX,Yorkshire and The Humber,"North East, Yorkshire & Humber",York,Open,365945,13/06/2011,17/06/2011,1,9,9,9,2,1,1,1,1,1,2,2,1,2
70119,1512,10007784,UCL Institute of Education,ITE in FE,HEI,WC1H 0AL,London,London,Camden,Open,429806,18/11/2013,21/11/2013,1,1,1,1,9,9,9,9,9,9,9,9,9,9
70119,1512,10007784,UCL Institute of Education,Primary QTS,HEI,WC1H 0AL,London,London,Camden,Open,429806,18/11/2013,21/11/2013,1,1,1,1,9,9,9,9,9,9,9,9,9,9
70119,1512,10007784,UCL Institute of Education,Secondary QTS,HEI,WC1H 0AL,London,London,Camden,Open,429806,18/11/2013,21/11/2013,1,1,1,1,9,9,9,9,9,9,9,9,9,9
70120,1530,10007843,St Mary's University,Primary QTS,HEI,TW1 4SX ,London,London,Richmond upon Thames,Open,363156,14/03/2011,18/03/2011,1,9,9,9,1,1,1,2,1,1,1,1,1,1
70120,1530,10007843,St Mary's University,Secondary QTS,HEI,TW1 4SX ,London,London,Richmond upon Thames,Open,363156,14/03/2011,18/03/2011,1,9,9,9,1,1,1,1,1,1,1,1,1,1
70121,1514,10003614,University of Winchester,Primary QTS,HEI,SO22 4NR,South East,South East,Hampshire,Open,354266,08/11/2010,12/11/2010,1,9,9,9,1,1,1,1,1,1,1,1,1,2
70121,1514,10003614,University of Winchester,Secondary QTS,HEI,SO22 4NR,South East,South East,Hampshire,Open,354266,08/11/2010,12/11/2010,2,9,9,9,1,2,2,1,2,1,2,2,2,2
70122,1511,10002718,Goldsmiths University,Primary QTS,HEI,SE14 6NW,London,London,Lewisham,Open,10004335,18/05/2015,14/10/2015,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70122,1511,10002718,Goldsmiths University,Secondary QTS,HEI,SE14 6NW,London,London,Lewisham,Open,10004335,18/05/2015,14/10/2015,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70123,1560,10007157,University of Sheffield,Secondary QTS,HEI,S10 2JA ,Yorkshire and The Humber,"North East, Yorkshire & Humber",Sheffield,Open,363160,31/01/2011,04/02/2011,2,9,9,9,2,1,2,2,2,2,2,2,1,2
70124,1524,10004797,Nottingham Trent University,ITE in FE,HEI,NG11 8NS,East Midlands,East Midlands,Nottingham,Open,10004331,18/05/2015,07/10/2015,2,2,2,1,9,9,9,9,9,9,9,9,9,9
70124,1524,10004797,Nottingham Trent University,Primary QTS,HEI,NG11 8NS,East Midlands,East Midlands,Nottingham,Open,10004331,18/05/2015,07/10/2015,2,2,2,1,9,9,9,9,9,9,9,9,9,9
70124,1524,10004797,Nottingham Trent University,Secondary QTS,HEI,NG11 8NS,East Midlands,East Midlands,Nottingham,Open,10004331,18/05/2015,07/10/2015,2,2,2,1,9,9,9,9,9,9,9,9,9,9
70125,1572,10001282,Northumbria University,ITE in FE,HEI,NE7 7XA ,North East,"North East, Yorkshire & Humber",Newcastle upon Tyne,Open,330520,27/04/2009,01/05/2009,2,9,9,9,2,2,2,2,2,2,2,2,2,2
70125,1572,10001282,Northumbria University,Primary QTS,HEI,NE7 7XA ,North East,"North East, Yorkshire & Humber",Newcastle upon Tyne,Open,330520,27/04/2009,01/05/2009,1,9,9,9,1,1,1,1,1,1,1,1,1,1
70125,1572,10001282,Northumbria University,Secondary QTS,HEI,NE7 7XA ,North East,"North East, Yorkshire & Humber",Newcastle upon Tyne,Open,330520,27/04/2009,01/05/2009,1,9,9,9,1,1,1,1,1,1,1,1,1,1
70126,1577,10007799,Newcastle University,Primary QTS,HEI,NE1 7RU ,North East,"North East, Yorkshire & Humber",Newcastle upon Tyne,Open,363153,21/03/2011,25/03/2011,2,9,9,9,2,2,2,2,2,2,2,2,2,2
70126,1577,10007799,Newcastle University,Secondary QTS,HEI,NE1 7RU ,North East,"North East, Yorkshire & Humber",Newcastle upon Tyne,Open,363153,21/03/2011,25/03/2011,2,9,9,9,2,2,2,2,2,2,2,2,2,2
70127,1532,10003863,Leeds Trinity University,Primary QTS,HEI,LS18 5HD,Yorkshire and The Humber,"North East, Yorkshire & Humber",Leeds,Open,409464,04/03/2013,07/03/2013,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70127,1532,10003863,Leeds Trinity University,Secondary QTS,HEI,LS18 5HD,Yorkshire and The Humber,"North East, Yorkshire & Humber",Leeds,Open,409464,04/03/2013,07/03/2013,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70128,1529,10007842,University of Cumbria,Primary QTS,HEI,LA1 3JD ,North West,North West,Lancashire,Open,398729,26/11/2012,29/11/2012,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70128,1529,10007842,University of Cumbria,Secondary QTS,HEI,LA1 3JD ,North West,North West,Lancashire,Open,398729,26/11/2012,29/11/2012,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70129,1510,10007823,Edge Hill University,ITE in FE,HEI,L39 4QP ,North West,North West,Lancashire,Open,434186,12/05/2014,15/05/2014,1,1,1,1,9,9,9,9,9,9,9,9,9,9
70129,1510,10007823,Edge Hill University,Primary QTS,HEI,L39 4QP ,North West,North West,Lancashire,Open,434186,12/05/2014,15/05/2014,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70129,1510,10007823,Edge Hill University,Secondary QTS,HEI,L39 4QP ,North West,North West,Lancashire,Open,434186,12/05/2014,15/05/2014,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70130,1518,10003956,Liverpool Hope University,Primary QTS,HEI,L16 9JD ,North West,North West,Liverpool,Open,428985,20/01/2014,23/01/2014,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70130,1518,10003956,Liverpool Hope University,Secondary QTS,HEI,L16 9JD ,North West,North West,Liverpool,Open,398728,19/11/2012,22/11/2012,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70131,1508,10037449,University of St Mark and St John,Primary QTS,HEI,PL6 8BH ,South West,South West,Devon,Open,450553,23/06/2014,26/06/2014,2,2,2,1,9,9,9,9,9,9,9,9,9,9
70131,1508,10037449,University of St Mark and St John,Secondary QTS,HEI,PL6 8BH ,South West,South West,Devon,Open,450553,23/06/2014,26/06/2014,2,2,2,1,9,9,9,9,9,9,9,9,9,9
70132,1507,10007848,University of Chester,ITE in FE,HEI,CH1 1SL ,North West,North West,Cheshire West and Chester,Open,362156,29/11/2010,03/12/2010,2,9,9,9,2,2,2,1,2,2,2,2,2,2
70132,1507,10007848,University of Chester,Primary QTS,HEI,CH1 1SL ,North West,North West,Cheshire West and Chester,Open,362156,29/11/2010,03/12/2010,1,9,9,9,2,1,1,1,1,2,1,1,1,1
70132,1507,10007848,University of Chester,Secondary QTS,HEI,CH1 1SL ,North West,North West,Cheshire West and Chester,Open,362156,29/11/2010,03/12/2010,2,9,9,9,2,2,2,1,2,2,1,2,1,1
70133,1540,10007788,University of Cambridge,Primary QTS,HEI,CB2 8PQ ,East of England,East of England,Cambridgeshire,Open,363150,31/01/2011,04/02/2011,1,9,9,9,1,1,1,1,1,1,1,1,1,1
70133,1540,10007788,University of Cambridge,Secondary QTS,HEI,CB2 8PQ ,East of England,East of England,Cambridgeshire,Open,363150,31/01/2011,04/02/2011,1,9,9,9,1,1,1,1,1,1,1,1,1,1
70134,5564,10000840,Bradford College,Primary QTS,SCITT,BD7 1AY ,Yorkshire and The Humber,"North East, Yorkshire & Humber",Bradford,Open,343530,08/03/2010,12/03/2010,2,9,9,9,2,2,2,1,2,2,2,2,2,2
70134,5564,10000840,Bradford College,Secondary QTS,SCITT,BD7 1AY ,Yorkshire and The Humber,"North East, Yorkshire & Humber",Bradford,Open,434189,12/05/2014,15/05/2014,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70135,1523,10007832,Newman University,Primary QTS,HEI,B32 3NT,West Midlands,West Midlands,Birmingham,Open,10004311,22/04/2015,11/11/2015,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70135,1523,10007832,Newman University,Secondary QTS,HEI,B32 3NT,West Midlands,West Midlands,Birmingham,Open,10004311,22/04/2015,11/11/2015,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70141,5513,10001951,Devon Primary SCITT,Primary QTS,SCITT,EX2 6HA,South West,South West,Devon,Open,10004446,08/06/2015,18/11/2015,1,1,1,1,9,9,9,9,9,9,9,9,9,9
70143,5531,10048227,The Pilgrim Partnership School Centred Teacher Training,Primary QTS,SCITT,MK41 9QJ,East of England,East of England,Bedford,Open,10004304,29/06/2015,09/12/2015,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70143,5531,10048227,The Pilgrim Partnership School Centred Teacher Training,Secondary QTS,SCITT,MK41 9QJ,East of England,East of England,Bedford,Open,10004304,29/06/2015,09/12/2015,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70144,5559,10003503,North East Partnership SCITT (Physical Education),Secondary QTS,SCITT,NE29 9PU,North East,"North East, Yorkshire & Humber",Newcastle upon Tyne,Open,421243,11/11/2013,14/11/2013,1,1,1,1,9,9,9,9,9,9,9,9,9,9
70146,5510,10001695,Cornwall SCITT Partnership,Primary QTS,SCITT,TR15 3FD,South West,South West,Cornwall,Open,363148,07/03/2011,11/03/2011,1,9,9,9,1,1,1,1,1,1,1,1,1,1
70147,5541,10006399,Suffolk and Norfolk Secondary SCITT,Secondary QTS,SCITT,IP4 1QJ ,East of England,East of England,Suffolk,Open,408583,20/05/2013,23/05/2013,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70150,5520,10046049,High Force Education SCITT,Primary QTS,SCITT,DL12 8LG,North East,"North East, Yorkshire & Humber",Durham,Open,10004303,08/06/2015,02/12/2015,1,1,1,1,9,9,9,9,9,9,9,9,9,9
70151,0,10006841,University of Bolton,ITE in FE,ITE in FE,BL3 5AB ,North West,North West,Bolton,Open,398732,03/12/2012,06/12/2012,2,2,2,1,9,9,9,9,9,9,9,9,9,9
70152,0,10007141,University of Central Lancashire,ITE in FE,ITE in FE,PR1 2HE,North West,North West,Lancashire,Open,10004216,27/04/2015,30/09/2015,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70153,0,10007165,University of Westminster,ITE in FE,ITE in FE,NW1 5LS ,London,London,Harrow,Open,428991,10/02/2014,13/02/2014,2,2,2,1,9,9,9,9,9,9,9,9,9,9
70154,5535,10046003,SCITT in East London Schools,Primary QTS,SCITT,E15 1JY ,London,London,Newham,Open,428989,10/02/2014,13/02/2014,1,1,1,1,9,9,9,9,9,9,9,9,9,9
70156,5509,10036752,Colchester Teacher Training Consortium,Secondary QTS,SCITT,CO2 9DQ ,East of England,East of England,Essex,Open,346097,07/06/2010,11/06/2010,2,9,9,9,2,2,2,2,2,2,2,2,2,2
70157,5534,10005544,Royal Academy of Dance,Secondary QTS,SCITT,SW11 3RA,London,London,Wandsworth,Open,365965,13/06/2011,17/06/2011,1,9,9,9,1,1,1,1,1,1,1,1,1,1
70158,5542,10048061,Swindon Secondary Schools Teaching Alliance ITE (SSSTA ITE),Secondary QTS,SCITT,SN4 9DJ ,South West,South West,Swindon,Open,363544,21/03/2011,25/03/2011,2,9,9,9,2,1,2,2,2,1,2,2,1,2
70159,1580,10000712,University College Birmingham,Primary QTS,HEI,B3 1JB,West Midlands,West Midlands,Birmingham,Open,10004308,22/06/2015,25/11/2015,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70160,1582,10007152,University of Bedfordshire,ITE in FE,HEI,MK41 9EA,East of England,East of England,Bedford,Open,373058,31/10/2011,04/11/2011,2,9,9,9,2,2,2,2,2,2,2,2,2,2
70160,1582,10007152,University of Bedfordshire,Primary QTS,HEI,MK41 9EA,East of England,East of England,Bedford,Open,409467,04/02/2013,07/02/2013,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70160,1582,10007152,University of Bedfordshire,Secondary QTS,HEI,MK41 9EA,East of England,East of England,Bedford,Open,373058,31/10/2011,04/11/2011,2,9,9,9,2,2,2,2,2,2,2,2,2,2
70161,5572,10046101,Gateshead 3-7 SCITT,Primary QTS,SCITT,NE11 0AT,North East,"North East, Yorkshire & Humber",Gateshead,Open,421249,25/11/2013,28/11/2013,1,1,1,1,9,9,9,9,9,9,9,9,9,9
70162,5567,10004714,North Tyneside SCITT,Primary QTS,SCITT,NE28 0HG,North East,"North East, Yorkshire & Humber",North Tyneside,Open,10004343,08/06/2015,30/09/2015,1,1,1,1,9,9,9,9,9,9,9,9,9,9
