Body,Body Name,Posting Date,Transaction number,Amount,Supplier name,Supplier ID,Service Area,Expense Type,Expense Code,Type
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,05/10/2011,20076071,"8,061.64 ",Derbyshire County Council,10507,Improvement Grants,Disabled Facilities Grants,C016,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,21/10/2011,20076458,"5,436.00 ",Derbyshire County Council,10506,Local Land Charges,DCC - Search Fees,4470,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,14/10/2011,20076247,"17,109.00 ",Derbyshire Dales CVS,10489,Homelessness,Revenue Grants,4704,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,14/10/2011,20076248,"2,500.00 ",Derbyshire Housing Aid,10503,Homelessness,Revenue Grants,4704,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,19/10/2011,20076404,"7,500.00 ",Derventio Housing Trust CIC,14820,Homelessness,Revenue Grants,4704,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,25/10/2011,20076559,675.00 ,Redacted: Payment to individual,15174,Homelessness,Mortgage Rescue Programme,4806,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,10/10/2011,20076137,"1,725.86 ",District Surveyors Association Limited t/a LABC,10520,Building Control - General,Approved Documents,4885,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,07/10/2011,20076133,500.00 ,Doveridge Village Hall,10532,Village Hall Grants,Revenue Grants,4704,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,05/10/2011,20076091,"1,826.67 ",Drivers Jonas Deloitte,14881,Town Centre Conveniences,Professional Fees,C004,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,05/10/2011,20076091,"3,397.27 ",Drivers Jonas Deloitte,14881,Effluent Discharge Imps Bakewell ABC,Professional Fees,C004,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,18/10/2011,30005175,"1,461.63 ",Eastern Shires Purchasing Organisation,13836,Ashbourne Leisure Centre,Gas,2202,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,18/10/2011,30005176,"1,775.65 ",Eastern Shires Purchasing Organisation,13836,Bakewell Swimming Pool,Gas,2202,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,07/10/2011,20076121,"2,200.00 ",Edge Analytics Ltd,15129,Planning Policy,Books and Publications,4312,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,19/10/2011,20076346,847.70 ,G & G Signs,10672,Street Naming and Numbering,Signs,4815,Revenue
