"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Transport","Vehicle & Operator Services Agency","Chief Executive","8","10.00","57332","66083","Grade 6","1.00","Operational Delivery"
"Department for Transport","Vehicle & Operator Services Agency","Chief Executive","8","10.00","57332","66083","Grade 6","1.00","Knowledge and Information Management (KIM)"
"Department for Transport","Vehicle & Operator Services Agency","Chief Executive","8","10.00","57332","66083","Grade 6","1.00","Human Resources"
"Department for Transport","Vehicle & Operator Services Agency","Chief Executive","8","8.00","43960","50670","Grade 7","11.00","Operational Delivery"
"Department for Transport","Vehicle & Operator Services Agency","Chief Executive","8","8.00","43960","50670","Grade 7","4.00","Knowledge and Information Management (KIM)"
"Department for Transport","Vehicle & Operator Services Agency","Chief Executive","8","8.00","43960","50670","Grade 7","4.00","Human Resources"
"Department for Transport","Vehicle & Operator Services Agency","Chief Executive","8","7.00","34346","39100","Senior Executive Officer / SPTO","33.00","Operational Delivery"
"Department for Transport","Vehicle & Operator Services Agency","Chief Executive","8","7.00","34346","39100","Senior Executive Officer","14.00","Knowledge and Information Management (KIM)"
"Department for Transport","Vehicle & Operator Services Agency","Chief Executive","8","7.00","34346","39100","Senior Executive Officer / SPTO","23.00","Human Resources"
"Department for Transport","Vehicle & Operator Services Agency","Chief Executive","8","6.00","27580","31070","Higher Executive Officer / HPTO / STE","194.00","Operational Delivery"
"Department for Transport","Vehicle & Operator Services Agency","Chief Executive","8","6.00","27580","31070","Higher Executive Officer / HPTO / STE","27.00","Knowledge and Information Management (KIM)"
"Department for Transport","Vehicle & Operator Services Agency","Chief Executive","8","6.00","27580","31070","Higher Executive Officer / HPTO / STE","30.00","Human Resources"
"Department for Transport","Vehicle & Operator Services Agency","Chief Executive","8","5.00","23810","26621","Executive Officer / PTO / SPS / TE","19.00","Operational Delivery"
"Department for Transport","Vehicle & Operator Services Agency","Chief Executive","8","5.00","23810","26621","Executive Officer Level 5","7.00","Knowledge and Information Management (KIM)"
"Department for Transport","Vehicle & Operator Services Agency","Chief Executive","8","5.00","23810","26621","Professional and Technical Officer Level 5","6.00","Human Resources"
"Department for Transport","Vehicle & Operator Services Agency","Chief Executive","8","4.00","22066","24928","Executive Officer / PTO / SPS / TE","674.00","Operational Delivery"
"Department for Transport","Vehicle & Operator Services Agency","Chief Executive","8","4.00","22066","24928","Executive Officer","26.00","Knowledge and Information Management (KIM)"
"Department for Transport","Vehicle & Operator Services Agency","Chief Executive","8","4.00","22066","24928","Executive Officer / PTO / SPS / TE","49.00","Human Resources"
"Department for Transport","Vehicle & Operator Services Agency","Chief Executive","8","3.00","17662","20453","Admin Officer / VI / Tester","826.00","Operational Delivery"
"Department for Transport","Vehicle & Operator Services Agency","Chief Executive","8","3.00","17662","20453","Administration Officer","15.00","Knowledge and Information Management (KIM)"
"Department for Transport","Vehicle & Operator Services Agency","Chief Executive","8","3.00","17662","20453","Administration Officer","24.00","Human Resources"
"Department for Transport","Vehicle & Operator Services Agency","Chief Executive","8","2.00","14619","16519","Admin Assistant / Tester","111.00","Operational Delivery"
"Department for Transport","Vehicle & Operator Services Agency","Chief Executive","8","2.00","14619","16519","Administration Assistant","1.00","Knowledge and Information Management (KIM)"
"Department for Transport","Vehicle & Operator Services Agency","Chief Executive","8","2.00","14619","16519","Administration Assistant","6.00","Human Resources"
"Department for Transport","Vehicle & Operator Services Agency","Chief Executive","8","1.00","14217","15007","Industrial / Handyperson","22.00","Operational Delivery"
"Department for Transport","Vehicle & Operator Services Agency","Chief Executive","8","1.00","14217","15007","Industrial / Handyperson","1.00","Human Resources"
"Department for Transport","Vehicle & Operator Services Agency","Finance","160","1.00","14217","15007","Industrial / Handyperson","3.00","Finance"
"Department for Transport","Vehicle & Operator Services Agency","Finance","160","3.00","17662","20453","Administration Officer","10.00","Finance"
"Department for Transport","Vehicle & Operator Services Agency","Finance","160","4.00","22066","24928","Executive Officer","14.00","Finance"
"Department for Transport","Vehicle & Operator Services Agency","Finance","160","6.00","27580","31070","Higher Executive Officer","7.00","Finance"
"Department for Transport","Vehicle & Operator Services Agency","Finance","160","7.00","34346","39100","Senior Executive Officer","8.00","Finance"
"Department for Transport","Vehicle & Operator Services Agency","Finance","160","8.00","43960","50670","Grade 7","4.00","Finance"
"Department for Transport","Vehicle & Operator Services Agency","Strategy & Customer","161","3.00","17662","20453","Administration Officer","2.00","Operational Delivery"
"Department for Transport","Vehicle & Operator Services Agency","Strategy & Customer","161","4.00","22066","24928","Executive Officer","10.00","Operational Delivery"
"Department for Transport","Vehicle & Operator Services Agency","Strategy & Customer","161","5.00","23810","26621","Executive Officer Level 5","1.00","Operational Delivery"
"Department for Transport","Vehicle & Operator Services Agency","Strategy & Customer","161","6.00","27580","31070","Higher Executive Officer","31.00","Operational Delivery"
"Department for Transport","Vehicle & Operator Services Agency","Strategy & Customer","161","7.00","34346","39100","Senior Executive Officer","11.00","Operational Delivery"
"Department for Transport","Vehicle & Operator Services Agency","Strategy & Customer","161","8.00","43960","50670","Grade 7","5.00","Operational Delivery"
"Department for Transport","Vehicle & Operator Services Agency","Strategy & Customer","161","10.00","57332","66083","Grade 6","2.00","Operational Delivery"
