"","0-6","6-12","12-18","18-24","24-30","30-36","36-42","42-48","48-54","54-60","60-66","66-72","72-78","78-84","84-90","90-96","96-102","102+","No Operation Performed","Unknown"
"ADD",1.06666666666667,6.4,18.4,42.1333333333333,53.6,61.0666666666667,69.3333333333333,79.7333333333333,83.7333333333333,86.4,88.2666666666667,91.2,92.5333333333333,93.0666666666667,94.4,94.6666666666667,95.2,97.8666666666667,99.2,100
"AEI",0.91743119266055,7.03363914373089,27.8287461773700,55.6574923547401,71.559633027523,77.0642201834862,81.9571865443425,85.3211009174312,88.3792048929664,88.6850152905199,89.6024464831804,91.131498470948,91.743119266055,91.743119266055,91.743119266055,92.9663608562691,93.2721712538226,96.6360856269113,100,100
"ALT",0,0.527704485488127,5.27704485488127,13.4564643799472,20.0527704485488,24.0105540897098,32.7176781002639,44.3271767810026,53.2981530343008,56.7282321899736,63.8522427440633,73.6147757255937,77.5725593667546,78.8918205804749,79.9472295514512,82.8496042216359,84.1688654353562,96.042216358839,100,100
"ASH",3.1055900621118,14.5962732919255,39.4409937888199,73.2919254658385,85.4037267080745,88.8198757763975,90.9937888198758,94.72049689441,95.6521739130435,95.6521739130435,96.583850931677,96.583850931677,96.583850931677,96.8944099378882,96.8944099378882,96.8944099378882,97.2049689440994,97.8260869565217,100,100
"BAR",1.47783251231527,4.92610837438424,18.7192118226601,45.320197044335,63.0541871921182,67.487684729064,70.4433497536946,76.8472906403941,80.7881773399015,81.7733990147783,82.2660098522168,83.743842364532,85.2216748768473,85.2216748768473,86.6995073891626,87.192118226601,88.6699507389163,96.551724137931,99.5073891625616,100
"BAS",0.584795321637427,4.3859649122807,15.2046783625731,36.2573099415205,51.4619883040936,58.187134502924,64.0350877192982,76.3157894736842,83.0409356725146,84.5029239766082,85.3801169590643,87.1345029239766,90.6432748538012,90.6432748538012,90.9356725146199,91.812865497076,91.812865497076,95.906432748538,97.6608187134503,100
"BAT",2.13219616204691,7.0362473347548,18.9765458422175,40.0852878464819,51.5991471215352,56.5031982942431,65.8848614072495,77.1855010660981,82.3027718550107,84.2217484008529,88.0597014925373,91.2579957356077,92.5373134328358,93.6034115138593,94.2430703624734,95.0959488272921,95.3091684434968,97.228144989339,99.7867803837953,100
"BED",2.27272727272727,7.38636363636364,18.1818181818182,34.6590909090909,50.5681818181818,53.4090909090909,61.3636363636364,72.1590909090909,76.1363636363636,78.4090909090909,80.1136363636364,84.0909090909091,86.9318181818182,88.0681818181818,88.0681818181818,89.7727272727273,91.4772727272727,94.8863636363636,96.0227272727273,100
"BFH",3.02325581395349,9.06976744186047,23.2558139534884,49.7674418604651,66.5116279069767,70.4651162790698,77.906976744186,84.6511627906977,89.3023255813953,90.6976744186046,92.093023255814,94.1860465116279,94.4186046511628,94.6511627906977,94.8837209302326,95.3488372093023,95.5813953488372,98.1395348837209,100,100
"BLA",0.987654320987654,6.41975308641975,21.2345679012346,50.3703703703704,68.1481481481482,72.3456790123457,77.037037037037,80.9876543209877,84.4444444444444,84.6913580246914,85.679012345679,86.6666666666667,87.4074074074074,87.9012345679012,88.395061728395,88.8888888888889,89.3827160493827,92.8395061728395,96.7901234567901,100
