No.,Surname of Candidate,Other names of Candidate,Full Description (as given in the nomination paper),Deemed Elected,Stage 1 - 1st Preference,Stage 2 - Transfer LOCKHART,Stage 2 - Total,Stage 3 - Exclusion McCLELLAND,Stage 3 - Total,Stage 4 - Exclusion OCHAL-MOLENDA,Stage 4 - Total,Stage 5 - Exclusion JOHNS,Stage 5 - Total,Stage 6 - Exclusion DAVIDSON,Stage 6 - Total,Stage 7 - Exclusion FERGUSON,Stage 7 - Total,Stage 8 - Exclusion MACKLE,Stage 8 - Total,Stage 9 - Exclusion LAVERY,Stage 9 - Total,Stage 10 - Transfer McDADE,Stage 10 - Total,,,,,,,,,,
1,CAIRNS,Maire,Sinn Féin,Elected - Stage 10,1002.00,0.28,1002.28,2.00,1004.28,6.00,1010.28,3.00,1013.28,2.00,1015.28,2.28,1017.56,86.00,1103.56,34.00,1137.56,36.00,1173.56,,,,,,,,,,
2,CARSON,Aaron,Ulster Unionist Party,Excluded - Stage 10,539.00,47.88,586.88,11.28,598.16,0.00,598.16,43.80,641.96,105.84,747.80,187.96,935.76,1.00,936.76,36.12,972.88,7.28,980.16,,,,,,,,,,
3,DAVIDSON,Lexi,Progressive Unionist Party of Northern Ireland,Excluded - Stage 5,321.00,31.64,352.64,3.00,355.64,1.00,356.64,31.96,388.60,-388.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
4,FERGUSON,Roy,Traditional Unionist Voice - TUV,Excluded - Stage 6,370.00,20.72,391.00,2.00,392.72,1.00,393.72,49.96,443.68,93.32,537.00,-537.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
5,HAUGHIAN,Keith William,Sinn Féin,Elected - Stage 10,930.00,0.00,930.00,1.00,931.00,5.00,936.00,3.00,939.00,0.00,939.00,1.00,940.00,103.00,1043.00,42.00,1085.00,48.00,1133.00,,,,,,,,,,
6,JOHNS,Jonny,United Kingdom Independence Party,Excluded - Stage 4,264.00,12.88,277.00,3.28,280.16,1.28,281.44,-281.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
7,LAVERY,Peter,Alliance Party,Excluded - Stage 8,589.00,3.36,592.00,62.40,654.76,6.00,660.76,16.28,677.04,2.28,679.32,5.28,684.60,16.00,700.60,-700.60,0.00,0.00,0.00,,,,,,,,,,
8,LOCKHART,Carla,Democratic Unionist Party - D.U.P.,Elected - Stage 1,2013.00,-575.00,1438.00,0.00,1438.00,0.00,1438.00,0.00,1438.00,0.00,1438.00,0.00,1438.00,0.00,1438.00,0.00,1438.00,0.00,1438.00,,,,,,,,,,
9,MACKLE,Liam,Sinn Féin,Excluded - Stage 7,587.00,0.84,588.00,3.00,590.84,6.00,596.84,2.00,598.84,0.00,598.84,0.00,598.84,-598.84,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
10,McCLELLAND,Stuart,NI21,Excluded - Stage 2,141.00,3.08,144.00,-144.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
11,McCUSKER,Colin,Ulster Unionist Party,Elected - Stage 10,903.00,94.64,997.64,14.28,1011.92,0.00,1011.92,40.40,1052.32,81.08,1133.40,173.28,1306.68,1.28,1307.96,45.84,1353.80,4.00,1357.80,,,,,,,,,,
12,McDADE,Pat,SDLP (Social Democratic & Labour Party),Excluded - Stage 9,648.00,1.96,649.96,12.00,661.96,26.00,687.96,7.00,694.96,0.00,694.96,3.28,698.24,35.00,733.24,151.28,884.52,-884.52,0.00,,,,,,,,,,
13,McGEOWN,Noel Francis,Sinn Féin,Excluded - Stage 10,756.00,1.12,757.12,1.00,758.12,3.00,761.12,3.00,764.12,0.00,764.12,1.00,765.12,210.00,975.12,29.00,1004.12,55.00,1059.12,,,,,,,,,,
14,MOUTRAY,Philip,Democratic Unionist Party - D.U.P.,Elected - Stage 10,583.00,337.68,920.68,10.56,931.24,0.00,931.24,42.64,973.88,80.96,1054.84,114.52,1169.36,0.56,1169.92,29.68,1199.60,10.56,1210.16,,,,,,,,,,
15,NELSON,Joe,SDLP (Social Democratic & Labour Party),Elected - Stage 10,839.00,0.28,839.28,3.00,842.28,90.00,932.28,5.00,937.28,0.00,937.28,,937.28,42.00,979.28,146.56,1125.84,507.00,1632.84,,,,,,,,,,
16,OCHAL-MOLENDA,Anna,SDLP (Social Democratic & Labour Party),Excluded - Stage 3,173.00,0.28,173.28,2.00,175.28,-175.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
17,SEELEY,Catherine,Sinn Féin,Elected - Stage 10,844.00,0.00,844.00,0.00,844.00,7.00,851.00,3.00,854.00,0.00,854.00,2.00,856.00,89.00,945.00,26.28,971.28,38.00,1009.28,,,,,,,,,,
Non transferable,,,,,,18.36,18.36,13.28,31.64,23.00,54.64,30.40,85.04,23.12,108.16,46.40,154.56,15.00,169.56,159.84,329.40,178.68,508.08,,,,,,,,,,
Totals,,,,,11502.00,,11502.00,,11502.00,,11502.00,,11502.00,,11502.00,,11502.00,,11502.00,,11502.00,,11502.00,,,,,,,,,,
