Department,Organisation Name,Project name,Basis for expenditure approval,Total Value Approved (£M),Date of approval
Ministry of Defence,DIO,DIO Transformation FOOTPRINT,,"£2,500,000",30/08/2013
Ministry of Defence,DIO,DIO Transformation HESTIA Prog Soft FM,,"£1,743,000",03/07/2013
Ministry of Defence,DIO,DIO Transformation SBP Legal exten.,,"£1,752,000",03/07/2013
Ministry of Defence,HO,GPSS,,"£3,000,000",05/07/2013
Ministry of Defence,HO,DSG Legal,,"£2,117,650",27/09/2013
Ministry of Defence,HO,GPSS accountancy and management consultancy,,"£741,165",04/09/2013
Ministry of Defence,Land,FIRE Service  Review,,"£3,630,000",01/08/2013
