Summary offences and offences triable only summarily,Current Quarter Month 1,Current Quarter Month 2,Current Quarter Month 3,Q1 2010/2011,Previous Quarter Month 1,Previous Quarter Month 2,Previous Quarter Month 3,Q1 2009/2010
Common assault,62,63,67,192,83,79,103,265
Assaulting a police officer,9,6,8,23,12,13,14,39
Section 4 and 4A Public Order Act 1986,9,5,16,30,13,9,22,44
Destroying or damaging property ,326,301,356,983,393,358,406,1157
Unlawful taking of a motor vehicle,0,1,1,2,0,1,2,3
Interference with vehicles,2,0,1,3,2,2,1,5
Section 5 Public Order Act 1986,8,4,13,25,9,10,12,31
Obstructing a police officer,3,1,4,8,4,0,6,10
Drunk and Disorderly,16,21,29,66,17,17,21,55
Indecent exposure,0,0,0,0,0,0,0,0
Simple drunk,0,1,0,1,1,3,0,4
Violent behaviour in a police station ,0,0,0,0,0,0,0,0
Other  summary only offences,57,40,50,147,65,64,63,192
Total,492,443,545,1480,599,556,650,1805



















,
