Department,Entity,Date of Payment,Expense Type,Expense Area,Suppliers,Transaction Number,Amount
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,19/02/2014,MATERIALS & SPARES,FUSION,3D METAL-FORMING,5100299307,18182.65
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,MATERIALS & SPARES,FUSION,A and J Non Ferrous LLP,5100299912,59.97
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,PLANT SPARES,FUSION,A W CLARKE,5100299173,210
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,PLANT SPARES,FUSION,A W CLARKE,5100299172,1234.5
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,PLANT SPARES,FUSION,A W CLARKE,5100294682,4839
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,PLANT SPARES,FUSION,A W CLARKE,5100295854,1923.6
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,PLANT SPARES,FUSION,A W CLARKE,5100296855,-425
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,PLANT SPARES,FUSION,A W CLARKE,5100296856,-4312.5
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,PLANT SPARES,FUSION,A W CLARKE,5100298931,332
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PLANT SPARES,FUSION,A W CLARKE,5100298932,312
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,PLANT SPARES,FUSION,A W CLARKE,5100299512,2125
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,05/02/2014,PLANT & EQUIPMENT,FUSION,AALCO LIMITED,5100299384,200
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,PLANT & EQUIPMENT,FUSION,AALCO LIMITED,5100299350,152
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PLANT & EQUIPMENT,FUSION,AALCO LIMITED,5100298187,89.3
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PLANT & EQUIPMENT,FUSION,AALCO LIMITED,5100298674,-110
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PLANT & EQUIPMENT,FUSION,AALCO LIMITED,5100298761,89.3
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PLANT & EQUIPMENT,FUSION,AALCO LIMITED,5100298839,-738.9
