UNIQUE REFERENCE NUMBER,TRANSACTION DATE, MERCHANT CATEGORY CODE DESCRIPTION2 ,LOCATION,MERCHANT CATEGORY GROUP DESCRIPTION3, AMOUNT ,SUPPLIER
FCOGPC2017090792,9/20/2017, ELECTRICAL PARTS AND EQUIPMENT ,ALB,Building Materials,687.11,ALBAELETTRICA
FCOGPC2017090793,9/20/2017," INSURANCE SALES,UNDERWRITING,AND PREMIUMS ",RWA,Financial Services,687.58,SORAS ASSURANCES
FCOGPC2017090794,9/20/2017," INSURANCE SALES,UNDERWRITING,AND PREMIUMS ",RWA,Financial Services,687.58,SORAS ASSURANCES
FCOGPC2017090795,9/20/2017, TRAVEL ,ECU,Airline,689.36,AIRLINE
FCOGPC2017090796,9/20/2017," THEATRICAL PRODUCERS(EXCL MOTION PIX),TICKET AGNCY ",IRL,Leisure Activities,690.83,WEBSUMMIT
FCOGPC2017090797,9/20/2017, TELECOMMUNICATION EQUIPMENT INCL TELEPHONE SALES ,TUN,Telecommunication Services,695.74,ORANGE TUNISIE SA
FCOGPC2017090798,9/20/2017," QUICK COPY,REPRODUCTION AND BLUEPRINTING SERVICES ",CYP,"Office Stationery, equipment and supplies",706.7,D.M.G. CARTRIDGE WORLD
FCOGPC2017090799,9/20/2017, MISCELLANEOUS AND SPECIALTY RETAIL STORES ,GBR,General Retail and Wholesale,722.09,S & P EQUIPMENT
FCOGPC2017090800,9/20/2017, TRAVEL AGENCIES ,GHA,Travel Agencies,723.13,TRAVEL PLACES LIMITED
FCOGPC2017090801,9/20/2017, LIMOUSINES AND TAXICABS ,USA,Travel - Air/Rail/Road,724.36,BLUE DIAMOND TRANSPORT
FCOGPC2017090802,9/20/2017, LIMOUSINES AND TAXICABS ,USA,Travel - Air/Rail/Road,724.36,BLUE DIAMOND TRANSPORT
FCOGPC2017090803,9/20/2017, GENERAL CONTRACTORS/RESIDENTIAL BUILDINGS ,USA,Building Services,724.36,MATALONCO DOORS
FCOGPC2017090804,9/20/2017, WHOLESALE CLUBS ,BRA,General Retail and Wholesale,731.3,ATACADAO DIA A DIA
FCOGPC2017090805,9/20/2017, BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED ,USA,Miscellaneous Industrial/Commercial Supplies,762.48,NATIONAL FLAG & DISPLA
FCOGPC2017090806,9/20/2017," FREIGHT CARRIER,TRUCKING-LCL/LNG DIST, MVG/STORAGE ",CRI,Freight and Storage,773.92,MUDANZAS MUNDIALES
FCOGPC2017090807,9/20/2017," FREIGHT CARRIER,TRUCKING-LCL/LNG DIST, MVG/STORAGE ",CRI,Freight and Storage,773.92,MUDANZAS MUNDIALES
FCOGPC2017090808,9/20/2017, ELECTRICAL PARTS AND EQUIPMENT ,GBR,Building Materials,778.59,WILTS ELECTRICAL
FCOGPC2017090809,9/20/2017, DUTY FREE STORES ,DNK,General Retail and Wholesale,826.91,PETER JUSTESEN COMPANY
FCOGPC2017090810,9/20/2017, BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED ,USA,Miscellaneous Industrial/Commercial Supplies,831.11,NATIONAL FLAG & DISPLA
FCOGPC2017090811,9/20/2017, HOTELS/MOTELS/RESORTS  ,GBR,Hotels,852,ACCOMODATION PROVIDER
FCOGPC2017090812,9/20/2017, FLOOR COVERING STORES ,ZAF,General Retail and Wholesale,867.26,GALEO FLOORING
FCOGPC2017090813,9/20/2017, VARIETY STORES ,NPL,General Retail and Wholesale,874.17,AMBIENCE LIFESTYLE PVT
