Prosecutions,2007 - 08 Volume,2007 - 08 Percentage,2008 - 09 Volume,2008 - 09 Percentage,2009 - 10 Volume,2009 - 10 Percentage,2010 - 11 Volume,2010 - 11 Percentage,2011 - 12 Volume,2011 - 12 Percentage,2012 - 13 Volume,2012 - 13 Percentage
Convictions,2021,57.69%,2018,57.74%,2270,59.44%,2465,58.58%,2414,62.47%,2333,63.19%
Unsuccessful,1482,42.31%,1477,42.26%,1549,40.56%,1743,41.42%,1450,37.53%,1359,36.81%
Total,3503,100.00%,3495,100.00%,3819,100.00%,4208,100.00%,3864,100.00%,3692,100.00%
