Tool Ref,Department,Organisation Name,Project name,Basis for expenditure approval,Total Value requested (£),Total Value Approved (£),Date of approval,Lead Control
HMG2296,DfID,,Land: Enhancing Governance for Economic Development (LEGEND) ,"The present application is for digital work of one of a range of implementing partners under the LEGEND umbrella programme. This partner is only responsible to deliver a share of the wider programme, for £2mn of the total programme budget which is £20mn.","£785,839","£785,839",10/08/2015,IT/Digital
HMG2395,DfID,,Youth Summit website,"A website that will support The Youth Summit, to be held on 12 Sept.","£1,000","£1,000",27/08/2015,IT/Digital
