Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Department for Transport ,Ministerial Department,Department for Transport,164,150.69,258,248.34,804,788.17,780,757.39,141,138.1,0,0,"2,147","2,083",21,21,0,0,76,76,0,0,97,97,"2,244","2,180","£9,701,346.22","£105,379.25","£113,671.87","£77,595.46","£1,763,471.40","£975,782.57","£12,737,246.77","£917,943.05","£5,684,455.56","£6,602,398.61","£19,339,645.38",
Driver and Vehicle Licensing Agency,Executive Agency,Department for Transport,4445,3847.47,847,793.14,766,728.71,217,208.23,9,9,0,0,"6,284","5,587",0,0,8,4.73,16,9.8,0,0,24,14.52,"6,308","5,601","£10,808,378.00","£177,373.00","£9,225.00","£87,947.00","£2,213,192.00","£941,172.00","£14,237,287.00","£13,374.00",-£187.00,"£13,187.00","£14,250,474.00",
Driver and Vehicle Standards Agency,Executive Agency,Department for Transport,1148,1057.2,2588,2437.99,703,690.29,86,84.75,5,5,0,0,"4,530","4,275",60,59.2,1,1,53,53,0,0,114,113.2,"4,644","4,388","£9,695,744.28","£437,492.68","£5,485.16","£279,094.73","£2,019,880.23","£1,007,223.86","£13,444,920.94","£644,498.30","-£66,957.51","£577,540.79","£14,022,461.73",
Maritime and Coastguard Agency,Executive Agency,Department for Transport,325,300.98,194,183.69,429,409.42,114,111.94,5,4.54,0,0,"1,067","1,011",15,15,0,0,0,0,0,0,15,15,"1,082","1,026","£2,541,460.64","£265,991.19","£13,800.00","£103,965.99","£573,415.22","£299,250.64","£3,797,883.68",,,£0.00,"£3,797,883.68",
Vehicle Certification Agency,Executive Agency,Department for Transport,40,35.32,31,28.6,73,70,8,8,1,1,0,0,153,143,3,3,0,0,0,0,0,0,3,3,156,146,"£422,459.00","£21,049.00","£12,500.00","£11,849.00","£84,816.00","£44,091.00","£596,764.00","£14,339.00",,"£14,339.00","£611,103.00",
British Transport Police Authority,Executive Non-Departmental Public Body,Department for Transport,0,0,0,0,7,7,5,4.6,2,2,0,0,14,14,0,0,0,0,0,0,0,0,0,0,14,14,"£45,488.00","£3,165.00",£0.00,£0.00,"£5,952.00","£5,928.00","£60,533.00",£0.00,"£8,202.00","£8,202.00","£68,735.00",
High Speed 2,Executive Non-Departmental Public Body,Department for Transport,83,81.4,38,38,341,339,299,295,158,158,132,125.3,"1,051","1,037",59,59,184,184,124,124,0,0,367,367,"1,418","1,404","£6,083,332.34",£0.00,£0.00,£0.00,"£481,672.77","£624,154.87","£7,189,159.98","£3,363,807.39",£0.00,"£3,363,807.39","£10,552,967.37",
Northern Lighthouse Board,Executive Non-Departmental Public Body,Department for Transport,28,9.6,18,18,62,60.8,13,12.8,4,4,74,68.7,199,174,8,4.9,0,0,0,0,0,0,8,4.9,207,179,"£638,904.00","£6,062.00","£155,150.00","£22,194.00","£159,057.00","£59,179.00","£1,040,546.00","£9,190.00",,"£9,190.00","£1,049,736.00",
