HMRC OFFICIALS' MEETINGS WITH TOBACCO STAKEHOLDERS,,,,
,,,,
From 1 January 2018 to 31 March 2018,,,,
,,,,
Meetings with Tobacco Manufacturers/Importers and Trade Associations,,,,
,,,,
Date of meeting,HMRC officials,Organisation,Industry officials titles,Issues discussed
01/03/2018,Tobacco Policy Officials,Tobacco Manufacturers Association,Anti-illicit trade managers,Policy and strategy update
,,,,
,,,,
Meetings with other Tobacco Stakeholders,,,,
,,,,
Date of meeting,HMRC officials,Organisation,Industry officials titles,Issues discussed
