LSOA code 2011,LSOA name 2011,Local Authority District Code 2013,Local Authority District Name 2013,IMD Rank,IMD Decile,Income Rank,Income Decile,Employment Rank,Employment Decile,Education Skills and Training Rank,Education Skills and Training Decile,Health Deprivation and Disability Rank,Health Deprivation and Disability Decile,Crime Rank,Crime Decile,Barriers to Housing and Services Rank,Barriers to Housing and Services Decile,Living Environment Rank,Living Environment Decile
E01019138,Barrow-in-Furness 010A,E07000027,Barrow-in-Furness,"4,426",2,"12,970",4,"7,221",3,"7,060",3,"2,100",1,376,1,"32,270",10,633,1
E01019139,Barrow-in-Furness 010B,E07000027,Barrow-in-Furness,246,1,"1,524",1,316,1,"1,889",1,575,1,585,1,"22,836",7,59,1
E01019140,Barrow-in-Furness 007A,E07000027,Barrow-in-Furness,234,1,486,1,314,1,"1,335",1,82,1,"2,514",1,"27,612",9,"2,569",1
E01019141,Barrow-in-Furness 008A,E07000027,Barrow-in-Furness,594,1,"1,702",1,590,1,899,1,258,1,"15,957",5,"29,803",10,305,1
E01019142,Barrow-in-Furness 008B,E07000027,Barrow-in-Furness,468,1,"1,617",1,"1,231",1,"1,850",1,444,1,427,1,"30,983",10,141,1
E01019143,Barrow-in-Furness 008C,E07000027,Barrow-in-Furness,122,1,782,1,189,1,"1,992",1,102,1,933,1,"26,968",9,181,1
E01019144,Barrow-in-Furness 001A,E07000027,Barrow-in-Furness,"15,046",5,"18,104",6,"12,709",4,"13,552",5,"6,526",2,"20,146",7,"29,920",10,"10,460",4
E01019145,Barrow-in-Furness 001B,E07000027,Barrow-in-Furness,"18,311",6,"22,608",7,"15,566",5,"15,931",5,"8,909",3,"29,234",9,"32,691",10,"6,962",3
E01019146,Barrow-in-Furness 001C,E07000027,Barrow-in-Furness,"18,235",6,"21,991",7,"17,299",6,"25,458",8,"10,952",4,"17,318",6,"15,967",5,"7,257",3
E01019147,Barrow-in-Furness 001D,E07000027,Barrow-in-Furness,"12,620",4,"16,849",6,"15,616",5,"16,229",5,"8,009",3,"16,261",5,"32,821",10,756,1
E01019148,Barrow-in-Furness 002A,E07000027,Barrow-in-Furness,"22,943",7,"28,881",9,"19,903",7,"21,198",7,"8,357",3,"31,336",10,"21,197",7,"17,179",6
E01019149,Barrow-in-Furness 002B,E07000027,Barrow-in-Furness,"15,367",5,"20,095",7,"15,314",5,"23,128",8,"7,495",3,"14,881",5,"32,708",10,"2,698",1
E01019150,Barrow-in-Furness 002C,E07000027,Barrow-in-Furness,"10,829",4,"11,934",4,"10,007",4,"13,665",5,"4,881",2,"17,826",6,"32,174",10,"4,146",2
E01019151,Barrow-in-Furness 002D,E07000027,Barrow-in-Furness,"11,911",4,"12,267",4,"7,013",3,"10,945",4,"5,215",2,"26,364",9,"31,735",10,"19,527",6
E01019152,Barrow-in-Furness 003A,E07000027,Barrow-in-Furness,"16,008",5,"21,168",7,"10,352",4,"26,615",9,"3,216",1,"25,696",8,"32,427",10,"14,313",5
E01019153,Barrow-in-Furness 003B,E07000027,Barrow-in-Furness,"26,994",9,"28,834",9,"24,954",8,"26,611",9,"11,078",4,"32,180",10,"26,879",9,"17,488",6
