Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4012433," £2,106 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4012434," £1,577 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",WEST OXFORD COMMUNITY RENEWABLES LTD,4012273," £9,176 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Technical Advice / Services & Support,Science & Innovation Group - Science & Innovation Group,UNIVERSITY OF OXFORD,4012425," £5,797 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Recruitment Consultancy Costs,Corporate Support & Shared Services - Corporate Support & Shared Services,TMP (UK) LTD T/A TMP WORLDWIDE,4012385, £712 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Project Management Costs (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,THE NATIONAL NON-FOOD CROPS CENTRE,4012419," £219,926 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Project Management Costs (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,THE NATIONAL NON-FOOD CROPS CENTRE,4012419," £123,081 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4012469," £422,713 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Secondees (not paid directly),National Climate Change & Consumer Support - Communications,THE ENERGY SAVING TRUST LTD,4012467," £14,554 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Air Fares  - Overseas (Programme),International Energy & Climate Change - International Climate Change Negotiations,THE CHILDRENS INVESTMENT FUND FOUNDATION (UK),4012482, £816 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Technical Advice / Services & Support,National Climate Change & Consumer Support - National Climate Change,SMARTSOURCING PLC,4012427," £4,893 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,REDPOINT ENERGY LTD,4011679," £4,406 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,PRICEWATERHOUSECOOPERS LLP,4012417," £13,634 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Media Services,National Climate Change & Consumer Support - Communications,PRESS ASSOCIATION LTD,4012426," £7,521 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Outsourced Programme Management Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4012334," £176,589 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4011861, £685 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4011861, £685 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Cash Expenditure During the Year - British Energy,Energy Markets & Infrastructure - Office of Nuclear Development,NUCLEAR DECOMMISSIONING AUTHORITY,4010414," £14,125,927 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Cash Expenditure During the Year - British Energy,Energy Markets & Infrastructure - Office of Nuclear Development,NUCLEAR DECOMMISSIONING AUTHORITY,4010415," £3,831,589 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4012435, £855 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT PUBLIC SECTOR LTD,4012488," £2,517 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Hire of Agency Staff (Professional/Management),Energy Markets & Infrastructure - Office of Nuclear Development,MORGAN HUNT PUBLIC SECTOR LTD,4012489," £1,932 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,MINISTRY OF DEFENCE,4012494," £4,000,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,MINISTRY OF DEFENCE,4012494," £200,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,International Subscriptions,International Energy & Climate Change - International Energy & Carbon Budgets,INTERNATIONAL RENEWABLE ENERGY AGENCY,4011976," £754,114 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,HOMES & COMMUNITIES AGENCY,4012398," £300,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Other Printing and Stationery Costs,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",GWS LTD,4012487," £4,768 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Other Media Costs,National Climate Change & Consumer Support - Communications,GETTY IMAGES INTERNATIONAL LTD,4012400," £4,500 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Technical Advice / Services & Support,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,ENERGY & UTILITY SKILLS LTD,4012466," £21,667 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Technical Advice / Services & Support,Science & Innovation Group - Science & Innovation Group,ECONOMIC AND SOCIAL RESEARCH COUNCIL ESRC,4012485," £3,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAGA PLC,4012340," £34,000,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Other Overseas T&S,International Energy & Climate Change - International Energy & Carbon Budgets,DONA MA MONTSERRAT BORRAS LLOP,4011857," £1,477 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Computer Equipment,Corporate Support & Shared Services - Corporate Support & Shared Services,DELL CORPORATION LTD,4012416," £6,518 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",DEFRA,4012473," £42,804 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Technical Advice,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",CONSULTING WITH PURPOSE LTD,4012256," £3,098 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Technical Advice,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",CONSULTING WITH PURPOSE LTD,4012256," £3,098 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Media and Design Services,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,COMMUNISIS P M S,4012479, £660 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Technical Advice / Services & Support,Energy Markets & Infrastructure - Energy Development Unit,COI COMMUNICATIONS,4012421," £42,500 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Professional Subscriptions,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4012430," £34,991 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Public Relations - Other Expenditure,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4012462," £30,500 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Hire of IT Equipment,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4012461," £11,280 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,IT Systems Development,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4012460," £7,663 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Media Services,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4012429," £7,292 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Procurement & Commercial Service,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4012462," £6,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Technical Advice / Services & Support,Energy Markets & Infrastructure - Energy Development Unit,CENTRAL OFFICE OF INFORMATION [COI],4012456," £79,502 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Other Media Costs,National Climate Change & Consumer Support - Communications,CENTRAL OFFICE OF INFORMATION [COI],4012457," £18,860 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Other Media Costs,National Climate Change & Consumer Support - Communications,CENTRAL OFFICE OF INFORMATION [COI],4012459," £2,190 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Parliamentary Counsel Services (Cabinet Office),Corporate Support & Shared Services - Corporate Support & Shared Services,CABINET OFFICE,4012321," £467,654 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Other Media Costs,National Climate Change & Consumer Support - Communications,BOROWSKI PHOTOGRAPHY LTD,4012432," £1,310 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Hire of Agency Staff (Professional/Management),DECC Central Budgets - DECC Central Budgets,BADENOCH AND CLARK LTD,4012474," £3,212 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Hire of Agency Staff (Professional/Management),DECC Central Budgets - DECC Central Budgets,BADENOCH AND CLARK LTD,4012481," £3,212 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,BABCOCK INTERNATIONAL GROUP PLC T/A BABCOCK NUCLEAR LTD,4011966," £25,998 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,BABCOCK INTERNATIONAL GROUP PLC T/A BABCOCK NUCLEAR LTD,4011966," £20,109 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,ARTEMIS INTELLIGENT POWER LTD,4012420," £192,600 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,AETHER LTD,4012484," £14,050 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4012445," £61,807 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4012444," £37,610 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4012442," £9,395 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Technical Advice,Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY ENVIRONMENT,4012247," £21,350 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ADECCO UK LTD,4012099, £884 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ADECCO UK LTD,4012478, £720 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Hire of Agency Staff (Professional/Management),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,ADECCO UK LTD,4012438, £702 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Hire of Agency Staff (Professional/Management),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,ADECCO UK LTD,4012438, £584 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Publications,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,THE STATIONERY OFFICE LTD,4012546, £540 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Technical Advice / Services & Support,Science & Innovation Group - Science & Innovation Group,THE INSTITUTE OF DEVELOPMENT STUDIES,4012267," £5,306 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Minor Works,DECC Central Budgets - DECC Central Budgets,THE CARBON TRUST,4012502," £24,528 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Minor Works,DECC Central Budgets - DECC Central Budgets,THE CARBON TRUST,4012502," £5,288 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Others UK T&S (Programme),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,THE BRITISH COAL UTILISATION RESEARCH ASSOCIATION,4012562," £34,042 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Others UK T&S (Programme),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,THE BRITISH COAL UTILISATION RESEARCH ASSOCIATION,4012562," £21,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Others UK T&S (Programme),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,THE BRITISH COAL UTILISATION RESEARCH ASSOCIATION,4012562," £9,552 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Local IT Consultancy,DECC Central Budgets - DECC Central Budgets,STEELHENGE CONSULTING LTD,4012517," £3,400 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,STEELHENGE CONSULTING LTD,4012516," £2,820 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - National Climate Change,RUSSAM GMS LTD,4012506," £2,120 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Capital Grants - Other,National Climate Change & Consumer Support - National Climate Change,ROYAL COLLEGE OF GENERAL PRACTITIONERS,4012498," £15,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),International Energy & Climate Change - International Climate Change Negotiations,REED EMPLOYMENT LTD,4012279, £756 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Recruitment Consultancy Costs,Science & Innovation Group - Science & Innovation Group,REED BUSINESS INFORMATION,4011595," £1,129 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,PRICEWATERHOUSECOOPERS LLP,4012561," £44,500 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Technical Advice,Energy Markets & Infrastructure - DECC Commercial Team,PRICEWATERHOUSECOOPERS LLP,4011343," £11,988 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4012509," £46,554 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4012511," £41,307 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4012508," £11,750 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4012511," £8,417 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Application Development,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4012510," £5,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,External Training,International Energy & Climate Change - International Energy & Carbon Budgets,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4012572," £1,500 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4012571," £1,010 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,External Training,Energy Markets & Infrastructure - Security and resilience,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4012513, £550 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,MITSUBISHI POWER SYSTEMS EUROPE LTD,4012541," £19,254 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,MDP,4012499, £695 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Cash Expenditure during the Year - COPD,Energy Markets & Infrastructure - Energy Development Unit,IRWIN MITCHELL SOLICITORS,4012560," £6,714 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Energy Development Unit,HARTLEY ANDERSON LTD,4012540," £71,167 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Energy Development Unit,HARTLEY ANDERSON LTD,4012544," £28,879 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Energy Development Unit,HARTLEY ANDERSON LTD,4012537," £21,608 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Application Development & Support (PFI),DECC Central Budgets - DECC Central Budgets,FUJITSU SERVICES LTD,4012530," £126,926 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Core BIS IT Infrastructure Support,Energy Markets & Infrastructure - Energy Development Unit,FUJITSU SERVICES LTD,4012527," £74,736 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Procurement & Commercial Service,DECC Central Budgets - DECC Central Budgets,FUJITSU SERVICES LTD,4012339, £983 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Translation Services (Agency),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,FCO SERVICES,4012525," £4,500 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Grants - Statutory - Current - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,ENVIROLINK NORTH WEST LTD,4012539," £35,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAST OF ENGLAND DEVELOPMENT AGENCY (EEDA),4012500," £850,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Printing,Corporate Support & Shared Services - Corporate Support & Shared Services,COMMUNISIS P M S,4012453," £1,017 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,CENTRE FOR SUSTAINABLE ENERGY,4012522," £20,100 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,CENTRAL OFFICE OF INFORMATION [COI],4012299," £233,770 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,CENTRAL OFFICE OF INFORMATION [COI],4012299," £233,545 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,CENTRAL OFFICE OF INFORMATION [COI],4012512," £46,954 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4012497," £1,174,046 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4012451," £806,876 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4012496," £40,980 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,BROOK STREET (UK) LTD,4012565, £838 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Energy Development Unit,BRITISH TRUST FOR ORNITHOLOGY (THE),4012532," £72,370 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Technical Advice / Services & Support,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BEHAVIOUR CHANGE LTD,4012503," £14,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4012528," £14,144 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4012526," £13,984 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4012545," £13,621 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/04/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY ENVIRONMENT,4012542," £1,755 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,Computer Equipment,Corporate Support & Shared Services - Corporate Support & Shared Services,TIMBERLAKE CONSULTANTS LTD,4012501, £911 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4012632," £4,200 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),International Energy & Climate Change - International Energy & Carbon Budgets,MORGAN HUNT PUBLIC SECTOR LTD,4012072, £599 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,Hire of Conference Facilities,National Climate Change & Consumer Support - National Climate Change,LONDON PORTMAN HOTEL LTD T/A RADISSON BLU PORTMAN HOTEL,4012310," £7,876 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,Hire of Conference Facilities,National Climate Change & Consumer Support - National Climate Change,LONDON PORTMAN HOTEL LTD T/A RADISSON BLU PORTMAN HOTEL,4012310," £1,350 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,Estates Consultancy,DECC Central Budgets - DECC Central Budgets,JUDD FARRIS LTD,4012610," £1,365 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,JOINT NATURE CONSERVATION COMMITTEE,4012268," £5,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,Local IT Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,GREEN PARK INTERIM & EXECUTIVE LTD,4012575," £9,500 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,Development Expenditure - Sales Proceeds,DECC Central Budgets - DECC Central Budgets,FUJITSU SERVICES LTD,4012581," £28,255 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,Standard Desktop Plus Service (PFI),Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4012580, £702 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,External Training,National Climate Change & Consumer Support - Communications,DEPARTMENT OF HEALTH,4012644, £721 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,Economic Consultancy and Research,International Energy & Climate Change - International Climate Change Negotiations,DEPARTMENT FOR INTERNATIONAL DEVELOPMENT,4012440," £12,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,DEFRA,4012645," £149,515 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,IT Services (Programme),National Climate Change & Consumer Support - National Climate Change,COMPUTERSHARE INVESTOR SERVICES PLC,4012604," £45,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4012320," £299,429 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4012320," £299,429 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4012319," £76,545 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4012312," £12,424 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,Independent Experts,Energy Markets & Infrastructure - Office of Nuclear Development,COI COMMUNICATIONS,4012600," £8,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,Other Media Costs,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4012582," £5,160 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,Other Media Costs,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4012470," £3,588 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,CENTRAL OFFICE OF INFORMATION [COI],4012295," £300,747 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,CENTRAL OFFICE OF INFORMATION [COI],4012295," £300,496 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,CENTRAL OFFICE OF INFORMATION [COI],4012603," £59,700 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,CENTRAL OFFICE OF INFORMATION [COI],4012587," £4,406 "
