Special Adviser,Date,Name of organisation or individual,Purpose of meeting
David Frost,18-10-18,"Joakim Reiter, Vodafone Group External Affairs Director",Discussion of global and European trade issues
Ben Gascoigne,NIL return,NIL return,NIL return
Lee Cain,NIL return,NIL return,NIL return
