MINISTERIAL INFORMATION 1 JULY - 30 SEPTEMBER 2013,,,,,
,,,,,
"MEETINGS WITH EXTERNAL ORGANISATIONS (INCLUDING MEETINGS WITH NEWSPAPER AND OTHER MEDIA PROPRIETORS, EDITORS AND SENIOR EXECUTIVES)",,,,,
,,,,,
Minister,,Name of External Organisation,Date of Meeting ,Purpose of Meeting ,
"Secretary of State for Defence, Rt Hon Philip Hammond",,BAE Systems,July ,Aircraft Carriers,
"Secretary of State for Defence, Rt Hon Philip Hammond",,BAE Systems,July ,Aircraft Carriers,
"Secretary of State for Defence, Rt Hon Philip Hammond",,"Unite, GMB, FDA, PCS, Prospect",September ,Routine meeting on behalf of MOD Civil Servants,
"Secretary of State for Defence, Rt Hon Philip Hammond",,Channel 4 News,September ,General Defence Discussion,
"Secretary of State for Defence, Rt Hon Philip Hammond",,BAE Systems,September ,Aircraft Carriers,
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",,MIA ,July ,Introductory Call,
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",,MBDA,July ,Defence Growth Partnership Update,
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",,G3 Systems,July ,Company Site Visit,
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",,Atlas Elekeronik UK,July,Company Site Visit ,
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",,Ovik Special Vehicles,July,Company Site Visit,
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",,A|D|S,July,To discuss DSEi ,
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",,RUSI,July,Acquisition Focus Group,
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",,General Dynamics,July,Phone call to Discuss Defence Issues,
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",,BBC,July,Interview,
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",,BAE Systems,July,Company Site Visit,
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",,"Eurofighter GMBH, BAE Systems, Northrop Grumman, EADS, NATS, Elbit Systems",July,Discuss Defence Issues at RIAT,
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",,Holyhead Marine,August,Company Site Visit,
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",,Bloomberg,August,Interview,
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",,Thales,September,Discuss Defence Issues,
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",,"MBDA, Marshall Aerospace, General Dynamics UK, Babcock, BAE Systems, Rolls Royce, Finmeccanica, EADS, Raytheon, Cobham, Lockheed Martin, QinetiQ, Serco, Thales, A|D|S",September,Defence Growth Partnership launch,
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",,"QinetiQ, Atkins, Finmeccanica, Northrop Grumman, Rolls Royce, Lockheed Martin, Raytheon, General Dynamics, Rheinmetal",September,Discuss Defence Issues at DSEi,
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",,"BMT, MBDA, Babcock, Chemring, EADS, Ultra Electronics",September,Discuss Defence Issues at DSEi,
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",,"ADS, Blighter Surveillance Systems, Thermoteknix, Kent Modular electronics, Rolatube, Optima Defence",September,Discuss Defence Issues at DSEi,
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",,A|D|S,September,Discuss Defence Issues,
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",,Ultra Electronics,September,Discuss Defence Issues,
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",,EADS,September,Discuss Defence Issues,
Dr Andrew Murrison MP – Minister for International Security Strategy,,Centenary News,July ,WWI commemorations,
Dr Andrew Murrison MP – Minister for International Security Strategy,,Western Front Association,July ,WWI commemorations,
Dr Andrew Murrison MP – Minister for International Security Strategy,,National Children’s Football Alliance,July ,WWI commemorations,
Dr Andrew Murrison MP – Minister for International Security Strategy,,First Magazine,July ,WWI commemorations,
Dr Andrew Murrison MP – Minister for International Security Strategy,,Trustee Fields of Battle 14-18,July ,WWI commemorations,
Dr Andrew Murrison MP – Minister for International Security Strategy,,Institute of Education,July ,WWI commemorations,
Dr Andrew Murrison MP – Minister for International Security Strategy,,The History Press,September ,WWI commemorations,
Dr Andrew Murrison MP – Minister for International Security Strategy,,British Future,September ,WWI commemorations,
Dr Andrew Murrison MP – Minister for International Security Strategy,,British Military Tournament,September ,WWI commemorations,
Dr Andrew Murrison MP – Minister for International Security Strategy,,National Children’s Football Alliance & The Royal British Legion,September ,WWI commemorations,
"Rt Hon Mark Francois MP - Minister for Defence Personnel, Welfare and Veterans",,Royal British Legion (RBL),August ,Visit to RBL Call Centre in Wales,
Lord Astor of Hever DL - Under-Secretary of State and the Lords spokesman on Defence,,Motorsport in Parliament ,July ,,
Lord Astor of Hever DL - Under-Secretary of State and the Lords spokesman on Defence,,Bruinvels,July ,,
,,,,,
"[1] Does not normally include meetings with Government bodies such as other Government Departments, NDPBs, Non-Ministerial Departments, Agencies, Government reviews and representatives of Parliament, devolved or foreign governments",,,,,
,,,,,
2 * indicates if accompanied by spouse/partner or other family member or friend.,,,,,
