Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to People,Adult Social Care,BAMEE EBENE 5 T2,Expenses and Allowances,Human Resources Travel & Subsistence ,17.11.2015,16.12.2015,GPC11150000001,30.32
Stockport MBC,Services to People,Adult Social Care,ARROW PRIVATE HIRE MAN,Travelling Expenses,Human Resources Travel & Subsistence Taxi Fares,20.11.2015,16.12.2015,GPC11150000002,42.33
Stockport MBC,Services to People,Adult Social Care,HOLD INVEST SRL,Expenses and Allowances,Human Resources Travel & Subsistence ,20.11.2015,16.12.2015,GPC11150000003,162.23
Stockport MBC,Services to People,Adult Social Care,HOLD INVEST SRL,Expenses and Allowances,Human Resources Travel & Subsistence ,20.11.2015,16.12.2015,GPC11150000004,209.36
Stockport MBC,Services to People,Adult Social Care,HOLD INVEST SRL,Expenses and Allowances,Human Resources Travel & Subsistence ,20.11.2015,16.12.2015,GPC11150000005,162.23
Stockport MBC,Services to People,Adult Social Care,MAN. AIRPORT CAR PARKS,Expenses and Allowances,Human Resources Travel & Subsistence ,21.11.2015,16.12.2015,GPC11150000006,40.79
Stockport MBC,Services to People,Adult Social Care,GLOP RAMBLAS,Expenses and Allowances,Human Resources Travel & Subsistence ,30.11.2015,16.12.2015,GPC11150000007,31.77
Stockport MBC,Services to People,Adult Social Care,RENFE,Travelling Expenses,Human Resources Travel & Subsistence ,30.11.2015,16.12.2015,GPC11150000008,2.98
Stockport MBC,Services to People,Adult Social Care,METRO BARCELONA,Travelling Expenses,Human Resources Travel & Subsistence ,01.12.2015,16.12.2015,GPC11150000009,3.12
Stockport MBC,Services to People,Adult Social Care,RENFE,Travelling Expenses,Human Resources Travel & Subsistence ,01.12.2015,16.12.2015,GPC11150000010,7.22
Stockport MBC,Services to People,Adult Social Care,RENFE,Travelling Expenses,Human Resources Travel & Subsistence ,01.12.2015,16.12.2015,GPC11150000011,3.12
Stockport MBC,Services to People,Childrens & Educational Services,HOLIDAY INNS,Care Payments,Social Community Care Supplies & Services  ,25.11.2015,16.12.2015,GPC11150000012,99.00
Stockport MBC,Services to People,Childrens & Educational Services,HOLIDAY INNS,Care Payments,Social Community Care Supplies & Services  ,26.11.2015,16.12.2015,GPC11150000013,99.00
Stockport MBC,Corporate and Support Services,Central Services to the public,RICHER SOUNDS PLC,Furniture and Equipment,Environmental Services Technical Equipment ,19.11.2015,16.12.2015,GPC11150000014,175.90
Stockport MBC,Corporate and Support Services,Planning Services,FASTHOSTS INTERNET,Publicity and Promotion,Facilities & Management Services  ,02.11.2015,16.12.2015,GPC11150000015,7.99
Stockport MBC,Corporate and Support Services,Planning Services,FASTHOSTS INTERNET,Publicity and Promotion,Facilities & Management Services  ,16.11.2015,16.12.2015,GPC11150000016,6.99
Stockport MBC,Corporate and Support Services,Planning Services,FACEBOOK 7H3VV8JNK2,Publicity and Promotion,Facilities & Management Services  ,20.11.2015,16.12.2015,GPC11150000017,396.26
Stockport MBC,Corporate and Support Services,Planning Services,FACEBOOK AH3VV8JNK2,Publicity and Promotion,Facilities & Management Services  ,20.11.2015,16.12.2015,GPC11150000018,3.79
Stockport MBC,Corporate and Support Services,Central Support Costs,Atlassian,Furniture and Equipment,Environmental Services Technical Equipment ,24.11.2015,16.12.2015,GPC11150000019,6.81
Stockport MBC,Corporate and Support Services,Planning Services,FACEBOOK C2E7P8SNK2,Publicity and Promotion,Facilities & Management Services  ,30.11.2015,16.12.2015,GPC11150000020,164.28
Stockport MBC,Corporate and Support Services,Planning Services,FACEBOOK D2E7P8SNK2,Publicity and Promotion,Facilities & Management Services  ,30.11.2015,16.12.2015,GPC11150000021,0.86
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,02.11.2015,16.12.2015,GPC11150000022,40.15
