"Reference Number","Decision","Decision Date","Officer Making Decision","Reason for Decision","Alternative Options Considered","Other Background Documents"
"FV/2014/0670/","APPCOND","01/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2014/0672/","ACCEPTED","01/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2014/0673/","ACCEPTED","02/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2014/0677/","ACCEPTED","02/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2014/0624/","APPROVED","03/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2014/0680/","ACCEPTED","06/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2014/0599/","APPCOND","07/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2014/0683/","ACCEPTED","07/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2014/0684/","ACCEPTED","07/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2014/0623/","APPCOND","08/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2014/0613/","APPCOND","09/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2014/0641/","APPROVED","09/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2014/0697/","ACCEPTED","09/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2014/0698/","ACCEPTED","09/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2014/0329/","ACCEPTED","09/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2014/0640/","APPROVED","10/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"RA/2014/0445/","REGULAR","13/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2014/0587/","APPROVED","13/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"RA/2014/0711/","REGULAR","13/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2014/0651/","APPCOND","14/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2014/0667/","APPROVED","14/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2014/0714/","ACCEPTED","14/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
