,,,,,,,,,,,,,,,,,,
Date Posted,Merchant, Amount ,Description,,,,,,,,,,,,,,,
20/05/2011,QANTAS      0812403926236," £6,706.63 ",Air Travel to Australia,,,,,,,,,,,,,,,
16/05/2011,QANTAS      0812403943234," £6,662.63 ",Air Travel to Australia,,,,,,,,,,,,,,,
21/04/2011,QANTAS      0812403330776," £6,102.23 ",Air Travel to Australia,,,,,,,,,,,,,,,
28/04/2011,AMERICAN AIRLINES  0012338121636," £5,356.73 ",Air travel non Europe,,,,,,,,,,,,,,,
21/04/2011,EMIRATES  AIR      1762140525684," £2,698.32 ",Air travel non Europe,,,,,,,,,,,,,,,
06/04/2011,LUFTHANSA   2202309920445," £2,150.66 ",Air travel non Europe,,,,,,,,,,,,,,,
04/05/2011,BRITISH AIRWAYS   1252478579163," £2,054.91 ",Air travel non Europe,,,,,,,,,,,,,,,
29/06/2011,EVENT PLANNERS AUSTRALIA," £1,018.68 ",Memberships,,,,,,,,,,,,,,,
18/04/2011,QANTAS      0812403229537, £940.70 ,Air travel non Europe,,,,,,,,,,,,,,,
10/06/2011,JARDINS DU ROY  2019426, £890.93 ,Accommodation,,,,,,,,,,,,,,,
03/06/2011,WOTIF.COM HOTELS, £799.03 ,Accommodation,,,,,,,,,,,,,,,
27/05/2011,FLYTHOMASCOOK.COM, £711.96 ,Air travel non Europe,,,,,,,,,,,,,,,
12/04/2011,PARKHURST SELF DRIVE L, £581.81 ,Travel,,,,,,,,,,,,,,,
15/04/2011,IAPT, £547.89 ,Conference,,,,,,,,,,,,,,,
05/04/2011,HOTEL INDIGO LONDON, £518.40 ,Accommodation  London,,,,,,,,,,,,,,,
13/06/2011,STAINES 2482 CCS, £629.00 ,Air Travel Europe,,,,,,,,,,,,,,,
24/06/2011,THE LOGICAL INTERFACE, £945.44 ,IT,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
