Department for Work and Pensions,,,,,,
"MEETINGS WITH EXTERNAL ORGANISATIONS (INCLUDING MEETINGS WITH NEWSPAPER AND OTHER MEDIA PROPRIETORS, EDITORS AND SENIOR MEDIA EXECUTIVES)",,,,,,
Period: 1 January 2013 to 31 March 2013,,,,,,
Name,Date of Meeting ,Name of External Organisation,Purpose of Meeting  ,,,
"Robert Devereux, Permanent Secretary",NIL return,,,,,
,,,,,,
,,,,,,
"1 Does not normally include meetings with Government bodies such as other Government Departments, NDPBs, Non-Ministerial Departments, Agencies, Government reviews and representatives of Parliament, devolved or foreign governments. ",,,,,,
,,,,,,
