Prompt Payment Report - 2013/14,,
,,
5 Day Prompt Payment Reporting,,
Name of organisation,UK Atomic Energy Authority (NDPB),
Reporting Month:,29 December - 25 January (P10),
,,
No. of invoices received,798,
No. of invoices paid within 5 working days or less,469,
No. of Invoices paid over 5 working days,296,
No. of disputed invoices*,33,
% of invoices paid within 5 days,61%,
,,
,,
Note:,,
,,
Disputed invoices are not included in statistics,,
The following payment types are excluded from the return:,,
Payments to Staff (e.g. salary or T&S costs),,
Foreign Currency Payments,,
Any Grant Payments,,
,,
,,
