Capital Write off Status,Reason for IRR Void,"Total 
Draw Down","Total
Payments","Total 
Write Off 
(Capital)","Total
Payments
(Capital)","Total
Payments
(Interest)","Total
Payments
(Fees)","Total Early
Payments
(Before 1st Draw Down)","IRR %
(excl early payments)","Annual-
ised 
Return %",ROI %,Write off %,"Period
in 
Mnths",Year of 1st Draw Down
..,..,"-£2,687,400.00","£3,152,064.51",£0.00,"£2,687,400.09","£464,664.42",£0.00,£0.00,6.20%,5.60%,17.30%,0.00%,37,2011
..,..,"-£1,928,000.00","£2,251,377.34",£0.00,"£1,928,000.06","£323,377.28",£0.00,£0.00,6.20%,5.90%,16.80%,0.00%,34,2010
..,..,"-£1,600,000.00","£1,914,941.50",£0.00,"£1,599,999.97","£314,941.53",£0.00,£0.00,6.00%,4.60%,19.70%,0.00%,51,2009
Partial,..,"-£1,366,000.00","£732,739.99","£841,979.27","£524,020.71","£208,719.28",£0.00,£0.00,0.00%,-15.90%,-46.40%,61.60%,35,2005
..,..,"-£1,050,000.00","£1,177,904.46",£0.00,"£1,050,000.00","£127,904.47",£0.00,£0.00,6.10%,4.90%,12.20%,0.00%,30,2011
..,..,"-£1,000,000.00","£1,093,858.35",£0.00,"£999,999.99","£93,858.36",£0.00,£0.00,6.10%,5.10%,9.40%,0.00%,22,2007
..,..,"-£700,000.00","£809,202.38",£0.00,"£700,000.00","£109,202.38",£0.00,£0.00,5.60%,5.30%,15.60%,0.00%,35,2008
Full,IRR out of range,"-£625,000.00","£28,681.53","£625,000.00",£0.00,"£28,681.53",£0.00,£0.00,Void,-17.90%,-95.40%,100.00%,64,2005
..,..,"-£577,554.00","£672,025.49",£0.00,"£577,554.00","£94,471.49",£0.00,£0.00,6.00%,5.60%,16.40%,0.00%,35,2009
..,..,"-£575,000.00","£580,671.24",£0.00,"£575,000.00","£5,671.24",£0.00,£0.00,0.40%,0.30%,1.00%,0.00%,40,2008
..,..,"-£500,000.00","£500,000.00",£0.00,"£500,000.00",£0.00,£0.00,£0.00,0.00%,0.00%,0.00%,0.00%,47,2010
..,..,"-£500,000.00","£499,999.99",£0.00,"£499,999.99",£0.00,£0.00,£0.00,0.00%,0.00%,0.00%,0.00%,37,2010
Full,IRR out of range,"-£483,210.00",£0.00,"£483,210.00",£0.00,£0.00,£0.00,£0.00,Void,-24.00%,-100.00%,100.00%,50,2005
..,..,"-£450,000.00","£519,224.84",£0.00,"£451,076.63","£68,148.22",£0.00,£0.00,3.10%,2.80%,15.40%,0.00%,65,2005
..,..,"-£407,100.00","£502,126.53",£0.00,"£407,100.00","£95,026.53",£0.00,£0.00,6.00%,4.20%,23.30%,0.00%,66,2005
..,..,"-£390,000.00","£448,990.32",£0.00,"£390,000.01","£58,990.31",£0.00,£0.00,5.00%,4.20%,15.10%,0.00%,43,2009
..,..,"-£350,000.00","£505,395.79",£0.00,"£350,000.00","£155,395.79",£0.00,£0.00,6.00%,5.70%,44.40%,0.00%,93,2006
Full,IRR out of range,"-£350,000.00","£79,216.43","£350,000.00",£0.00,"£75,466.43","£3,750.00","£3,500.00",Void,-21.10%,-77.40%,100.00%,44,2008
..,..,"-£350,000.00","£419,427.08",£0.00,"£350,000.00","£69,427.08",£0.00,£0.00,5.90%,3.70%,19.80%,0.00%,64,2008
..,..,"-£350,000.00","£382,679.45",£0.00,"£350,000.00","£32,679.45",£0.00,£0.00,4.70%,4.90%,9.30%,0.00%,23,2009
..,..,"-£300,000.00","£351,575.00",£0.00,"£273,960.03","£77,614.97",£0.00,£0.00,3.50%,2.50%,17.20%,0.00%,83,2007
