Department family,Entity,Date,Expense type,Expense area,Supplier,Amount,Transaction,,,,,,,,,,,,,,
HMRC,VOA,11/05/2017,Service Charge,Corporate,Alfresco Software Ltd,"-32,760.02",5100000658,,,,,,,,,,,,,,
HMRC,VOA,12/05/2017,Service Charge,Corporate,Alfresco Software Ltd,"-25,668.76",5100000682,,,,,,,,,,,,,,
HMRC,VOA,12/05/2017,Software Licenses,Corporate,APPNOVATION TECHNOLOGIES LTD.,"-42,914.30",5100000683,,,,,,,,,,,,,,
HMRC,VOA,09/05/2017,Business Rates,Corporate,BIRMINGHAM CITY C.  6004142345,"-28,967.81",5100000622,,,,,,,,,,,,,,
HMRC,VOA,24/05/2017,Salary Charges,Corporate,BROOK STREET (UK) LTD,"-28,914.90",1900003468,,,,,,,,,,,,,,
HMRC,VOA,25/05/2017,Salary Charges,Corporate,BROOK STREET (UK) LTD,"-31,262.16",1900003473,,,,,,,,,,,,,,
HMRC,VOA,25/05/2017,Salary Charges,Corporate,BROOK STREET (UK) LTD,"-26,048.63",1900003485,,,,,,,,,,,,,,
HMRC,VOA,24/05/2017,Service Charge,Corporate,CAPGEMINI UK PLC,"-99,806.20",5100000974,,,,,,,,,,,,,,
HMRC,VOA,05/05/2017,Training,Corporate,CAPITA BUSINESS SERVICES LTD,"-30,240.00",5100000567,,,,,,,,,,,,,,
HMRC,VOA,15/05/2017,Training,Corporate,CAPITA BUSINESS SERVICES LTD,"-38,371.19",1900003459,,,,,,,,,,,,,,
HMRC,VOA,31/05/2017,Training,Corporate,CAPITA BUSINESS SERVICES LTD,"-31,188.26",1900007221,,,,,,,,,,,,,,
HMRC,VOA,18/05/2017,Salary Charges,Corporate,Capita Resourcing Limited,"-37,504.80",5100000845,,,,,,,,,,,,,,
HMRC,VOA,09/05/2017,Business Rates,Corporate,City of London - Non-Domestic Rates,"-201,836.66",5100000634,,,,,,,,,,,,,,
HMRC,VOA,05/05/2017,Accommodation Charges,Corporate,Communities and Local Government,"42,974.00",1700000368,,,,,,,,,,,,,,
HMRC,VOA,17/05/2017,IT Services,Corporate,Deloitte Ltd Liability Partnership,"-88,855.19",5100000815,,,,,,,,,,,,,,
HMRC,VOA,17/05/2017,IT Services,Corporate,Deloitte Ltd Liability Partnership,"-73,878.06",5100000816,,,,,,,,,,,,,,
HMRC,VOA,24/05/2017,IT Services,Corporate,Deloitte Ltd Liability Partnership,"-275,314.76",5100000966,,,,,,,,,,,,,,
HMRC,VOA,24/05/2017,IT Services,Corporate,Deloitte Ltd Liability Partnership,"-260,855.50",5100000996,,,,,,,,,,,,,,
HMRC,VOA,25/05/2017,Accommodation Charges,Corporate,Department for Work and Pensions,"-74,128.67",5100001049,,,,,,,,,,,,,,
HMRC,VOA,11/05/2017,Accommodation Charges,Corporate,Department of Education,"-42,974.00",5100000681,,,,,,,,,,,,,,
HMRC,VOA,12/05/2017,Salary Charges,Corporate,FUEL RECRUITMENT LTD,"-25,334.86",5100000687,,,,,,,,,,,,,,
HMRC,VOA,24/05/2017,Service Charge,Corporate,Fujitsu Services Ltd,"-309,617.20",5100000975,,,,,,,,,,,,,,
HMRC,VOA,17/05/2017,Accommodation Charges,Corporate,HMRC,"-51,962.56",5100000790,,,,,,,,,,,,,,
HMRC,VOA,17/05/2017,Salary Charges,Corporate,HMRC,"-55,948.21",5100000806,,,,,,,,,,,,,,
HMRC,VOA,24/05/2017,Service Charge,Corporate,HMRC,"-709,481.67",5100000976,,,,,,,,,,,,,,
HMRC,VOA,31/05/2017,Salary Charges,Corporate,London Pension Fund Authority,"-42,842.43",1900007220,,,,,,,,,,,,,,
HMRC,VOA,15/05/2017,Car Parking,Corporate,NATIONAL CAR PARKS - MANC,"-35,000.00",5100000800,,,,,,,,,,,,,,
HMRC,VOA,18/05/2017,IT Maintenance,Corporate,Risual Limited,"-38,880.00",5100000838,,,,,,,,,,,,,,
HMRC,VOA,12/05/2017,Postage,Corporate,ROYAL MAIL,"-58,731.11",1900003457,,,,,,,,,,,,,,
HMRC,VOA,10/05/2017,Accommodation Supplies,Corporate,Senator International Ltd,"-39,261.35",5100000641,,,,,,,,,,,,,,
HMRC,VOA,25/05/2017,Aspire IT Contract,Corporate,Softcat PLC,"-49,860.72",5100001008,,,,,,,,,,,,,,
HMRC,VOA,31/05/2017,IT Maintenance,Corporate,Software Box limited,"-57,124.61",5100001138,,,,,,,,,,,,,,
HMRC,VOA,17/05/2017,Business Rates,Corporate,SOUTHAMPTON CC 52166140X,"-57,250.81",5100000814,,,,,,,,,,,,,,
HMRC,VOA,05/05/2017,Network charges,Corporate,TNT UK LTD,"-44,395.03",5100000566,,,,,,,,,,,,,,
HMRC,VOA,04/05/2017,Aspire IT Contract,Corporate,UNIFY ENTERPRISE,"-32,054.70",5100000521,,,,,,,,,,,,,,
HMRC,VOA,18/05/2017,Aspire IT Contract,Corporate,UNIFY ENTERPRISE,"-26,662.44",5100000841,,,,,,,,,,,,,,
HMRC,VOA,19/05/2017,Telephony,Corporate,VODAFONE LTD,"-33,600.00",5100000898,,,,,,,,,,,,,,
