Supplier,Amount,Payment Date
24 HR CENTRAL CAR HIRE LTD,608.58,12/04/2013
24 HR CENTRAL CAR HIRE LTD,555,12/04/2013
24 HR CENTRAL CAR HIRE LTD,1402.36,18/04/2013
4CHILDREN (DIRECT) LIMITED,1357.15,16/04/2013
4CHILDREN (DIRECT) LIMITED,1444,18/04/2013
A & B GLASS,103531.34,11/04/2013
ABBEY HEALTHCARE T/A ELMCROFT CARE HOME LTD,1285.71,04/04/2013
ABBEY HEALTHCARE T/A ELMCROFT CARE HOME LTD,2400,04/04/2013
ABBEY HEALTHCARE T/A ELMCROFT CARE HOME LTD,2657.14,04/04/2013
ABBEY HEALTHCARE T/A ELMCROFT CARE HOME LTD,2571.43,25/04/2013
ABN AMRO COMMERCIAL FINANCE PLC,3347,15/04/2013
ACCESS MANAGEMENT SOLUTIONS LTD,1378.94,15/04/2013
ACCESS SOLUTIONS SCAFFOLDING,7162.8,11/04/2013
ACCOUNTANT GENERAL OF THE SENIOR COURTS,10000,17/04/2013
ACE FILTERATION LIMITED,714.17,17/04/2013
ACE FILTERATION LIMITED,4787.89,18/04/2013
ACHILLEUS LIMITED,11326.32,18/04/2013
ACTION ON ADDICTION,2965.76,04/04/2013
ACTION ON ADDICTION,3283.52,18/04/2013
ACTION ON ADDICTION,6357,18/04/2013
ACUMENSION,1280.64,17/04/2013
ADDACTION (MAYA PROJECT),9999,29/04/2013
ADECCO UK LTD,981.79,18/04/2013
ADECCO UK LTD,981.79,18/04/2013
ADECCO UK LTD,1005.17,18/04/2013
ADECCO UK LTD,981.79,18/04/2013
ADECCO UK LTD,981.79,18/04/2013
ADECCO UK LTD,981.79,18/04/2013
ADECCO UK LTD,1309.06,18/04/2013
ADECCO UK LTD,981.79,18/04/2013
ADIEMUS CARE GROUP (FAIRFIELD MANOR),1218.9,11/04/2013
ADIEMUS CARE LIMITED (LAURISTON HOUSE),3500.7,04/04/2013
ADIEMUS CARE LIMITED (LAURISTON HOUSE),3500.7,25/04/2013
ADONIS DESIGN LTD,543.75,10/04/2013
ADONIS DESIGN LTD,556.25,18/04/2013
ADONIS DESIGN LTD,587.5,23/04/2013
ADT FIRE AND SECURITY PLC,12320.33,17/04/2013
ADVOCACY FOR OLDER PEOPLE,5000,10/04/2013
ADVOCACY FOR OLDER PEOPLE,664.87,11/04/2013
ADVOCACY FOR OLDER PEOPLE,1127.92,11/04/2013
ADVOCACY FOR OLDER PEOPLE,1264.52,18/04/2013
ADVOCACY FOR OLDER PEOPLE,853.92,22/04/2013
ADVOCACY FOR OLDER PEOPLE,6168.75,26/04/2013
AF STARR BUILDING CONTRACTORS,1173.6,10/04/2013
AF STARR BUILDING CONTRACTORS,2054.4,10/04/2013
AF STARR BUILDING CONTRACTORS,1714.8,11/04/2013
AGE UK BROMLEY & GREENWICH,8750,10/04/2013
AGLASK LIMITED,2160,15/04/2013
AGLASK LIMITED,512.64,15/04/2013
AGLASK LIMITED,2160,15/04/2013
AIR SURVEYS LIMITED,1276.5,24/04/2013
ALLIED CARE LTD T/A WHYTEACRES,1405.35,26/04/2013
ALLIED CARE LTD T/A WHYTEACRES,1405.35,26/04/2013
ALLPAY NET LIMITED,10239.89,16/04/2013
ALLPAY NET LIMITED,10415.83,17/04/2013
ALLPAY NET LIMITED,7127.51,18/04/2013
ALLPAY NET LIMITED,1091.48,26/04/2013
ALLPAY NET LIMITED,1091.47,26/04/2013
ALPHA CARE CASTLEMAINE LTD,6519,11/04/2013
ALPHA CARE CASTLEMAINE LTD,1955.7,26/04/2013
ALTERS RECRUITMENT,1262.87,04/04/2013
ALTERS RECRUITMENT,939.5,04/04/2013
ALTERS RECRUITMENT,660.7,04/04/2013
ALTERS RECRUITMENT,1560.72,04/04/2013
ALTERS RECRUITMENT,703.36,04/04/2013
ALTERS RECRUITMENT,814,04/04/2013
ALTERS RECRUITMENT,929,04/04/2013
ALTERS RECRUITMENT,730.75,04/04/2013
AMAZING PROMOTIONAL MERCHANDISE LTD,515.42,05/04/2013
AMBER & GREENE LTD,3499,11/04/2013
AMBER CAR SERVICES LTD,704.04,22/04/2013
AMBER CAR SERVICES LTD,865.26,22/04/2013
AMBER CAR SERVICES LTD,2303.52,30/04/2013
AMBER CAR SERVICES LTD,876,30/04/2013
ANAHITA REHABILITATION CENTRE LLP,4478.57,29/04/2013
ANAHITA REHABILITATION CENTRE LLP,5500,29/04/2013
ANAHITA REHABILITATION CENTRE LLP,950,29/04/2013
ANCO UK SECURITY LTD,2635.3,11/04/2013
