Department Family,Entity,Transaction Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/10/2010,MEETINGS,CHIEF EXECUTIVE,AWAY DAY REIMBURSEMENT,31001377,-37.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,MEMBERSHIP SUBSCRIPTIONS,CHIEF EXECUTIVE,RENEW CA MEMBERSHIP,0000175551,100.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/09/2010,PUBLIC RELATIONS,CORPORATE AFFAIRS,WATERLOW LEGAL & REGULATO,0000175571,149.50,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,PUBLIC RELATIONS,CORPORATE AFFAIRS,IHS GLOBAL LIMITED,0000175576,745.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,PUBLIC RELATIONS,CORPORATE AFFAIRS,DOD'S PARLIAMENTARY COMMU,0000175609,100.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,PUBLIC RELATIONS,CORPORATE AFFAIRS,DURRANTS LIMITED,0000175706,168.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,PUBLIC RELATIONS,CORPORATE AFFAIRS,DURRANTS LIMITED,0000175707,430.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/10/2010,PUBLIC RELATIONS,CORPORATE AFFAIRS,SHARPE PRITCHARD,0000175877,425.55,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/07/2010,PUBLIC RELATIONS,CORPORATE AFFAIRS,SHARPE PRITCHARD,0000175887,429.05,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2010,PUBLIC RELATIONS,CORPORATE AFFAIRS,COMPANY BARCLAYCARD,0000176232,200.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,CALL CHARGES,DATA MANAGEMENT,BRITISH TELECOMMUNICATION,0000175895,188.50,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/09/2010,CURR YR ADD-BROUGHT PLNT/MCHNY,DATA MANAGEMENT,VAULT CONTRACTS LTD,0000175626,9960.54,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,CURR YR ADD-BROUGHT PLNT/MCHNY,DATA MANAGEMENT,CAPGEMINI UK PLC,0000175870,26619.80,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/10/2010,E-COMMERCE DEVELOPMENTS,DATA MANAGEMENT,SYSTEM ASSOCIATES,0000176099,3100.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/09/2010,IT SERVICES - OPERATIONS,DATA MANAGEMENT,STAR-APIC UK,0000175399,22800.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,IT SERVICES - OPERATIONS,DATA MANAGEMENT,CAPGEMINI UK PLC,0000175868,32200.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,IT SERVICES - OPERATIONS,DATA MANAGEMENT,CAPGEMINI UK PLC,0000175870,7497.09,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2010,IT SERVICES - OPERATIONS,DATA MANAGEMENT,COMPANY BARCLAYCARD,0000176237,1078.25,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2010,LINE RENTAL,DATA MANAGEMENT,COMPANY BARCLAYCARD,0000176223,138.11,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2010,LINE RENTAL,DATA MANAGEMENT,COMPANY BARCLAYCARD,0000176227,44.03,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2010,MEMBERSHIP SUBSCRIPTIONS,DATA MANAGEMENT,COMPANY BARCLAYCARD,0000176211,62.20,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/10/2010,RECEIPTED MEALS,DATA MANAGEMENT,172107-TRF'D 20115,31001357,-158.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/09/2010,CAR HIRE,ENVIRONMENT,ENTERPRISE RENT A CAR,0000175708,50.03,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/09/2010,CAR HIRE,ENVIRONMENT,ENTERPRISE RENT A CAR,0000175709,25.01,,
