Pakistan floods response: UKaid by allocation to partners (UN breakdown) - 15 Oct 2010 (source: DFID),
Partner,Amount in millions £GBP
International Organisation for Migration,6.25
UNICEF,9
World Health Organisation,1
Office for Coordination of Humanitarian Affairs (OCHA),0.75
World Food Programme,7.75
UNHCR,0.5
Food and agricultural organization,7
UN Emergency Response Fund,5
TOTAL,37.25
