objectid,ccg17cd,ccg17nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,E38000001,"NHS Airedale, Wharfedale and Craven CCG",393990,462191,-2.0933001,54.0556488,1220633023.20435,221998.416776302
2,E38000002,NHS Ashford CCG,597640,140644,0.82337397,51.13095856,580617231.590147,149424.21741167
3,E38000003,NHS Aylesbury Vale CCG,481343,219317,-0.82002002,51.86650848,979028119.477609,278005.512617459
4,E38000004,NHS Barking and Dagenham CCG,547758,185109,0.129493,51.54552841,37780657.618766,36945.2828339929
5,E38000005,NHS Barnet CCG,523471,191753,-0.21822,51.61108017,86736437.6259683,50837.7965198856
6,E38000006,NHS Barnsley CCG,429979,403330,-1.54925001,53.5257988,329052050.129674,125517.634773729
7,E38000007,NHS Basildon and Brentwood CCG,564014,194421,0.36806801,51.62469864,263563146.809154,107812.30318608
8,E38000008,NHS Bassetlaw CCG,468073,384833,-0.97869998,53.35602188,639556392.963122,154945.312514186
9,E38000009,NHS Bath and North East Somerset CCG,366218,161999,-2.48653007,51.35604095,351122890.760146,141617.601781194
10,E38000010,NHS Bedfordshire CCG,508276,246439,-0.42045,52.10570145,1192076342.86042,268847.491233364
11,E38000011,NHS Bexley CCG,549201,175434,0.146198,51.45822144,64265984.6707736,43329.0084000473
12,E38000012,NHS Birmingham CrossCity CCG,412202,288559,-1.82168996,52.49481964,196651413.192641,162857.64089371
13,E38000013,NHS Birmingham South and Central CCG,405013,281272,-1.92769003,52.42942047,38198768.8682921,66677.4303035425
14,E38000014,NHS Blackburn with Darwen CCG,369490,422806,-2.46359992,53.70080185,137012583.839373,65248.8104258631
15,E38000015,NHS Blackpool CCG,332763,436633,-3.02284002,53.8216095,43184739.6451973,36220.6743728568
16,E38000016,NHS Bolton CCG,368353,409877,-2.47950006,53.58452988,139802478.05285,81547.8837743314
17,E38000017,NHS Bracknell and Ascot CCG,489971,167522,-0.70805001,51.39960098,128693350.15254,62947.4376165203
18,E38000018,NHS Bradford City CCG,416365,433817,-1.75302005,53.80041122,16485822.9687971,34921.6689385798
19,E38000019,NHS Bradford Districts CCG,409837,435093,-1.85209,53.81203842,169574863.527498,119867.649395804
20,E38000020,NHS Brent CCG,519615,186468,-0.27568001,51.56441116,43235285.2343634,38342.3619394465
21,E38000021,NHS Brighton and Hove CCG,530280,106856,-0.15078001,50.84656143,85376644.6810778,58322.546680985
22,E38000022,NHS Bristol CCG,359990,174846,-2.57742,51.47114944,235339420.224912,145128.083206727
23,E38000023,NHS Bromley CCG,542035,165713,0.039234,51.37271118,150153776.696884,75926.9822752603
