ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,LocationText,CoordinateReferenceSystem,GeoX,GeoY,GeoPointLicensingURL,Category,AccessibleCategory,RADARKeyNeeded,BabyChange,FamilyToilet,ChangingPlace,AutomaticPublicConvenience,FullTimeStaffing,PartOfCommunityScheme,CommunitySchemeName,ChargeAmount,InfoURL,OpeningHours,ManagedBy,ReportEmail,ReportTel,Notes,UPRN,Postcode,StreetAddress,GeoAreaURI,GeoAreaLabel
12/01/2015,http://opendatacommunities.org/id/metropolitan-district-council/wakefield,Wakefield,http://id.esd.org.uk/service/579,Public toilets,Newmillardam,OSGB36,433290,415850,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,,,,,,,,,,0.2,,,,,,,,WF2 7QD,"Hill Road, Newmillardam, Wakefield",,
12/01/2015,http://opendatacommunities.org/id/metropolitan-district-council/wakefield,Wakefield,http://id.esd.org.uk/service/579,Public toilets,Cornmarket,OSGB36,445481,421940,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,,,,,,,,,,0.2,,,,,,,,WF8 1BJ,"Adjacent to, Blackmoor Hwad, Cornmarket, Pontefract",,
12/01/2015,http://opendatacommunities.org/id/metropolitan-district-council/wakefield,Wakefield,http://id.esd.org.uk/service/579,Public toilets,Market Street,OSGB36,443027,412791,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,,,,,,,,,,,,,,,,,,WF9 4DE,"Market Street, Hemsworth, Pontefract",,
12/01/2015,http://opendatacommunities.org/id/metropolitan-district-council/wakefield,Wakefield,http://id.esd.org.uk/service/579,Public toilets,Pontefract Park,OSGB36,444454,422490,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,,,,,,,,,,,,,,,,,,WF8 4RD,"Parkside, Pontefract",,
12/01/2015,http://opendatacommunities.org/id/metropolitan-district-council/wakefield,Wakefield,http://id.esd.org.uk/service/579,Public toilets,Pugneys Country Park,OSGB36,432425,417988,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,Unisex,,,,,,,,,,,Mo-Su 09:00-18:30,,,,Opening hours are seasonal.  Winter: Mo-Su 09:00-18:30; Spring: Mo-Su 09:00-20:00; High Summer: Mo-Su 09:00-21:00,,WF2 7EQ,"Asdale Road, off Denby Dale Road, Wakefield",,
12/01/2015,http://opendatacommunities.org/id/metropolitan-district-council/wakefield,Wakefield,http://id.esd.org.uk/service/579,Public toilets,Anglers County Park,OSGB36,437564,415400,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,,,,,TRUE,,,,,,,Mo-Su 09:00-16:30,,,,,,WF4 2EB,"Haw Park Lane, Wintersett, Wakefield",,
12/01/2015,http://opendatacommunities.org/id/metropolitan-district-council/wakefield,Wakefield,http://id.esd.org.uk/service/579,Public toilets,Wakefield One,OSGB36,432893,420988,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,,,,,,,,,,,,Mo-Tu 09:00-18:00; We 09:00-20:00; Th-Fr 09:00-19:00; Sa 09:00-17:00,,,,,,WF1 2DD,"Burton Street, Wakefield",,
12/01/2015,http://opendatacommunities.org/id/metropolitan-district-council/wakefield,Wakefield,http://id.esd.org.uk/service/579,Public toilets,Pontefract Castle,OSGB36,446071,422282,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,,,,,,,,,,,,We-Su 11:00-15:00,,,,,,WF8 1QH,"Castle Chain, Pontefract",,
12/01/2015,http://opendatacommunities.org/id/metropolitan-district-council/wakefield,Wakefield,http://id.esd.org.uk/service/579,Public toilets,Sandal Castle,OSGB36,433863,418073,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,,,,,,,,,,,,We-Su 11:00-15:00,,,,Opening hours are seasonal.  Summer: We-Su 11:00-16:30; Rest of Year: We-Su 11:00-15:00,,WF2 7DS,"Manygates Lane, Sandal, Wakefield",,
12/01/2015,http://opendatacommunities.org/id/metropolitan-district-council/wakefield,Wakefield,http://id.esd.org.uk/service/579,Public toilets,Trinity Walk Shopping Centre,OSGB36,433528,420975,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,,,TRUE,,,,,,,,,Mo-We 09:30-17:30; Th 09:30-08:00; Fr-Sa 09:30-17:30; Su 10:30-16:30,,,,,,WF1 1QS,"Vicarage Square, Trinity Walk, Wakefield ",,
12/01/2015,http://opendatacommunities.org/id/metropolitan-district-council/wakefield,Wakefield,http://id.esd.org.uk/service/579,Public toilets,Ridings Shopping Centre,OSGB36,433373,420713,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,Unisex,,TRUE,,,,,,,,,Mo-Sa 09:00-17:30; Su 10:30-16:30; PH 10:00-17:00,,,,,,WF1 1DS ,Wakefield,,
