ID,LSOA11CD,FTL_ADULT|2010,FTL_ADULT|2011,FTL_ADULT|2012,FTL_ADULT|2013,FTL_ADULT|2014,FTL_CHILD|2010,FTL_CHILD|2011,FTL_CHILD|2012,FTL_CHILD|2013,FTL_CHILD|2014,SER_ADULT|2010,SER_ADULT|2011,SER_ADULT|2012,SER_ADULT|2013,SER_ADULT|2014,SER_CHILD|2010,SER_CHILD|2011,SER_CHILD|2012,SER_CHILD|2013,SER_CHILD|2014,SLT_ADULT|2010,SLT_ADULT|2011,SLT_ADULT|2012,SLT_ADULT|2013,SLT_ADULT|2014,SLT_CHILD|2010,SLT_CHILD|2011,SLT_CHILD|2012,SLT_CHILD|2013,SLT_CHILD|2014,CAS_TOTAL|2010,CAS_TOTAL|2011,CAS_TOTAL|2012,CAS_TOTAL|2013,CAS_TOTAL|2014,PED_ADULT|2010,PED_ADULT|2011,PED_ADULT|2012,PED_ADULT|2013,PED_ADULT|2014,PED_CHILD|2010,PED_CHILD|2011,PED_CHILD|2012,PED_CHILD|2013,PED_CHILD|2014,CYC_ADULT|2010,CYC_ADULT|2011,CYC_ADULT|2012,CYC_ADULT|2013,CYC_ADULT|2014,CYC_CHILD|2010,CYC_CHILD|2011,CYC_CHILD|2012,CYC_CHILD|2013,CYC_CHILD|2014,NO_INCID|2010,NO_INCID|2011,NO_INCID|2012,NO_INCID|2013,NO_INCID|2014
476,E01025332,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,5,2,0,2,0,0,0,1,0,3,6,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,2,1,2
782,E01025394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,8,0,0,0,1,1,3,2,1,2,9,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,2,5
786,E01025395,0,0,0,0,0,0,0,0,0,0,1,1,4,4,2,0,0,0,0,2,30,20,26,20,17,0,1,1,0,1,31,22,31,24,22,1,0,1,2,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,20,15,20,18,14
791,E01025396,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,4,4,1,1,3,0,1,0,0,0,5,6,1,2,5,0,1,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,4,5,1,2,5
812,E01025397,0,1,0,0,0,0,0,0,0,0,2,1,1,0,3,0,0,1,0,0,25,18,7,4,7,3,1,2,4,0,30,21,11,8,10,0,1,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,8,11,8,4,8
824,E01025398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,2,0,2,0,0,1,0,5,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,1,1,0
828,E01025399,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,3,1,1,1,0,2,0,0,3,3,5,1,1,0,1,0,1,0,1,0,2,0,0,0,0,2,0,1,0,0,0,0,0,3,2,5,1,1
833,E01025400,0,1,0,0,0,0,0,0,0,0,3,2,1,2,1,1,0,0,1,0,17,15,19,12,11,2,0,2,0,1,23,18,22,15,13,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,2,0,0,15,12,14,13,11
837,E01025401,1,0,1,0,0,0,0,0,0,0,1,2,2,2,6,0,0,0,0,0,13,14,17,11,10,1,1,1,0,0,16,17,21,13,16,2,0,1,0,1,0,0,0,0,0,1,1,4,3,4,0,1,1,0,0,14,13,15,13,14
868,E01025408,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,0,0,0,0,15,14,5,8,6,2,2,0,0,0,19,18,6,8,7,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,8,12,5,5,6
878,E01025409,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,6,1,2,0,0,1,0,1,2,1,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,3,2,2
883,E01025411,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,1,0,4,3,2,4,3,0,0,0,0,0,5,4,2,8,3,0,0,0,1,0,0,0,0,1,0,0,1,0,4,1,0,0,0,0,0,4,3,2,7,2
887,E01025412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0
890,E01025413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,1,0,0,0,0,1,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,1,2
894,E01025414,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,4,1,1,2,0,0,0,0,0,2,4,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2
359,E01025415,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,1,7,7,3,1,1,0,0,0,6,3,7,7,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3,6,4,2
368,E01025416,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,6,5,6,3,0,2,1,0,0,2,8,6,7,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,4,2,4,2
238,E01025160,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,4,2,2,1,1,0,0,0,0,4,5,3,2,2,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,3,2,2
252,E01025162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,1,2,1,3,3,1,0,0,0,10,2,2,1,5,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,9,2,2,1,5
376,E01025190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
389,E01025193,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,0,0,1,0,1,0,0,0,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,1
427,E01025197,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,3,2,1,0,0,0,0,0,0,3,5,2,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,1,1,0
442,E01025199,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,0,0,0,0,0,5,4,6,4,4,2,0,0,0,0,8,6,7,6,6,0,1,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,6,6,5,6
657,E01025260,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,2,2,2,0,0,0,0,1,1,1,3,3,3,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,3,3,3
