Full Property Address,Current Rateable Value,Primary Liable party name,Account Mailing Address,Current Prop Exemption Start Date,Current Property Exemption Code,Property Reference Number
"Bala Technology Ltd, College House, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",2400,Porchwood Properties Limited In Liquidation,"Begbies Traynor, 340 Deansgate, Manchester,  M3 4LY",02/04/2015,IN,104232209036N
"Brantano (Uk) Ltd, Hindpool Road, Barrow In Furness, Cumbria, LA14 2PD",83000,Buk (Realisations) Limited (In Administration),"C/O Pricewaterhouse Coopers, Benson House, 33 Wellington Street, Leeds,  LS1 4JP",17/03/2016,IN,104131209119N
"Brown & Murray Pt 2nd Flr, 127-131, Duke Street, Barrow In Furness, Cumbria, LA14 1XA",3850,"Brown & Murray Solicitors,","Brown & Murray, Solicitors, 127 Ramsden Square, Barrow-In-Furness, Cumbria,  LA14 1XA",21/10/2011,LB,105119501283N
"College House, Pt Rm 42, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",2550,Porchwood Properties Limited In Liquidation,"Begbies Traynor, 340 Deansgate, Manchester,  M3 4LY",20/06/2015,IN,104232209090N
"College House, Room 108 , Howard Street, Barrow In Furness, Cumbria, LA14 1NB",2300,Porchwood Properties Limited In Liquidation,"Begbies Traynor, 340 Deansgate, Manchester,  M3 4LY",01/01/2016,IN,104232209083N
"College House, Room 109, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",2225,Porchwood Properties Limited In Liquidation,"Begbies Traynor, 340 Deansgate, Manchester,  M3 4LY",02/04/2015,IN,104232209064N
"College House, Room 36, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",166,Porchwood Properties Limited In Liquidation,"Begbies Traynor, 340 Deansgate, Manchester,  M3 4LY",20/06/2015,IN,104232209087N
"College House, Room 37, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",205,Porchwood Properties Limited In Liquidation,"Begbies Traynor, 340 Deansgate, Manchester,  M3 4LY",20/06/2015,IN,104232209088N
"College House, Room 38, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",1700,Porchwood Properties Limited In Liquidation,"Begbies Traynor, 340 Deansgate, Manchester,  M3 4LY",20/06/2015,IN,104232209089N
"College House, Room 43, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",740,Porchwood Properties Limited In Liquidation,"Begbies Traynor, 340 Deansgate, Manchester,  M3 4LY",20/06/2015,IN,104232209091N
"College House, Room 44, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",1525,Porchwood Properties Limited In Liquidation,"Begbies Traynor, 340 Deansgate, Manchester,  M3 4LY",20/06/2015,IN,104232209092N
