Pakistan floods response: UKaid by allocation to partners (overview) - 20 Sept 2010 (source: DFID),
Partner,Amount in millions £GBP
NGOs,18.3
UN agencies and Emergency Response Fund,30.3
Red Cross (IFRC and ICRC combined),8
Goods and services in kind,6.5
Running costs,1
Unallocated (additional funding as of 19 Sept),70
TOTAL,134.1
