Name of Official,Mode of travel,Total transport costs,Date of Departure,Duration of stay,Destination,City of accommodation (if different to destination),Class of travel,Accommodation costs,Notes
Ian Boyd,Air,"4,618.95 ",06/04/2013,7,Australia and New Zealand (outbound journey),,Business ,n/a,
Ian Boyd,Air,"2,992.00 ",14/04/2013,3,London (travelling from New Zealand via Beijing),,Business ,n/a,
Ian Boyd,Air, 652.67 ,27/04/2013,n/a,Madras,,Economy, n/a ,
Ian Boyd,Air, 226.91 ,25/05/2013,n/a,Dublin,,Economy, n/a ,
Ian Boyd,Air, 69.63 ,26/05/2013,n/a,Edinburgh (from Dublin),,Economy, n/a ,
Jeremy Marlow,Air, 354.30 ,10/04/2013,n/a,Canberra,,Economy, n/a ,
Jeremy Marlow,Air, 377.30 ,15/04/2013,n/a,London Heathrow (from Auckland),,Economy, n/a ,
Jeremy Marlow,Air, 548.60 ,24/05/2013,n/a,Dublin,,Economy, n/a ,
John Robbs,Air, 182.50 ,22/04/2013,n/a,Luxembourg,,Economy, n/a ,
John Robbs,Rail, 279.00 ,24/04/2013,1,Brussels Midi,,Premium Economy, 362.28 ,
John Robbs,Rail, 362.00 ,13/05/2013,2,Brussels Midi,,Other, 440.70 ,
John Robbs,Air, 179.00 ,05/06/2013,1,Copenhagen,,Economy, 153.59 ,
Nigel Gibbens,n/a, n/a ,15/04/2013,3,n/a,Dublin,n/a, 254.39 ,
Nigel Gibbens,n/a, n/a ,21/04/2013,3,n/a,Rome,n/a, 410.89 ,
Nigel Gibbens,Rail, 50.00 ,14/05/2013,3,Brussels Midi,,Economy, 103.13 ,
Nigel Gibbens,Rail, 39.00 ,14/05/2013,n/a,Brussels Midi,,Economy, n/a ,
Nigel Gibbens,Air, 87.30 ,17/05/2013,n/a,London Heathrow (from Brussels),,Economy, n/a ,
Nigel Gibbens,Air, 335.34 ,26/05/2013,n/a,Paris Charles de Gaulle,,Economy, n/a ,
Nigel Gibbens,Air, 164.34 ,02/06/2013,2,Paris Charles de Gaulle,,Economy, 318.90 ,
Nigel Gibbens,Air, 190.00 ,03/06/2013,n/a,Paris Charles de Gaulle,,Economy, n/a ,
Nigel Gibbens,Air, 184.33 ,10/06/2013,n/a,Dublin,,Economy, n/a ,
Nigel Gibbens,Rail, 109.00 ,18/06/2013,n/a,Brussels Midi,,Economy, n/a ,
Nigel Gibbens,Air, 205.14 ,26/06/2013,1,Dublin,,Economy, 121.68 ,
Nigel Gibbens,Air,116.98 ,10/07/2013,1,Dublin,,Economy,124.08 ,
Sarah Hendry,Air, 166.64 ,01/05/2013,n/a,Geneva,,Economy, n/a ,
Sonia Phippard,Rail, 89.00 ,21/05/2013,1,Paris Gare Du Nord,,Economy, 147.34 ,
Sonia Phippard,n/a, n/a ,22/05/2013,1,n/a,Brussels Midi,n/a, 147.38 ,
Sonia Phippard,Air, 184.91 ,30/05/2013,n/a,Dublin,,Economy, n/a ,
Sonia Phippard,Air, 45.53 ,31/05/2013,n/a,Birmingham (from Dublin),,Economy, n/a ,
