Senior official or Non-Executive Director,Job title,Dates,Destination,Purpose,Air travel,Rail/Tube travel,Taxi/Car travel,Accommodation/Meals travel,Other (including hospitality given),Total cost £
Alan Cook,Non-Executive Board Member,26/01/2011,London,Board Sub-Committee Meeting,,£38.60,,,£5.50 car park,£44.10
Alan Cook,Non-Executive Board Member,31/01/2011,London,Board Meeting,,£38.60,,,£5.50 car park,£44.10
Alan Cook,Non-Executive Board Member,07/02/2011,London,Board Sub-Committee Meeting,,£29.60,,,£5.50 car park,£35.10
Lin Homer,Permanent Secretary,13/01/2011,Sunningdale,Speaking Engagement,,£19.80,,,,£19.80
Lin Homer,Permanent Secretary,28/01/2011,Hastings,Staff Briefing,,£16.10,£11.20,,,£27.30
Lin Homer,Permanent Secretary,07/02/2011,London,Official Dinner,,,£20.00,,,£20.00
Lin Homer,Permanent Secretary,07/02/2011,London,Official Meeting,,,£13.58,,,£13.58
Lin Homer,Permanent Secretary,07/02/2011,London,Official Dinner,,,£36.82,,,£36.82
Lin Homer,Permanent Secretary,17/02/2011,Bristol,Official Visit,,£118.00,,,,£118.00
Lin Homer,Permanent Secretary,18/02/2011,Sussex,Official Meeting,,£23.20,,,,£23.20
Lin Homer,Permanent Secretary,01/03/2011,London,Official Dinner,,,£20.00,,,£20.00
Lin Homer,Permanent Secretary,11/03/2011,Birmingham,Official Visit,,£53.15,,,,£53.15
Lin Homer,Permanent Secretary,18/03/2011,Manchester,Official Visit,,£132.00,,,,£132.00
Lin Homer,Permanent Secretary,21/03/2011,Hastings,Staff Briefing,,£16.10,,,,£16.10
Lin Homer,Permanent Secretary,24/03/2011,London,Official Meeting,,,£11.32,,,£11.32
Lin Homer,Permanent Secretary,24/03/2011,Swansea,Official Visit,,£83.00,,£58.65,,£141.60
Steve Gooding,Director General - Domestic,11/01/2011,London,Speaking Engagement,,£3.80,,,,£3.80
Steve Gooding,Director General - Domestic,17/01/2011,London,Official Visit,,£2.70,,,,£2.70
Steve Gooding,Director General - Domestic,04/02/2011,London,Official Meeting,,,,,£2.60 public transport ,£2.60
Steve Gooding,Director General - Domestic,11/02/2011,London,Official Meeting,,,,,£1.30 public transport ,£1.30
Steve Gooding,Director General - Domestic,18/02/2011,Sussex,Official Meeting,,,,,£18.24 motorcycle travel,£18.24
Steve Gooding,Director General - Domestic,22/02/2011,London,Official Meeting,,£1.90,,,,£1.90
Steve Gooding,Director General - Domestic,23/02/2011,London,Official Meeting,,£1.90,,,,£1.90
Steve Gooding,Director General - Domestic,25/02/2011,London,Official Meeting,,£1.90,,,,£1.90
Steve Gooding,Director General - Domestic,28/02/2011,Birmingham and Manchester,Official Visit,,£344.40,,,£1.30 public transport ,£345.70
Steve Gooding,Director General - Domestic,02/03/2011,London,Official Meeting,,,,,£2.60 public transport ,£2.60
Steve Gooding,Director General - Domestic,07/03/2011,London,Official Meeting,,£3.20,,,,£3.20
Steve Gooding,Director General - Domestic,09/03/2011,London,Official Meeting,,,,,£3.90 public transport,£3.90
Steve Gooding,Director General - Domestic,11/03/2011,London,Official Meeting,,,,,£2.60 public transport,£2.60
Steve Gooding,Director General - Domestic,18/03/2011,Sussex,Official Meeting,,,,,£18.24 motorcycle travel,£18.24
Steve Gooding,Director General - Domestic,25/03/2011,London,Official Meeting,,,,,Public transport £1.30,£1.30
Richard Hatfield,"Director General - International, Strategy & Environment",01/03/2011,London,Official Dinner,,£1.90,£9.00,,,£10.90
Richard Hatfield,"Director General - International, Strategy & Environment",02/03/2011,London,Speaking Engagement,,£4.40,,,,£4.40
Richard Hatfield,"Director General - International, Strategy & Environment",31/03/2011,Sunningdale,Speaking Engagement,,,,,£14.40 motorcycle travel,£14.40
Bronwyn Hill,Director General - Major Projects & London,18/02/2011,Sussex,Official Meeting,,£25.00,,,,£25.00
Bronwyn Hill,Director General - Major Projects & London,09/03/2011,Sunningdale,Official Meeting,,£12.40,,,,£12.40
Bronwyn Hill,Director General - Major Projects & London,18/03/2011,Petersfield,Official Meeting,,£25.00,,,,£25.00
Clare Moriarty,Director General - Corporate,28/01/2011,Hastings ,Staff Briefing,,£25.70,,,,£25.70
Clare Moriarty,Director General - Corporate,15/03/2011,Bristol,Official Visit,,£28.00,£23.00,,,£51.00
Clare Moriarty,Director General - Corporate,16/03/2011,Swansea,Official Visit,,£45.50,£16.00,,,£61.50
