Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,02/08/2012,Training - General - Assessment & Development Centres,Trade Development - UK Trade and Investments,KENEXA LTD,163739,5295.00 ,,EC3R 7QQ,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,02/08/2012,Event Management - Trade Show Access Programme,Trade Development - UK Trade and Investments,BRITISH PIG ASSOCIATION,163740,1500.00 ,,CB2 2LS,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,02/08/2012,Basic Grants - SESA Solo Support Scheme,Trade Development - UK Trade and Investments,WHITE LIGHT LTD,163741,1000.00 ,,SW19 3WL,EXT,,,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Sponsors Grants - Trade Show Access Programme,Trade Development - UK Trade and Investments,TRADE FAIR SUPPORT LTD,163239,10800.00 ,,ME15 6JD,EXT,,,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,GO GLOBAL NORTH EAST LTD,163409,730.00 ,,SR5 3HD,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,GO GLOBAL NORTH EAST LTD,163409,995.00 ,,SR5 3HD,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Event Management - Trade Marketing Events,Trade Development - UK Trade and Investments,GO GLOBAL NORTH EAST LTD,163419,399.00 ,,DH1 5TS,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Event Management - Sector Events - UK,Trade Development - UK Trade and Investments,CAMBRIDGE WIRELESS LTD,163605,3305.00 ,,CB4 0WS,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Event Management - Sector Events - UK,Trade Development - UK Trade and Investments,CAMBRIDGE WIRELESS LTD,163605,7945.00 ,,CB4 0WS,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Advertising - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,PUBLICITAS LTD,163730,4496.55 ,,SW1P 1PH,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Advertising - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,PUBLICITAS LTD,163731,7929.56 ,,SW1P 1PH,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Event Management - Trade Development Support,Strategic Trade - UK Trade and Investments,CHURCH HOUSE CONFERENCE CENTRE LTD,163742,1291.00 ,,SW1P 3NZ,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Training - General - Passport Development & Events,Trade Development - UK Trade and Investments,LEARNING IMPACT INTERNATIONAL LTD,163743,2641.76 ,,WS13 6LL,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,EAST MIDLANDS BUSINESS LTD,163744,450.00 ,,DE21 7BF,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,PERMASTORE LTD,163745,300.00 ,,IP23 7HS,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Travel and Subsistence O'seas - Passport Development & Events,Trade Development - UK Trade and Investments,WORKABOUT INC LTD,163747,500.00 ,,L3 5TF,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Video Production Services - UKTI Corporate Marketing,Marketing & Communications - UK Trade and Investments,S K & E S MAHER T/A SKM PRODUCTIONS,163758,1280.00 ,,BR6 9RP,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Video Production Services - UKTI Corporate Marketing,Marketing & Communications - UK Trade and Investments,S K & E S MAHER T/A SKM PRODUCTIONS,163759,217.73 ,,BR6 9RP,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Video Production Services - UKTI Corporate Marketing,Marketing & Communications - UK Trade and Investments,S K & E S MAHER T/A SKM PRODUCTIONS,163759,970.00 ,,BR6 9RP,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Event Management - Inward Missions,Trade Development - UK Trade and Investments,RAILWAY INDUSTRY ASSOCIATION,163760,5592.79 ,,SW1X 7RY,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Training - General - Assessment & Development Centres,Trade Development - UK Trade and Investments,KENEXA LTD,163769,1095.00 ,,EC3R 7QQ,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Authoring and Copywriting Costs - Inward Investment Publications,Marketing & Communications - UK Trade and Investments,QUALITAS PARTNERING LTD T/A CREATIVE CHOICE CIC,163781,8164.00 ,,SW1H 0DJ,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Basic Grants - SESA Solo Support Scheme,Trade Development - UK Trade and Investments,DURALOCK (UK) LTD,163783,1000.00 ,,OX7 4NP,EXT,,,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Basic Grants - SESA Solo Support Scheme,Trade Development - UK Trade and Investments,SHEPPEE INTERNATIONAL LTD,163785,1000.00 ,,YO41 4AU,EXT,,,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Event Management - Trade Marketing Events,Trade Development - UK Trade and Investments,WEST MIDLANDS INTERNATIONAL TRADE LLP,163787,3000.00 ,,B15 3DH,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Scheme Management Charges - International Trade Team Contracting,Trade Development - UK Trade and Investments,WEST MIDLANDS INTERNATIONAL TRADE LLP,163788,193485.42 ,,B15 3DH,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Training - General - Passport Development & Events,Trade Development - UK Trade and Investments,WEST MIDLANDS INTERNATIONAL TRADE LLP,163789,1160.39 ,,B15 3DH,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Training - General - Passport Development & Events,Trade Development - UK Trade and Investments,WEST MIDLANDS INTERNATIONAL TRADE LLP,163789,1988.40 ,,B15 3DH,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,WEST MIDLANDS INTERNATIONAL TRADE LLP,163790,40.00 ,,B15 3DH,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,WEST MIDLANDS INTERNATIONAL TRADE LLP,163790,160.00 ,,B15 3DH,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,WEST MIDLANDS INTERNATIONAL TRADE LLP,163790,200.00 ,,B15 3DH,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,WEST MIDLANDS INTERNATIONAL TRADE LLP,163790,200.00 ,,B15 3DH,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,WEST MIDLANDS INTERNATIONAL TRADE LLP,163790,200.00 ,,B15 3DH,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,WEST MIDLANDS INTERNATIONAL TRADE LLP,163790,350.00 ,,B15 3DH,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,WEST MIDLANDS INTERNATIONAL TRADE LLP,163790,400.00 ,,B15 3DH,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,WEST MIDLANDS INTERNATIONAL TRADE LLP,163790,400.00 ,,B15 3DH,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,WEST MIDLANDS INTERNATIONAL TRADE LLP,163790,450.00 ,,B15 3DH,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,WEST MIDLANDS INTERNATIONAL TRADE LLP,163790,500.00 ,,B15 3DH,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,WEST MIDLANDS INTERNATIONAL TRADE LLP,163790,500.00 ,,B15 3DH,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,WEST MIDLANDS INTERNATIONAL TRADE LLP,163790,500.00 ,,B15 3DH,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,WEST MIDLANDS INTERNATIONAL TRADE LLP,163790,500.00 ,,B15 3DH,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,WEST MIDLANDS INTERNATIONAL TRADE LLP,163790,500.00 ,,B15 3DH,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
