Biomass consumption per year in million tonnes of raw material equivalent in the UK ,Imports,Net Domestic,,,
2000,80 ,136,,,
2001,82 ,131,,,
2002,78 ,145,,,
2003,83 ,138,,,
2004,79 ,133,,,
2005,77 ,131,,,
2006,70 ,135,,,
2007,75 ,131,,,
2008,71 ,138,,,
2009,78 ,134,,,
2010,75 ,137,,,
2011,74 ,140,,,
2012,74 ,131,,,
"Comparative indices of GDP, biomass and total Raw Material Consumption (RMC) in the UK",Biomass,GDP*,RMC,,
2000,100,100,100,,
2001,99,102,106,,
2002,103,105,105,,
2003,103,109,102,,
2004,99,112,99,,
2005,96,115,95,,
2006,95,119,96,,
2007,95,122,98,,
2008,97,121,94,,
2009,98,116,73,,
2010,98,118,85,,
2011,99,120,86,,
2012,95,121,82,,
,,,,,
,,,,,
