,,,,
Full Property Address,Property Reference Number,Primary Liable party name,Current Rateable Value,Account Start date
"2nd & 3rd Flrs Emlyn Hughes House, Abbey Road, Barrow In Furness, Cumbria, LA14 5QY",104300109172N,Barrhead Travel Services Limited,37500,17/04/2012
"2nd And 3rd Flr East Craven House, Michaelson Road, Barrow In Furness, Cumbria, LA14 1AF",103342709175N,Bae Systems Marine Ltd,72500,09/02/2015
"2nd Floor Ramsden House, 121-123, Duke Street, Barrow In Furness, Cumbria, LA14 1XA",105119501234N,Cookson Ad Valorem Ltd,10250,17/09/2012
"2nd Flr, 104, Duke Street, Barrow In Furness, Cumbria, LA14 1LP",104519509710N,Hsbc Bank Plc,3200,01/01/1996
"2nd Flr & 3 Rms 1st Flr Rear, 67, Market Street, Dalton In Furness, Cumbria, LA15 8AE",112287600679N,Sackville Spf Iv (Gp) No.3 Limited,3650,29/06/2011
"2nd Flr Offices Jubilee House, 15, Abbey Road, Barrow In Furness, Cumbria, LA14 5UD",104300109082N,Cumbria County Council,14250,29/01/2009
"2, Phoenix Road, Barrow In Furness, Cumbria, LA14 2UG",104253550020N,Guy Perry Ltd,54500,01/08/1994
"2, Raglan Street, Barrow In Furness, Cumbria, LA14 2AS",108356609013N,The Garage Inc. Ltd,5400,01/11/2011
"30-32, Crellin Street, Barrow In Furness, Cumbria, LA14 1DU",105314400301N,"Church Walk Vet Centre,",8100,31/07/1991
"30-32, Middlefield, Barrow In Furness, Cumbria, LA14 4BX",106542720305N,Housing Committee,5000,28/11/2005
"30-32, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",105154000300N,Debenhams Retail Plc,440000,10/03/1997
"30a, Cavendish Street, Barrow In Furness, Cumbria, LA14 1PZ",105111600302N,Furness Watch/Jewel'Ry Ltd,3050,12/05/1997
"30, Marsh Street, Barrow In Furness, Cumbria, LA14 2AE",105241600301N,The Laundry Room (Marsh Street) Limited,2125,12/10/2012
"31, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SF",105111600310N,Face To Face Financial Services Ltd,4850,01/07/2003
"31, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",105154000310N,Sally Salon Servies Ltd,31750,05/02/2004
"31, Station Road, Dalton In Furness, Cumbria, LA15 8PL",113290800314N,Powder & Paint Photography Limited,2450,15/06/2011
"33, Oxford Street, Barrow In Furness, Cumbria, LA14 5QJ",106251200331N,Oxford Street Clinic Ltd,3200,31/01/2012
"33, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",105154000330N,Grangehall Estates Ltd,14750,04/03/2014
"34, Furness Park Road, Barrow In Furness, Cumbria, LA14 5PH",107125500340N,Plastic Centre Barrow Ltd,5600,01/03/2013
"34, Middlefield, Barrow In Furness, Cumbria, LA14 4BX",106542720306N,Ormsgill Off Licence Ltd,5000,28/11/2005
"34, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",105154000340N,Bodyshop International Plc,35750,26/01/2007
"36-38, Hartington Street, Barrow In Furness, Cumbria, LA14 5SL",104329800360N,Cumbria Primary Care Trust,11500,01/04/2007
"3-6 Archways, Michaelson Road, Barrow In Furness, Cumbria, LA14 2EY",103342709065N,Barrow Central Joinery Ltd,4400,22/08/2003
"37-39, Earle Street, Barrow In Furness, Cumbria, LA14 2PZ",103221300370N,"Braklon Ltd,",4450,01/04/1990
"37-39, Ocean Road, Barrow In Furness, Cumbria, LA14 3DD",102250200370N,Tesco Stores Ltd,33250,19/07/2012
"37, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SF",105111600370N,H.E.F.F.,5500,01/10/1997
"37, Southampton Street, Barrow In Furness, Cumbria, LA14 3LQ",102564650370N,Mullberry Homes Limited,11500,15/07/2015
"38-40, Ainslie Street, Barrow In Furness, Cumbria, LA14 5BJ",107201000380N,Cumbrian Co-Op Society,17000,02/04/1990
"38-42, Cavendish Street, Barrow In Furness, Cumbria, LA14 1PZ",105111600380N,William Hill Ltd,17500,30/09/2004
"38-42,, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",105154000380N,W H Smith Limited,109000,01/04/2013
"39a, Bristol Street, Barrow In Furness, Cumbria, LA14 3AG",102408500391N,Rwe Tanning Limited T/A The Sun Shack,3400,25/02/2013
"3a, Island Road, Barrow In Furness, Cumbria, LA14 2QN",103334000032N,Barrow Island Community Trust,1925,23/01/2013
"3, Anchor Road, Barrow In Furness, Cumbria, LA14 2QW",103101600030N,J N Murray Ltd,4050,01/07/1996
"3b, Slater St, Barrow In Furness, Cumbria, LA14 1SJ",104563900036N,Butty-Licious Barrow Ltd,1300,01/11/2010
"3, Dalton Road, Barrow In Furness, Cumbria, LA14 1PQ",105117300131N,Denbrook Ltd,6500,14/06/2015
"3 Lakes Parade, Ennerdale Drive, Barrow In Furness, Cumbria, LA14 4PR",109322409020N,Leto Limited,3600,22/01/2015
"3rd Fl, 127-131, Duke Street, Barrow In Furness, Cumbria, LA14 1XA",105119501277N,Moorsolve Limited,5400,01/01/1999
"3rd Flr At, 104, Abbey Road, Barrow In Furness, Cumbria, LA14 5QR",104500108095N,Barrow Borough Council,0,01/09/2011
"3rd Flr West Craven House,, Michaelson Road, Barrow In Furness, Cumbria, LA14 1AF",103342709164N,Agilisys Ltd,30000,14/05/2012
"3, Slater St, Barrow In Furness, Cumbria, LA14 1SJ",104563900032N,Slater Street News Limited,1900,29/09/1996
"40, Anchor Road, Barrow In Furness, Cumbria, LA14 2QP",103101600400N,Howcol Properties Limited,0,18/04/2013
"41, Crellin Street, Barrow In Furness, Cumbria, LA14 1DS",105314400410N,Kutz (Barrow) Ltd,3750,23/11/1998
"42-44, Middlefield, Barrow In Furness, Cumbria, LA14 4BX",106542720442N,J N Murray Ltd,7600,11/07/2013
"42-44, Ulverston Road, Dalton In Furness, Cumbria, LA15 8EF",113291600420N,Aerialek (Dalton) Ltd,3400,18/08/2011
"42a, Cheltenham Street, Barrow In Furness, Cumbria, LA14 5HW",107212200420N,The Family Bakery Ltd,2550,10/04/2015
"44-48, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",105154000440N,British Heart Foundation,62500,08/06/2012
"45-53, Cavendish Street, Barrow In Furness, Cumbria, LA14 1DJ",104411609281N,Marilyn'S (Barrow) Limited,33250,23/07/2015
"45, Crellin Street, Barrow In Furness, Cumbria, LA14 1DS",105314400450N,Cumbria Sew/Craft Ctre Ltd,5700,01/04/1990
"46-52,, Suffolk Street, Barrow In Furness, Cumbria, LA13 9QH",108466200521N,Four Groves Community Association,8400,01/10/2013
"48,, Crellin Street, Barrow In Furness, Cumbria, LA14 1DS",105314400481N,Uk Business Names Ltd,3300,01/10/2014
"4b, Steamer Street, Barrow In Furness, Cumbria, LA14 2SG",103365200042N,Acorn Residential Lettings,1475,02/12/2013
"4, Dalkeith Street, Barrow In Furness, Cumbria, LA14 1SP",104517100020N,Five (Uk) Ltd,5200,19/12/2005
"4, Risedale Road, Barrow In Furness, Cumbria, LA13 9RD",108358200040N,Coral Racing Ltd,7100,24/09/2011
"4th Flr Craven House, Michaelson Road, Barrow In Furness, Cumbria, LA14 1AF",103342709148N,Cumbria County Council,71500,01/05/2014
"50-52, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",105154000510N,Kingswood Foundation,42250,31/03/2014
"50, Dalton Road, Barrow In Furness, Cumbria, LA14 1JB",105117300500N,Coral Racing Ltd,11500,24/09/2011
"50, Duke Street, Barrow In Furness, Cumbria, LA14 1RU",105119500502N,Wilkinson Hardware Stores Ltd,187000,20/10/2000
"51-55,, Duke Street, Barrow In Furness, Cumbria, LA14 1RT",105119500512N,"Furness Building Society,",90000,01/04/2010
"51, Market Street, Dalton In Furness, Cumbria, LA15  8AP",112287600511N,Hartley Restaurants Ltd,5200,30/07/2008
"52, Church Street, Barrow In Furness, Cumbria, LA14 2HY",105112500520N,Furness Services (Cumbria )  Limited,3600,01/07/2012
"52, Hartington Street, Barrow In Furness, Cumbria, LA14 5SR",104329800520N,Cowards Pharmacy Ltd,3200,01/04/1990
"52, Paradise Street, Barrow In Furness, Cumbria, LA14 1JG",105152400526N,C.A.D.A.S.,9400,01/04/2004
"53, Market Street, Dalton In Furness, Cumbria, LA15 8AP",112287600532N,Hartleys On The Hoof Ltd,2700,25/08/2010
"54-56, Dalton Road, Barrow In Furness, Cumbria, LA14 1JB",105117300540N,Boots Uk Limited,10500,01/03/2004
"54, Crellin Street, Barrow In Furness, Cumbria, LA14 1DS",105314400540N,Acacia Taxis Ltd,3800,01/04/1990
"54,, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",105119511263N,Heron Foods Limited,18000,13/05/2013
"55, Market Street, Dalton In Furness, Cumbria, LA15 8AP",112287600550N,South Lakes Lettings Ltd,3250,19/11/2012
"56, Cavendish Street, Barrow In Furness, Cumbria, LA14 1PZ",105111600560N,"R Forrest Ltd,",6800,01/04/1990
"56, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",105154000560N,Barrow Borough Council,16750,02/07/2012
"57-61, Market Street, Dalton In Furness, Cumbria, LA15 8AW",112287600571N,Livingstons Solicitors,6600,01/01/2001
"5-7, Dalton Road, Barrow In Furness, Cumbria, LA14 1HX",105117300050N,Post Office Limited,17250,01/04/2014
"58-60, Dominion Street, Barrow In Furness, Cumbria, LA14 3BW",102418600600N,Davis & Hadwin Ltd,5500,01/04/1990
"58-64, Dalton Road, Barrow In Furness, Cumbria, LA14 1JB",105117300580N,Diggle Ltd,22500,01/04/1990
"58, Scott Street, Barrow In Furness, Cumbria, LA14 1QE",104562500581N,Beckside Management Ltd,1375,20/01/2014
"5,, Adelphi Court, Storey Square, Barrow In Furness, Cumbria, LA14 2HX",105100820050N,Croftlands Trust,1425,25/04/2015
"5, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SF",105111600050N,Caroline Martin Property Limited,7200,23/04/2014
"5, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",105154000050N,C & J Clark International Ltd,51000,26/03/1997
"5, Rowlinson Place, Dalton In Furness, Cumbria, LA15 8DH",112289209070N,S & P Higginson Ltd,1250,01/04/1990
"5, The Mall, Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",105117309092N,Barrow Borough Council,3650,01/04/2010
"60, Hartington Street, Barrow In Furness, Cumbria, LA14 5SR",104129800600N,The Birchall Trust,4900,01/09/2002
"61, Cavendish Street, Barrow In Furness, Cumbria, LA14 1QD",105111600611N,Richard Haynes Ltd,9100,04/04/2002
"63 - 75, Dalton Road, Barrow In Furness, Cumbria, LA14 1HZ",105117300640N,B & M Retail Ltd,72500,22/01/2008
"63, Cavendish Street, Barrow In Furness, Cumbria, LA14 1QD",105111600630N,St Johns Hearing Aid Centre,6500,02/05/2014
"64-68, Cavendish Street, Barrow In Furness, Cumbria, LA14 1PZ",105111600641N,Identityco Limited,19000,05/04/2005
"65, Duke Street, Barrow In Furness, Cumbria, LA14 1RW",105119500650N,Brown Barron & Co,11750,01/04/1990
"66-68, Dalton Road, Barrow In Furness, Cumbria, LA14 1JB",105117300681N,J N Murray Ltd,15750,01/11/1994
"66., Duke Street, Barrow In Furness, Cumbria, LA14 1RX",105119500661N,Mellen & Co,6300,01/04/2010
"66, Hindpool Road, Barrow In Furness, Cumbria, LA14 2ND",104531200660N,Speed Of Sound Ltd,3150,01/01/2001
"66, Market Street, Dalton In Furness, Cumbria, LA15 8AA",113187600660N,Poole Townsend Solicitors,3050,01/02/2000
"67-69, Cavendish Street, Barrow In Furness, Cumbria, LA14 1QD",105111600671N,Barrow Soc For The Blind,14500,31/10/1997
"67-69, Market Street, Dalton In Furness, Cumbria, LA15 8AE",112287600670N,"Nat.Westminster Bank Plc,",10000,01/04/1990
"67-69, School Street, Barrow In Furness, Cumbria, LA14 1EJ",105462300670N,Identityco Limited,3350,04/04/2005
"67, Duke Street, Barrow In Furness, Cumbria, LA14 1RW",105119500670N,Brown Barron & Co,3300,13/09/2013
"68-70., Duke Street, Barrow In Furness, Cumbria, LA14 1RX",105119500684N,Corrie & Co Ltd,14250,01/04/2010
"69-75, Duke Street, Barrow In Furness, Cumbria, LA14 1RR",105119500692N,Poole Townsend Solicitors,28250,01/04/1997
"69, Scott Street, Barrow In Furness, Cumbria, LA14 1QE",104562500690N,C & S Davies Ltd,4100,01/05/1997
"6, Bath Street, Barrow In Furness, Cumbria, LA14 1LZ",104305900061N,Coral Racing Ltd,6400,24/09/2011
"6, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",105154000060N,Vodafone Ltd,34250,17/10/1997
"70, Cavendish Street, Barrow In Furness, Cumbria, LA14 1PZ",105111600700N,Rosegate Ventures Ltd,4700,28/09/1997
"70, Dalton Road, Barrow In Furness, Cumbria, LA14 1JD",105117300701N,Specsavers Optical Superstores Ltd,13750,26/04/1996
"70, Market Street, Dalton In Furness, Cumbria, LA15 8AA",113187600701N,"W G Ross & Co Ltd,",3600,29/04/2013
"7-11, Ruskin Avenue, Dalton In Furness, Cumbria, LA15 8LU",113489700090N,Martin Mccoll Limited,6600,12/07/2010
"71-79, School Street, Barrow In Furness, Cumbria, LA14 1EJ",105162300711N,Barrow & District Disability Assoc,18250,08/01/2001
"71, Buccleuch Street, Barrow In Furness, Cumbria, LA14 1QQ",104508900710N,"Shaw Hadwin Coaches,",1625,01/04/1990
"71, Risedale Road, Barrow In Furness, Cumbria, LA13 9QY",108358200710N,Horrocks And Cross Limited,3950,24/06/2015
"72-74, Scott Street, Barrow In Furness, Cumbria, LA14 1QE",104562500720N,Elegance Salon Ltd,8300,01/08/2011
"72, Abbey Road, Barrow In Furness, Cumbria, LA14 5UB",104500108141N,D S Fitness Centre Ltd,9200,05/01/1998
"72, Cavendish Street, Barrow In Furness, Cumbria, LA14 1PZ",105111600721N,Brian O'Loughlin Ltd,6300,15/03/2004
"72, Market Street, Dalton In Furness, Cumbria, LA15 8AA",113187600720N,Market Street House Ltd,8100,17/10/2013
"73, Market Street, Dalton In Furness, Cumbria, LA15 8DL",112287600730N,St Marys Hospice,5400,01/04/2000
"74, Cavendish Street, Barrow In Furness, Cumbria, LA14 1PZ",105111600740N,North West Consumables Ltd,6700,22/03/2007
"74, Dalton Road, Barrow In Furness, Cumbria, LA14 1JB",105117300740N,"Burrow'S Tool Factors,",10750,01/04/1990
"74, Market Street, Dalton In Furness, Cumbria, LA15 8AA",113187600741N,Done Brothers  Ltd,4950,01/02/2002
"75-77, Market Street, Dalton In Furness, Cumbria, LA15 8DL",112287600750N,Lloyds Pharmacy Ltd,11500,01/11/1991
"76, Cavendish Street, Barrow In Furness, Cumbria, LA14 1PZ",105111600760N,Farrell Heyworth Ltd,8800,21/03/2013
"76,, Duke Street, Barrow In Furness, Cumbria, LA14 1RX",105119500761N,Furness Prop Let. & Mgt Ltd,7200,06/12/2004
"76, Greengate Street, Barrow In Furness, Cumbria, LA14 1EZ",105327600761N,Furness Dental Lab Ltd,3250,06/09/1999
"76, Warwick Street, Barrow In Furness, Cumbria, LA14 5HB",107274500761N,"British Red Cross,",5100,15/06/1991
"77-79,, Duke Street, Barrow In Furness, Cumbria, LA14 1RW",105119500800N,National Offender Management Services,23500,04/10/2012
"78, Cavendish Street, Barrow In Furness, Cumbria, LA14 1PZ",105111600780N,Millers Shoe Repairs Ltd,6500,01/04/1990
"78, Scott Street, Barrow In Furness, Cumbria, LA14 1QE",104562500780N,Barrow Rugby League Auxiliary Association,4100,25/03/1991
"79, Market Street, Dalton In Furness, Cumbria, LA15 8DL",112287600793N,Greggs Of Cumbria,4200,01/04/1992
"7, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SF",105111600070N,Marsha Lea Bridal Studio Ltd,4550,27/11/2000
"7., Emlyn Street, Barrow In Furness, Cumbria, LA14 1QS",104422200074N,"Animal Refuge Furness,",3000,16/11/2009
"7, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1HX",105154000070N,Orange Retail Ltd,43750,28/02/2001
"80-82, Market Street, Dalton In Furness, Cumbria, LA15 8DJ",113187600820N,Ho2 Management Limited,8100,21/02/2011
"8-10, Risedale Road, Barrow In Furness, Cumbria, LA13 9RD",108358200080N,Boots Uk Limited,7600,01/08/2003
"81, Market Street, Dalton In Furness, Cumbria, LA15 8DL",112287600810N,Sharples Estate Agents Ltd T/A Stephensons Estate Agents,4800,01/05/2011
"82, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",105117300820N,Winfield Holdings Ltd,32250,01/08/2009
"82, Scott Street, Barrow In Furness, Cumbria, LA14 1QE",104562500820N,Reef Evans Ltd,4400,20/06/1997
"83-85, Duke Street, Barrow In Furness, Cumbria, LA14 1RH",105119500830N,Provincial Funding Ltd,2425,01/04/1990
"83, Greengate Street, Barrow In Furness, Cumbria, LA14 1EZ",105327600830N,Greengate St News Ltd,3400,23/08/2004
"83, Market Street, Dalton In Furness, Cumbria, LA15 8DL",112287600830N,Tangeo Management Ltd,3100,10/10/2007
"84, Dalton Road, Barrow In Furness, Cumbria, LA14 1JN",105117300840N,St Marys Hospice,30500,01/06/2000
"84, Market Street, Dalton In Furness, Cumbria, LA15 8DJ",113187600840N,"Furness Building Society,",5100,01/04/1990
"85, Ferry Road, Barrow In Furness, Cumbria, LA14 2QE",103223800850N,Cash 4 Clothes (Scotland) Ltd,2650,29/03/2014
"85, Market Street, Dalton In Furness, Cumbria, LA15 8DL",112287600850N,Tp Framework Limited,3000,13/07/2015
"86-88, Market Street, Dalton In Furness, Cumbria, LA15 8DJ",113187600860N,P&L Enterprise (Cumbria) Ltd,7100,08/10/2007
"86-90, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",105117300860N,"Barclays Bank Plc,",55500,01/04/1990
"86, Duke Street, Barrow In Furness, Cumbria, LA14  1RD",104519500869N,Creative Support Ltd,9900,23/10/2013
"87, Duke Street, Askam In Furness, Cumbria, LA16 7AD",112595600873N,E-Property Ltd,2050,07/04/2011
"87, School Street, Barrow In Furness, Cumbria, LA14 1EJ",105162300870N,A Holden'S Ltd,5000,25/10/1999
"88,, Anson Street, Barrow In Furness, Cumbria, LA14 1NW",104102000881N,Fairoak Housing Association,510,30/09/2015
"89-91, Dalton Road, Barrow In Furness, Cumbria, LA14 1HZ",105117300890N,The Carphone Warehouse Uk Ltd,26250,01/01/2008
"89, Duke Street, Barrow In Furness, Cumbria, LA14 1RH",104519500890N,Pc! Lettings Ltd,3100,17/06/2005
"8a,, Sloop Street, Barrow In Furness, Cumbria, LA14 2RA",103364000081N,Barros Trading Ltd,1125,27/03/2015
"8, Dalkeith Street, Barrow In Furness, Cumbria, LA14 1SP",104517100080N,R & T Music Ltd,4050,27/03/2003
"8,, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",105119509886N,Denbrook Ltd,6600,14/06/2015
"8 The Mall, Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",105117309100N,"J E Blackshaw Ltd,",3050,10/10/2012
"90-92, Scott Street, Barrow In Furness, Cumbria, LA14 1QE",104562500900N,"Swinton Insurance,",8600,01/04/1990
"90, Abbey Road, Barrow In Furness, Cumbria, LA14 5QR",104500108110N,Personal Pension Trustees Limited,33250,31/07/2015
"90, Market Street, Dalton In Furness, Cumbria, LA15 8DJ",113187600900N,"Barclays Bank Plc,",6900,01/04/1990
"90, Roose Road, Barrow In Furness, Cumbria, LA13 9RH",111559000904N,Tagi'S Buns Ltd,2600,01/02/2014
"9-11, Buccleuch Street, Barrow In Furness, Cumbria, LA14 1SS",104508900090N,Dignity Funerals Ltd,3000,01/04/2013
"91, Anson Street, Barrow In Furness, Cumbria, LA14 1NW",104102000910N,Driveline Engineering Services Ltd,25500,05/10/2010
"94(B), Church Street, Barrow In Furness, Cumbria, LA14 2HJ",105112500941N,Srm Lettings,2000,01/05/2015
"95, Central Drive, Barrow In Furness, Cumbria, LA14 3HZ",102411900950N,Mullberry Homes Limited,32750,15/07/2015
"96-98, Scott Street, Barrow In Furness, Cumbria, LA14 1QE",104562500960N,Mj Hairdressing Limited,9700,12/08/2013
"96, Church Street, Barrow In Furness, Cumbria, LA14 2HJ",105112500960N,Systemcam Ltd,2000,01/06/2015
"96,, Duke Street, Barrow In Furness, Cumbria, LA14 1RF",104519500950N,Greater Manchester West Mental Health Nhs Foundation Trust,23750,01/04/2012
"97-101, Dalton Road, Barrow In Furness, Cumbria, LA14 1HZ",105117300970N,Sports World Int. Ltd,59000,31/10/2005
"97-101, Oxford Street, Barrow In Furness, Cumbria, LA14 5QJ",106251200990N,Cumbrian Co-Op Society,16500,02/04/1990
"98-100, Friars Lane, Barrow In Furness, Cumbria, LA13 9NW",110525100980N,Coral Racing Ltd,0,24/09/2011
"9, Dalton Road, Barrow In Furness, Cumbria, LA14 1HX",105117300090N,Denbrook Ltd,8800,14/06/2015
"9, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",105154000090N,Leto Limited,42000,22/01/2015
"9 The Mall, Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",105117309110N,Barrow Borough Council,2700,06/12/1999
"Abbey House, Abbey Road, Barrow In Furness, Cumbria, LA13 0PA",110100109620N,Abbey House Hotel (Cumbria) Ltd,131000,16/12/2011
"Abbey Meadow, Duchy Court, Barrow-In-Furness, Cumbria, LA13  OBF",110219250000N,"Risedale Retirement Home,",15000,09/06/2008
"Abbey Tavern, Furness Abbey, Barrow In Furness, Cumbria, LA13 0PJ",110125409080N,English Heritage,11500,09/11/2014
"Abbotsmead Schools, Cambridge Street, Barrow In Furness, Cumbria, LA13 9RP",108110609020N,Cumbria County Council,28750,01/04/1990
"Abbots Vale Community Centre, Abbots Vale, Barrow In Furness, Cumbria, LA13  9PA",108100209304N,Abbots Vale Users Association,6500,18/01/2010
"Acf Centre, Central Drive, Barrow In Furness, Cumbria, LA14 3HY",101379300184N,Nw R.F.C.A,4300,01/04/2000
"Adj 44, Whitehead Street, Barrow In Furness, Cumbria, LA14 1AH",104475900440N,Superior Windows Ltd,2300,19/09/2001
"Adj 83, Greengate Street, Barrow In Furness, Cumbria, LA13 9BS",105327600831N,Primesight Ltd,450,01/04/2002
"Adj Central Sawmills &, Opp 154 & 156, Abbey Road, Barrow In Furness, Cumbria, LA14 5AB",107279401020N,Jcdecaux Uk Limited,4650,01/01/2004
"Adj Coastguard Cottages, South End, Barrow In Furness, Cumbria, LA14 3YQ",102364409151N,"The Cumbria Wildlife Trust,",1725,01/04/1992
"Adj Kwik Save, Holker Street, Barrow In Furness, Cumbria, LA14 5RA",104231609251N,Primesight Ltd,1000,15/10/2003
"Adj Unit 2d, Ashburner Way, Barrow-In-Furness, Cumbria, LA14 5UG",104274209112N,Anixter Industrial,4350,01/04/1994
"Adshel 1902 0057 Corner Of Farm Street,, Michaelson Road, Barrow In Furness, Cumbria, LA14 2RX",103342709095N,Clear Channel Uk Ltd,480,18/05/1999
"Adshel 1902 0065 Adj 12,, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",105119500121N,Clear Channel Uk Ltd,650,06/08/1999
"Adshel 1902 0084 Adj Tesco Car Park, Hindpool Road, Barrow In Furness, Cumbria, LA14 2NF",104379109000N,Clear Channel Uk Ltd,650,03/04/2001
"Adshel 1902 0085 Opposite, 36-42, Park Road, Barrow In Furness, Cumbria, LA14 4RH",106552700363N,Clear Channel Uk Ltd,300,01/04/2001
"Adshel 1902 0086 Outside Cemetery Gates, Devonshire Road, Barrow In Furness, Cumbria, LA14 5PD",109118509020N,Clear Channel Uk Ltd,300,01/04/2001
"Adshel 1902 0087 Opposite Cemetery Gates, Devonshire Road, Barrow In Furness, Cumbria, LA14 5PD",109118509030N,Clear Channel Uk Ltd,300,03/04/2001
"Adshel 1902 0088 Outside, Alfred Barrow School, Duke Street, Barrow In Furness, Cumbria, LA14 2LB",105119509860N,Clear Channel Uk Ltd,480,01/04/2001
"Adshel 1902 0089 Opposite, 37, Salthouse Road, Barrow In Furness, Cumbria, LA14 2AG",105261600372N,Clear Channel Uk Ltd,480,01/04/2001
"Adshel 1902 0090 Opposite, 21, Salthouse Road, Barrow In Furness, Cumbria, LA14 2AG",105261600212N,Clear Channel Uk Ltd,480,01/04/2001
"Adshel 1902 0092 Opp Leisure Centre, Greengate Street, Barrow In Furness, Cumbria, LA13 9DT",107427609061N,Clear Channel Uk Ltd,300,03/04/2001
"Adshel 1902 0095 101m West Of, Abbey House Hotel, Abbey Road, Barrow In Furness, Cumbria, LA13 0PA",110100109630N,Clear Channel Uk Ltd,480,01/04/2001
"Adshel 1902 0096 65m West Of, Rating Lane, Abbey Road, Barrow In Furness, Cumbria, LA13 9JR",110100109730N,Clear Channel Uk Ltd,480,01/04/2001
"Adshel 1902 0097 Corner Of, Hector Street, Hollow Lane, Barrow In Furness, Cumbria, LA13 9NA",110230409000N,Clear Channel Uk Ltd,300,01/04/2001
"Adshel 1902 0098 Opposite 264, Abbey Road, Barrow In Furness, Cumbria, LA13 9JY",110100102641N,Clear Channel Uk Ltd,480,08/06/2001
"Adshell 1902 0001 Adj The Furness Railway,, Abbey Road, Barrow In Furness, Cumbria, LA14 5SH",104500108121N,Clear Channel Uk Ltd,650,01/04/1990
"Adshell 1902 0002, Adj 76, Schneider Road, Barrow In Furness, Cumbria, LA14 5DP",106379402090N,Clear Channel Uk Ltd,300,01/04/1990
"Adshell 1902 0003, Adj 60, Ainslie Street, Barrow In Furness, Cumbria, LA14 5BJ",107279402030N,Clear Channel Uk Ltd,300,01/04/1990
"Adshell 1902 0004, Adj General Post Off, Abbey Road, Barrow In Furness, Cumbria, LA14 5AB",107179402010N,Clear Channel Uk Ltd,650,01/04/1990
"Adshell 1902 0005 Adj, 88, Duke Street, Barrow In Furness, Cumbria, LA14 1RD",104519500881N,Clear Channel Uk Ltd,650,01/04/1990
"Adshell 1902 0007, Adj 12, Salthouse Road, Barrow In Furness, Cumbria, LA14 2AG",105179402080N,Clear Channel Uk Ltd,480,01/04/1990
"Adshell 1902 0008, Adj 99, Greengate Street, Barrow In Furness, Cumbria, LA14 1BD",105327600991N,Clear Channel Uk Ltd,300,01/04/1990
"Adshell 1902 0010, Adj 228, Roose Road, Barrow In Furness, Cumbria, LA13 OEH",108379402070N,Clear Channel Uk Ltd,480,01/04/1990
"Adshell 1902 0012, Adj 83, Abbey Road, Barrow In Furness, Cumbria, LA14 5ES",107200100831N,Clear Channel Uk Ltd,480,01/04/1990
"Adshell 1902 0013, Adj Lakeland Motor S, Abbey Road, Barrow In Furness, Cumbria, LA14 4HD",107100109371N,Clear Channel Uk Ltd,480,01/04/1990
"Adshell 1902 0014, Adj Arlington House, Abbey Road, Barrow In Furness, Cumbria, LA14 5LD",107300102001N,Clear Channel Uk Ltd,480,01/04/1990
"Adshell 1902 0015, Adj Ae Trades Club, Abbey Road, Barrow In Furness, Cumbria, LA14 1LG",104500108182N,Clear Channel Uk Ltd,650,01/04/1990
"Adshell 1902 0016, Adj Ae Trades Club, Abbey Road, Barrow In Furness, Cumbria, LA14 1LG",104500108181N,Clear Channel Uk Ltd,650,01/04/1990
"Adshell 1902 0018, 117, Duke Street, Barrow In Furness, Cumbria, LA14 1XA",105119501171N,Clear Channel Uk Ltd,650,01/04/1990
"Adshell 1902 0022, Adj Strawberry Hotel, Abbey Road, Barrow In Furness, Cumbria, LA145LD",107300109811N,Clear Channel Uk Ltd,480,01/04/1990
"Adshell 1902 0025, Adj St Brnds Rc Schl, Abbey Road, Barrow In Furness, Cumbria, LA13 9RJ",110100109721N,Clear Channel Uk Ltd,480,01/04/1990
"Adshell 1902 0026, Opp 136, Lesh Lane, Barrow In Furness, Cumbria, LA13 9EQ",110338251361N,Clear Channel Uk Ltd,300,01/04/1990
"Adshell 1902 0027, Opp Ennerdale Drive, Dalton Lane, Barrow In Furness, Cumbria, LA14 4LE",109130109060N,Clear Channel Uk Ltd,480,01/04/1990
