DEPARTMENTAL FAMILY,ENTITY,START DATE,END DATE,EXPENSE TYPE,Expense Area,DESCRIPTION,SUPPLIER,AMOUNT (£ ex-VAT)
DExEU,DExEU,24/04/17,23/10/17,Consultancy,Consultancy,Policy and Delivery Coordination,McKinsey,"£1,919,200"
DExEU,DExEU,30/11/16,30/11/17,Communications,Communications,Media monitoring software,Kantar Media,"£71,160"
DExEU,DExEU,07/11/16,06/11/17,Communications,Communications,Media access,Press Association,"£13,300"
