?BODY NAME,SERVICE LABEL COMMITTEE,SERVICE CODE,EXPENDITURE CATEGORY,DATE,TRANSACTION NUMBER,NET AMOUNT,SUPPLIER NAME,SUPPLIER ID
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,PROFESSIONAL SERVICES,08/11/2013,237611,4290,GEODYNE LTD,101800
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,22/11/2013,238365,4273.89,RIXONWAY KITCHENS LTD,101367
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ELECTRICITY,08/11/2013,237645,4236.01,EDF ENERGY 1 LTD,101140
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,22/11/2013,238367,4212,MATTHEWS & TANNERT LTD,101312
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY,G450,AGENCY STAFF,01/11/2013,237234,4073.33,COMENSURA LTD,100106
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,PROFESSIONAL SERVICES,29/11/2013,238823,4050,NOTTINGHAM TRENT UNIVERSITY,101790
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ARTISTS FEES,15/11/2013,237812,4000,EVENTFUL PRODUCTIONS,100800
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY,G450,EQUIPMENT REPAIRS & RENEWALS,15/11/2013,237814,4000,IDOX SOFTWARE LTD,100738
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ARTISTS FEES,15/11/2013,237899,3980.17,ARTISTES INTERNATIONAL REPRESENTATION LTD,102145
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,PREMISES REPAIRS & RENEWALS,01/11/2013,237112,3980,NOTTINGHAM GROUNDS MAINTENANCE,102093
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,DISABLED FACILITIES,01/11/2013,237142,3940.02,VAUGHANDALE CONSTRUCTION LTD,100590
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,PROVISION OF SINCS DATA,22/11/2013,238462,3791,NOTTINGHAM CITY COUNCIL,100390
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,DISABLED FACILITIES,22/11/2013,238443,3785,OBAM LIFT SERVICES LTD,100403
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,GAS,15/11/2013,237831,3690.26,CORONA ENERGY,100113
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,DISABLED FACILITIES,22/11/2013,238358,3567.73,DAVID P FORMON B.D.C LTD,100122
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,PREMISES REPAIRS & RENEWALS,15/11/2013,237865,3548,MARTIN-BROOKS (ROOFING SPECIALISTS) LTD,102160
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY,G450,INTERNAL TRAINING,22/11/2013,238264,3540,UNIVERSITY OF YORK,102181
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,REFUSE BIN PURCHASES,29/11/2013,238736,3520,UK CONTAINER MAINTENANCE LTD,100578
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY,G450,AGENCY STAFF,15/11/2013,237919,3396.47,COMENSURA LTD,100106
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,DISABLED FACILITIES,22/11/2013,238442,3375,N SHACKLOCK LTD,100349
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,PROFESSIONAL SERVICES,15/11/2013,237849,3306,NOTTINGHAMSHIRE COUNTY COUNCIL,100393
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY,G450,PRINTING,08/11/2013,237460,3289.95,PRINT IMAGE NETWORK LTD,100431
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,CONTRACTUAL SERVICES,15/11/2013,237795,3158.75,SOUTHWELL TOWN COUNCIL,100515
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,29/11/2013,238659,3125,KIRK & BILLS,100747
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ARTISTS FEES,29/11/2013,238743,2936.52,BEYOND THE BARRICADE LTD,101226
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,08/11/2013,237614,2906.77,PTS PLUMBING TRADE SUPPLIES,101748
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,CONTRACTUAL SERVICES,22/11/2013,238273,2887.9,S P G CONSTRUCTION LTD,100477
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,PROFESSIONAL SERVICES,08/11/2013,237535,2878.7,BRIGHTGATE CONSULTANCY AND TRAINING LTD,101718
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY,G450,CONTRACTUAL SERVICES,08/11/2013,237610,2875,RIBA ENTERPRISES LTD,100771
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,29/11/2013,238660,2851.69,BARKER AND SHELDON LTD,102147
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ELECTRICITY,22/11/2013,238324,2708.44,BRITISH GAS BUSINESS,100840
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ELECTRICITY,22/11/2013,238333,2707.88,BRITISH GAS BUSINESS,100840
