?BODY NAME,SERVICE LABEL PORTFOLIO,SERVICE CODE,EXPENDITURE CATEGORY,DATE,TRANSACTION NUMBER,NET AMOUNT,SUPPLIER NAME,SUPPLIER CODE
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,NCC PRECEPT,24/06/2011,1110991,4733374,NOTTINGHAMSHIRE COUNTY COUNCIL,400003
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOUSING REVENUE ACCOUNT,B300,NSH MANAGEMENT FEE,06/06/2011,1109329,660188.34,NEWARK AND SHERWOOD HOMES LTD,400001
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,POLICE PRECEPT,24/06/2011,1110988,635160,NOTTS POLICE AUTH,400006
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,FIRE PRECEPT,24/06/2011,1110990,276462,NOTTS FIRE SERVICE,400002
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B992,DRAINAGE RATES,30/06/2011,1111042,236827,NEWARK AREA IDB,400011
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B992,COMPUTER MIGRATION PROJECT,17/06/2011,192107,78296.35,CHG MERIDIAN UK LTD,100085
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,03/06/2011,191267,72117.88,APOLLO PROPERTY SERVICES GROUP LTD,100890
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,10/06/2011,191690,60934.22,ROBERT WOODHEAD LTD,100461
NEWARK AND SHERWOOD DISTRICT COUNCIL,SUSTAINABLE DEV & REGENERATION,B990,PAYMENTS,10/06/2011,191659,60570,OXFORD INNOVATION,101211
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,03/06/2011,191265,44372.07,APOLLO PROPERTY SERVICES GROUP LTD,100890
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,03/06/2011,191266,40521.3,APOLLO PROPERTY SERVICES GROUP LTD,100890
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B992,DEBTOR REFUNDS,10/06/2011,191676,40440.9,NEWARK AND SHERWOOD HOMES LTD,100366
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B600,PREMISE RELATED EXPENSES,22/06/2011,1110948,39866.3,JAKES & CO,400013
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,03/06/2011,191264,30668.4,APOLLO PROPERTY SERVICES GROUP LTD,100890
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,ELDERLY RESIDENTS ADAPTATIONS,24/06/2011,192455,30533.44,DOXON DEVELOPMENTS,100131
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,03/06/2011,191383,23890.32,MILWARD CONSTRUCTION (BELPER) LTD,101194
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,PROFESSIONAL SERVICES,10/06/2011,191666,23756,BROADWAYMALYAN,100996
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B991,STORES RECEIPTS,10/06/2011,191623,22255.11,EMO OIL LTD,100728
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,PROFESSIONAL SERVICES,17/06/2011,192112,21149.53,PURCELL MILLER TRITTON LLP,101037
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,17/06/2011,191935,19995,S P ROSE LTD,101044
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,COMPUTER SOFTWARE MAINTENANCE,24/06/2011,192324,19072.23,VIRGIN MEDIA PAYMENTS LTD,100934
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,EQUIPMENT REPAIRS & RENEWALS,10/06/2011,191685,17311.6,ZAPP CANOPY UMBRELLAS LTD,100618
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,17/06/2011,192000,16671.93,N SHACKLOCK LTD,100349
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,03/06/2011,191381,15833.17,MILWARD CONSTRUCTION (BELPER) LTD,101194
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B991,STORES RECEIPTS,24/06/2011,192491,15762.33,EMO OIL LTD,100728
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,PROFESSIONAL SERVICES,10/06/2011,191668,15000,BROADWAYMALYAN,100996
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,24/06/2011,192379,14521.27,R G CARTER BUILDING LTD,100440
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B992,RECOVERY OF PAY ADVANCES,03/06/2011,191324,10910,REDACTED PERSONAL DATA,101191
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,PAYMENTS TO NOTTS COUNTY CNCL,24/06/2011,192489,10692,NOTTINGHAMSHIRE COUNTY COUNCIL,100393
NEWARK AND SHERWOOD DISTRICT COUNCIL,SAFE AND STRONG,B500,CCTV OPERATION,10/06/2011,191584,10631,REMPLOY LIMITED,100451
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,STALL CLEARANCE,10/06/2011,191648,10391.02,REDACTED PERSONAL DATA,100012
NEWARK AND SHERWOOD DISTRICT COUNCIL,SAFE AND STRONG,B500,CONTRACTUAL SERVICES,03/06/2011,191423,10000,NOTTINGHAMSHIRE COUNTY COUNCIL,100393
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,PLAY LEADERSHIP,17/06/2011,192109,9650,NEWARK & SHERWOOD PLAY SUPPORT GROUP,100362
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,AUDIT FEE,17/06/2011,192026,9290,AUDIT COMMISSION,100025
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED FACILITIES,17/06/2011,192059,9198,J JOHNSON & SON,100233
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,PROFESSIONAL SERVICES,17/06/2011,192122,8500,CAMPBELL & CO DESIGN CONSULTANTS LTD,101179
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,COMPUTER SOFTWARE MAINTENANCE,24/06/2011,192323,8354.11,VIRGIN MEDIA PAYMENTS LTD,100934
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,17/06/2011,192001,8109.43,DEVLIN DECORATORS,100127
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,17/06/2011,192002,7911.26,DEVLIN DECORATORS,100127
NEWARK AND SHERWOOD DISTRICT COUNCIL,SAFE AND STRONG,B500,CCTV OPERATION,17/06/2011,191888,7796,BRITISH TELECOMMUNICATIONS PLC,100057
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B992,AGENCY STAFF,10/06/2011,191656,7728.04,COMENSURA LTD,100106
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED GRANTS,17/06/2011,191998,6780.82,N SHACKLOCK LTD,100349
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,AGENCY REPAYMENTS,17/06/2011,192037,6240,VIVA,101220
NEWARK AND SHERWOOD DISTRICT COUNCIL,SUSTAINABLE DEV & REGENERATION,B700,PROFESSIONAL SERVICES,17/06/2011,192076,6041.84,RICHARD BUXTON SOLICITORS,101215
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED GRANTS,10/06/2011,191595,5873,CALANDINE LIFTS LTD,100068
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,PARISH CNCLS AND VOL BODIES,17/06/2011,192054,5842.53,NEWARK TOWN COUNCIL,100374
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,10/06/2011,191597,5782.96,SUPERCLEAN SERVICES WOTHORPE LTD,100527
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B992,AGENCY STAFF,17/06/2011,191865,5732.09,COMENSURA LTD,100106
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,ELECTRICITY,17/06/2011,191839,5705.22,EDF ENERGY 1 LTD,101140
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,PREMISES REPAIRS & RENEWALS,17/06/2011,191930,5670,FINETURF,100165
NEWARK AND SHERWOOD DISTRICT COUNCIL,SUSTAINABLE DEV & REGENERATION,B700,PROFESSIONAL SERVICES,03/06/2011,191376,5401.1,JWPC LTD,101190
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,03/06/2011,191318,5068.44,P J LILLEY LTD,100418
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,24/06/2011,192408,5000,FULLERS FORESTRY,101183
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED FACILITIES,24/06/2011,192429,4825.16,VAUGHANDALE CONSTRUCTION LTD,100590
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,24/06/2011,192381,4721.21,R G CARTER BUILDING LTD,100440
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,PAYMENTS TO NOTTS COUNTY CNCL,03/06/2011,191313,4710,NOTTINGHAMSHIRE COUNTY COUNCIL,100393
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED GRANTS,10/06/2011,191594,4544.55,S P G CONSTRUCTION LTD,100477
